benchmark,metric_group,comparator_role,comparator_method,metric_field,boundary_gated_value,comparator_value,signed_difference,negative_is_better
branin,global,straddle,straddle,mean_final_global_error,0.063450,0.062000,0.001450,True
branin,global,randomized_straddle,randomized_straddle,mean_final_global_error,0.063450,0.060200,0.003250,True
branin,global,diversified_straddle,diversified_straddle,mean_final_global_error,0.063450,0.064450,-0.001000,True
branin,global,best_original,randomized_straddle,mean_final_global_error,0.063450,0.060200,0.003250,True
branin,q20_error,straddle,straddle,mean_final_near_boundary_error_q20,0.262750,0.257250,0.005500,True
branin,q20_error,randomized_straddle,randomized_straddle,mean_final_near_boundary_error_q20,0.262750,0.251500,0.011250,True
branin,q20_error,diversified_straddle,diversified_straddle,mean_final_near_boundary_error_q20,0.262750,0.259250,0.003500,True
branin,q20_error,best_original_q20,smallest_abs_mu,mean_final_near_boundary_error_q20,0.262750,0.246750,0.016000,True
branin,q30_error,straddle,straddle,mean_final_near_boundary_error_q30,0.197333,0.192833,0.004500,True
branin,q30_error,randomized_straddle,randomized_straddle,mean_final_near_boundary_error_q30,0.197333,0.186500,0.010833,True
branin,q30_error,diversified_straddle,diversified_straddle,mean_final_near_boundary_error_q30,0.197333,0.197333,0.000000,True
branin,q30_error,best_original_q30,randomized_straddle,mean_final_near_boundary_error_q30,0.197333,0.186500,0.010833,True
branin,query_distance,diversified_straddle,diversified_straddle,median_query_distance,20.654992,21.850675,-1.195683,True
branin,query_distance,straddle,straddle,median_query_distance,20.654992,19.439750,1.215242,True
branin,query_distance,randomized_straddle,randomized_straddle,median_query_distance,20.654992,17.551774,3.103218,True
branin,query_distance,smallest_abs_mu,smallest_abs_mu,median_query_distance,20.654992,12.038580,8.616412,True
branin,q20_uncertainty,diversified_straddle,diversified_straddle,mean_final_latent_uncertainty_region_fraction_q20,0.495750,0.505500,-0.009750,True
branin,q20_uncertainty,straddle,straddle,mean_final_latent_uncertainty_region_fraction_q20,0.495750,0.539250,-0.043500,True
branin,q20_uncertainty,randomized_straddle,randomized_straddle,mean_final_latent_uncertainty_region_fraction_q20,0.495750,0.619500,-0.123750,True
branin,q20_uncertainty,expected_feasibility,expected_feasibility,mean_final_latent_uncertainty_region_fraction_q20,0.495750,0.422250,0.073500,True
branin,q30_uncertainty,diversified_straddle,diversified_straddle,mean_final_latent_uncertainty_region_fraction_q30,0.432667,0.446500,-0.013833,True
branin,q30_uncertainty,straddle,straddle,mean_final_latent_uncertainty_region_fraction_q30,0.432667,0.498167,-0.065500,True
branin,q30_uncertainty,randomized_straddle,randomized_straddle,mean_final_latent_uncertainty_region_fraction_q30,0.432667,0.606500,-0.173833,True
branin,q30_uncertainty,expected_feasibility,expected_feasibility,mean_final_latent_uncertainty_region_fraction_q30,0.432667,0.364000,0.068667,True
ackley,global,straddle,straddle,mean_final_global_error,0.184440,0.168400,0.016040,True
ackley,global,randomized_straddle,randomized_straddle,mean_final_global_error,0.184440,0.175380,0.009060,True
ackley,global,diversified_straddle,diversified_straddle,mean_final_global_error,0.184440,0.182420,0.002020,True
ackley,global,best_original,straddle,mean_final_global_error,0.184440,0.168400,0.016040,True
ackley,q20_error,straddle,straddle,mean_final_near_boundary_error_q20,0.412600,0.415400,-0.002800,True
ackley,q20_error,randomized_straddle,randomized_straddle,mean_final_near_boundary_error_q20,0.412600,0.408400,0.004200,True
ackley,q20_error,diversified_straddle,diversified_straddle,mean_final_near_boundary_error_q20,0.412600,0.418500,-0.005900,True
ackley,q20_error,best_original_q20,randomized_straddle,mean_final_near_boundary_error_q20,0.412600,0.408400,0.004200,True
ackley,q30_error,straddle,straddle,mean_final_near_boundary_error_q30,0.375733,0.369733,0.006000,True
ackley,q30_error,randomized_straddle,randomized_straddle,mean_final_near_boundary_error_q30,0.375733,0.368200,0.007533,True
ackley,q30_error,diversified_straddle,diversified_straddle,mean_final_near_boundary_error_q30,0.375733,0.377600,-0.001867,True
ackley,q30_error,best_original_q30,randomized_straddle,mean_final_near_boundary_error_q30,0.375733,0.368200,0.007533,True
ackley,query_distance,diversified_straddle,diversified_straddle,median_query_distance,1.274541,1.415815,-0.141274,True
ackley,query_distance,straddle,straddle,median_query_distance,1.274541,1.282224,-0.007683,True
ackley,query_distance,randomized_straddle,randomized_straddle,median_query_distance,1.274541,1.250842,0.023699,True
ackley,query_distance,smallest_abs_mu,smallest_abs_mu,median_query_distance,1.274541,0.839807,0.434734,True
ackley,q20_uncertainty,diversified_straddle,diversified_straddle,mean_final_latent_uncertainty_region_fraction_q20,0.871600,0.895800,-0.024200,True
ackley,q20_uncertainty,straddle,straddle,mean_final_latent_uncertainty_region_fraction_q20,0.871600,0.878700,-0.007100,True
ackley,q20_uncertainty,randomized_straddle,randomized_straddle,mean_final_latent_uncertainty_region_fraction_q20,0.871600,0.876500,-0.004900,True
ackley,q20_uncertainty,expected_feasibility,expected_feasibility,mean_final_latent_uncertainty_region_fraction_q20,0.871600,0.856500,0.015100,True
ackley,q30_uncertainty,diversified_straddle,diversified_straddle,mean_final_latent_uncertainty_region_fraction_q30,0.865267,0.886333,-0.021066,True
ackley,q30_uncertainty,straddle,straddle,mean_final_latent_uncertainty_region_fraction_q30,0.865267,0.868533,-0.003266,True
ackley,q30_uncertainty,randomized_straddle,randomized_straddle,mean_final_latent_uncertainty_region_fraction_q30,0.865267,0.865600,-0.000333,True
ackley,q30_uncertainty,expected_feasibility,expected_feasibility,mean_final_latent_uncertainty_region_fraction_q30,0.865267,0.841800,0.023467,True
