idx,n,err,pmean,q20frac,y,D,logh,B1,kh_frames,partition,cfg,TE
0,20,0.0,0.0002770665392347382,0.0,0,43.09636,19.63158094088341,1.276116345764307,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
1,20,0.0,2.1722445484949273e-12,0.0,0,27.37239,18.893203115557135,2.681387091414769,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
2,20,0.0,0.00858023477526899,0.0,0,54.88141,19.981159287767515,1.2323568421478737,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
3,20,0.0,1.492263663749327e-08,0.0,0,35.401709999999994,19.04999989622992,2.07959961687215,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
4,20,0.0,0.00016385786603905216,0.0,0,47.09942,19.613380183286644,1.3434564370696966,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
5,20,0.0,0.0003900438047537591,0.0,0,54.9824,19.801624025695173,1.441396279611247,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
6,20,0.0,5.880173795844712e-05,0.0,0,46.944770000000005,19.6163894445236,1.370776733317071,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
7,20,0.0,8.093276164800045e-08,0.0,0,38.905030000000004,19.27319543192164,2.182277520928077,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
8,20,0.0,6.142668098618743e-08,0.0,0,39.06833,19.1313440555154,2.545994554543613,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
9,20,0.0,9.708364094080934e-05,0.0,0,47.091249999999995,19.5847504215337,1.3688640746619687,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
10,20,0.0,0.00010718094133039812,0.0,0,43.1616,19.728199158127982,1.7106122844227576,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
11,20,0.0,0.0035666436661699664,0.0,0,55.08516,19.881064272586734,1.0856820670032545,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
12,20,0.0,0.32022207135461966,0.0,0,58.86335,20.62458540354386,1.111455911252964,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
13,20,0.0,0.0027854333836444312,0.0,0,55.39056,19.84062092917375,1.1302121033969479,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
14,20,0.0,0.00039950768814378534,0.0,0,58.50217,19.706606147998375,1.1855914009050184,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
15,20,0.0,1.3741191168037403e-05,0.0,0,54.91077,19.43429034824653,2.0140353830659943,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
16,20,0.0,0.0018405695511376052,0.0,0,47.18788,19.96440431836706,1.4215244236818556,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
17,20,0.0,2.48134045250481e-05,0.0,0,51.045139999999996,19.407320936404485,1.9139657718544971,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
18,20,0.0,4.456318736121524e-10,0.0,0,34.96528,18.997792175902806,2.9147091031830774,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
19,20,0.0,0.04215331204834456,0.8,0,63.060739999999996,20.255989923062774,0.8902675613251452,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
20,20,0.0,0.0016604491704185875,0.0,0,55.35622,19.8404742466899,1.1920181108526875,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
21,20,0.0,1.948338842225894e-05,0.0,0,58.95469,19.468593434919327,2.0425123440700457,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
