arm,subset,budget,metric,mean,ci_lower,ci_upper,is_reported_checkpoint
A0_m3_margin,B1_q20,16,accuracy,0.7858823529411766,0.7682352941176471,0.8029411764705884,True
A0_m3_margin,B1_q20,16,balanced_accuracy,0.7719142107892109,0.7515244155150406,0.7901411994255744,True
A0_m3_margin,B1_q20,16,keyhole_recall,0.7221190476190478,0.6696298611111111,0.7738155753968253,True
A0_m3_margin,B1_q20,16,roc_auc,0.8981728549228549,0.8884806908369408,0.9066248650654901,True
A0_m3_margin,B1_q20,16,pr_auc,0.8433846365067655,0.8291423583223758,0.8564879786623112,True
A0_m3_margin,B1_q20,16,brier_score,0.17944278547039783,0.16601921422814314,0.19419229732007295,True
A0_m3_margin,B1_q20,16,conduction_recall,0.8217093739593739,0.7879242604617607,0.8562620650183149,True
A0_m3_margin,B1_q20,24,accuracy,0.8170588235294118,0.8094117647058825,0.824720588235294,True
A0_m3_margin,B1_q20,24,balanced_accuracy,0.7988360528360529,0.7888711281773781,0.8081978511072261,True
A0_m3_margin,B1_q20,24,keyhole_recall,0.7287698412698413,0.7100904761904762,0.747921626984127,True
A0_m3_margin,B1_q20,24,roc_auc,0.8998342629592629,0.8923563301282051,0.9073491116522366,True
A0_m3_margin,B1_q20,24,pr_auc,0.8401588667459992,0.8248146836667196,0.855400059013812,True
A0_m3_margin,B1_q20,24,brier_score,0.14996412901009504,0.14174791743125156,0.15837847993593615,True
A0_m3_margin,B1_q20,24,conduction_recall,0.8689022644022643,0.8568615065490065,0.8803906635031636,True
A0_m3_margin,B1_q20,32,accuracy,0.8341176470588236,0.8258823529411765,0.841764705882353,True
A0_m3_margin,B1_q20,32,balanced_accuracy,0.8132126762126763,0.8022546883671884,0.8242488938145189,True
A0_m3_margin,B1_q20,32,keyhole_recall,0.729452380952381,0.708083134920635,0.7503140873015874,True
A0_m3_margin,B1_q20,32,roc_auc,0.9108190836940837,0.905471006077256,0.9158953865578864,True
A0_m3_margin,B1_q20,32,pr_auc,0.8617024452127394,0.8520274985002256,0.8705271348684513,True
A0_m3_margin,B1_q20,32,brier_score,0.12651213653911936,0.12140813657153243,0.13222082802620938,True
A0_m3_margin,B1_q20,32,conduction_recall,0.8969729714729715,0.8880095154845155,0.9058416520979021,True
