subset,region,metric,A0_incumbent,A1_predicted_width,A4_oracle_width,oracle_headroom_A4_minus_A0,oracle_headroom_ci_lower,oracle_headroom_ci_upper,realised_gain_A1_minus_A0,realised_gain_ci_lower,realised_gain_ci_upper,recovered_fraction_of_headroom,headroom_interval_excludes_zero,realised_interval_excludes_zero
B1_q20,EARLY_B16_40,accuracy,0.8260416666666668,0.824546568627451,0.8286642156862746,0.0026225490196078614,-0.0012380514705882513,0.006740502450980424,-0.0014950980392156865,-0.005428921568627465,0.0025370710784313475,-0.5700934579439213,False,False
B1_q20,EARLY_B16_40,balanced_accuracy,0.8073525166962666,0.80585661502849,0.8122556962713212,0.0049031795750545835,0.0007421249034530538,0.009225902923754482,-0.0014959016677766502,-0.005336431609478463,0.0024864144391488403,-0.30508808516563407,True,False
B1_q20,EARLY_B16_40,brier_score,0.14143873339705443,0.14223440823501715,0.14187841266672885,0.0004396792696744284,-0.0021679924343368847,0.003625511673258868,0.000795674837962701,-0.0013331205792035416,0.003686629261387114,1.8096710325958247,False,False
B1_q20,EARLY_B16_40,conduction_recall,0.8831575796888297,0.8822310045278796,0.8800323085479335,-0.0031252711408961075,-0.00872097446824005,0.00301377982549858,-0.0009265751609501494,-0.006767586710164795,0.004558609778531685,,False,False
B1_q20,EARLY_B16_40,keyhole_recall,0.7315474537037037,0.7294822255291004,0.744479083994709,0.012931630291005313,0.0037417328042328303,0.022528536292989454,-0.002065228174603184,-0.010842609126984135,0.007242598792989402,-0.1597036203578808,True,False
B1_q20,EARLY_B16_40,pr_auc,0.846265833539545,0.8475801949900493,0.8473785661605708,0.0011127326210258414,-0.002476057704000781,0.004847914513585126,0.0013143614505042977,-0.0018803431891249182,0.004806410501983069,1.181201508492285,False,False
B1_q20,EARLY_B16_40,roc_auc,0.9023022001147002,0.9034282708032709,0.9039448187807562,0.001642618666056167,-0.0013754365498506128,0.004591438429914992,0.0011260706885706905,-0.001286623532717295,0.0033375241006100313,0.6855338441236161,False,False
B1_q20,FULL_B16_80,accuracy,0.8446047794117648,0.8476470588235292,0.8519439338235294,0.0073391544117646975,0.0040576746323529,0.010726102941176435,0.003042279411764709,0.0007352941176470723,0.005266544117647048,0.414527238572324,True,True
B1_q20,FULL_B16_80,balanced_accuracy,0.8231001265444625,0.8291242852199885,0.8351721123928156,0.012071985848353072,0.008026428202331558,0.015984551662530194,0.00602415867552587,0.003020345195711413,0.008990876761042793,0.49901969329658546,True,True
B1_q20,FULL_B16_80,brier_score,0.12581903346306209,0.12283995382860242,0.12146569937126017,-0.004353334091801924,-0.0062515344053491375,-0.0019817576111015316,-0.002979079634459652,-0.0044577644259049445,-0.0007801897453570472,,False,False
B1_q20,FULL_B16_80,conduction_recall,0.9080702617694805,0.9030141334360084,0.9017362758769011,-0.006333985892579641,-0.009563931077602913,-0.0032051312023479595,-0.0050561283334720816,-0.007786932343914703,-0.0023753582897137588,,False,False
B1_q20,FULL_B16_80,keyhole_recall,0.7381299913194445,0.7552344370039682,0.7686079489087301,0.03047795758928571,0.021824014911954376,0.039060066344246025,0.017104445684523795,0.00995828760540673,0.024565738157242036,0.5612070833295184,True,True
B1_q20,FULL_B16_80,pr_auc,0.8637452772000895,0.8698151307686821,0.8712620225828804,0.007516745382790907,0.004284440186447019,0.011118668790542977,0.00606985356859247,0.003947348959215444,0.008145518813720724,0.807510865339273,True,True
B1_q20,FULL_B16_80,roc_auc,0.9133512240797396,0.9195071722981879,0.9212259985023656,0.007874774422626013,0.0053391361784917105,0.010364889198800369,0.006155948218448243,0.004279436261980246,0.00790640550042411,0.7817301027392997,True,True
B1_q30,EARLY_B16_40,accuracy,0.869775,0.8684166666666666,0.8720666666666667,0.002291666666666692,-7.499999999997535e-05,0.004825000000000024,-0.0013583333333332948,-0.0037416666666666154,0.0011752083333334278,-0.5927272727272493,False,False
B1_q30,EARLY_B16_40,balanced_accuracy,0.8449121996778126,0.8433608896823026,0.8495308863952561,0.004618686717443488,0.0012962483783219463,0.008174406499749317,-0.001551309995509864,-0.004937775439317939,0.0018510855213511796,-0.3358768607645546,True,False
B1_q30,EARLY_B16_40,brier_score,0.10798838170890171,0.10856727060284818,0.10802359298190523,3.521127300354365e-05,-0.0017146926911158654,0.0020995695428028325,0.00057888889394649,-0.0009262705782597875,0.0024604818867498056,16.44044206775003,False,False
B1_q30,EARLY_B16_40,conduction_recall,0.9152693097692856,0.914824134763836,0.913921057602922,-0.0013482521663636005,-0.0048995351238082865,0.0026289546182142673,-0.00044517500544974387,-0.004129327145064625,0.002891591273788869,,False,False
B1_q30,EARLY_B16_40,keyhole_recall,0.7745550895863397,0.7718976446007696,0.7851407151875904,0.010585625601250615,0.0023787914487133294,0.019162412818662815,-0.0026574449855699843,-0.011192454868626708,0.0057306177474146245,-0.25104279006958513,True,False
B1_q30,EARLY_B16_40,pr_auc,0.8672410183727379,0.8680756611514788,0.8679389758488693,0.0006979574761312113,-0.0027954420099463514,0.00417870948193598,0.0008346427787408406,-0.001977372203480449,0.003779066005598847,1.195836146590589,False,False
B1_q30,EARLY_B16_40,roc_auc,0.9350480746744726,0.9353652621445819,0.9358110967202589,0.000763022045786177,-0.0014240073966138179,0.002722048061345926,0.0003171874701092869,-0.0014931846510486194,0.0019308068304616038,0.41569895897630843,False,False
B1_q30,FULL_B16_80,accuracy,0.8874156249999998,0.890446875,0.8937031249999998,0.006287500000000007,0.003975000000000023,0.008712500000000007,0.003031250000000013,0.0011687500000000129,0.004887578125000048,0.4821073558648127,True,True
B1_q30,FULL_B16_80,balanced_accuracy,0.8600476587223259,0.8664195563829582,0.8718402210314746,0.01179256230914873,0.008240819226790387,0.015329660918767795,0.00637189766063212,0.0032568275876112525,0.009577585675695366,0.5403319052797176,True,True
B1_q30,FULL_B16_80,brier_score,0.09443069221628483,0.09202906035551103,0.09080865481360936,-0.003622037402675508,-0.004857396038343052,-0.002011693216565086,-0.002401631860773823,-0.003425422482192617,-0.0009169211636677188,,False,False
B1_q30,FULL_B16_80,conduction_recall,0.9363888526854527,0.9341242521057428,0.9333593206929998,-0.0030295319924528554,-0.004951893372348761,-0.0010761473076441696,-0.002264600579709819,-0.004017382525755692,-0.0005758674100808431,,False,False
B1_q30,FULL_B16_80,keyhole_recall,0.7837064647591991,0.798714860660173,0.8103211213699494,0.02661465661075036,0.018819836408166493,0.034308372226731595,0.01500839590097403,0.007873830379689781,0.022275142538667914,0.5639146925875326,True,True
B1_q30,FULL_B16_80,pr_auc,0.885853378857024,0.8912691906964039,0.8921358174668379,0.006282438609814112,0.003540037968135431,0.009021481385142284,0.005415811839380202,0.0034523644866577326,0.007198585589163202,0.8620556722862188,True,True
B1_q30,FULL_B16_80,roc_auc,0.9455451794271932,0.9494201124960915,0.9503414062090568,0.004796226781863755,0.0031042088709860713,0.0062976138645140485,0.0038749330688983173,0.0024021807850557364,0.005064279512017896,0.807912812536476,True,True
full81,EARLY_B16_40,accuracy,0.9588271604938269,0.9583487654320988,0.9594032921810698,0.0005761316872427924,-0.00015689300411523874,0.001365740740740712,-0.0004783950617283872,-0.001268068415637905,0.0003472222222222435,-0.8303571428571378,False,False
full81,EARLY_B16_40,balanced_accuracy,0.9249507656522582,0.9239646908853999,0.9273729236663005,0.0024221580140423304,0.0005016220137139179,0.004450248369219856,-0.000986074766858358,-0.0029352058700006607,0.001079095946808175,-0.40710587878315235,True,False
full81,EARLY_B16_40,brier_score,0.035991385140454406,0.03614338726290593,0.03597667457621302,-1.4710564241392568e-05,-0.0006348699786281688,0.0006564729157869718,0.00015200212245152118,-0.00035498194156790956,0.0007356572928980327,,False,False
full81,EARLY_B16_40,conduction_recall,0.9777844678124531,0.9775146992311171,0.9772726330468867,-0.0005118347655660938,-0.0015505945650534977,0.0005664197949645928,-0.00026976858133575534,-0.0014226723861752335,0.0007769427012663977,,False,False
full81,EARLY_B16_40,keyhole_recall,0.8721170634920634,0.8704146825396826,0.8774732142857143,0.005356150793650804,0.0011368799603174876,0.009995089285714277,-0.0017023809523809275,-0.006205505952380914,0.002924776785714311,-0.3178366364141455,True,False
full81,EARLY_B16_40,pr_auc,0.9434942637475692,0.9418609134022324,0.9414057647333405,-0.002088499014228612,-0.0049430101250727615,0.00022160695905157086,-0.0016333503453367314,-0.004321156338713141,0.0004965675986354242,,False,False
full81,EARLY_B16_40,roc_auc,0.9845898479284674,0.983790178795776,0.9835915451153326,-0.0009983028131349049,-0.0025596499824112042,9.317442594027566e-05,-0.0007996691326915383,-0.002293860249842067,0.00016723886430040693,,False,False
full81,FULL_B16_80,accuracy,0.9645052083333333,0.9655362654320987,0.96633487654321,0.001829668209876545,0.0009972993827160428,0.0026466049382715966,0.0010310570987654532,0.0003983169367283807,0.0016811342592592607,0.5635213494992203,True,True
full81,FULL_B16_80,balanced_accuracy,0.9304481642618885,0.9343485640991472,0.9368799804245815,0.006431816162693021,0.004279862312069946,0.008492930821995932,0.003900399837258517,0.002105806436062417,0.005703497560139641,0.6064227799112666,True,True
full81,FULL_B16_80,brier_score,0.03119193820250709,0.030443669974968328,0.03007369687319113,-0.00111824132931597,-0.0015440222999648008,-0.0006358943393078011,-0.0007482682275387686,-0.0010996309417919143,-0.0002775050707174955,,False,False
full81,FULL_B16_80,conduction_recall,0.9835615070952057,0.9829199704601992,0.9827781900158298,-0.0007833170793758559,-0.001261713449796465,-0.00028378879748984634,-0.000641536635006773,-0.0010868615021483678,-0.00023898131854927805,,False,False
full81,FULL_B16_80,keyhole_recall,0.8773348214285713,0.8857771577380952,0.8909817708333334,0.0136469494047619,0.009150139508928545,0.017791675967261906,0.008442336309523813,0.004812379092261934,0.012390011160714276,0.618624430935311,True,True
full81,FULL_B16_80,pr_auc,0.9575475917710143,0.9587811922763599,0.958596706352755,0.0010491145817407733,-0.0010565759000207354,0.0026066174526031827,0.0012336005053456944,-0.0007164046892238007,0.0025768986558114696,1.1758491653969843,False,False
full81,FULL_B16_80,roc_auc,0.9893973942853375,0.9895505851424694,0.9894044616440256,7.067358688128688e-06,-0.001149052571793362,0.0007460525535370202,0.00015319085713209614,-0.0008609874901735789,0.0008063842087250592,21.675828819813074,False,False
