run_id,repeat,fold,arm,subset,region,accuracy_AULC,balanced_accuracy_AULC,keyhole_recall_AULC,roc_auc_AULC,pr_auc_AULC,brier_score_AULC,conduction_recall_AULC
w85__r01_f01,1,1,A0_m3_margin,B1_q20,EARLY_B16_40,0.903186274509804,0.8824404761904763,0.7648809523809522,0.9910714285714285,0.9888392857142856,0.0893550475731424,1.0
w85__r01_f01,1,1,A0_m3_margin,B1_q30,EARLY_B16_40,0.9325,0.8959099264705882,0.7942708333333334,0.9895833333333334,0.9818287037037038,0.07201477614819185,0.9975490196078431
w85__r01_f01,1,1,A0_m3_margin,full81,EARLY_B16_40,0.9750514403292181,0.9337121212121212,0.8680555555555557,0.9980850168350169,0.9927627995642702,0.029281614158633937,0.9993686868686869
w85__r01_f01,1,1,A0_model_on_A1_path,B1_q20,EARLY_B16_40,0.9117647058823529,0.8937499999999999,0.7916666666666666,0.9892857142857143,0.9866071428571427,0.07818393980220777,0.9958333333333332
w85__r01_f01,1,1,A0_model_on_A1_path,B1_q30,EARLY_B16_40,0.9333333333333332,0.9027267156862745,0.8177083333333334,0.9871323529411765,0.9777777777777779,0.06244962334693899,0.9877450980392157
w85__r01_f01,1,1,A0_model_on_A1_path,full81,EARLY_B16_40,0.9753086419753085,0.938699494949495,0.8805555555555555,0.9979166666666668,0.9920547385620915,0.025339518125493232,0.9968434343434343
w85__r01_f01,1,1,A1_model_on_A0_path,B1_q20,EARLY_B16_40,0.9105392156862745,0.8913690476190476,0.7827380952380952,0.9904761904761905,0.988095238095238,0.0886847198448887,1.0
w85__r01_f01,1,1,A1_model_on_A0_path,B1_q30,EARLY_B16_40,0.9375,0.9037224264705882,0.8098958333333334,0.9898897058823529,0.9825231481481481,0.07170096179596865,0.9975490196078431
w85__r01_f01,1,1,A1_model_on_A0_path,full81,EARLY_B16_40,0.9776234567901234,0.9406565656565656,0.8819444444444445,0.9981691919191918,0.9931100217864923,0.029182040381852545,0.9993686868686869
w85__r01_f01,1,1,A1_predicted_width_margin,B1_q20,EARLY_B16_40,0.9166666666666666,0.8988095238095238,0.7976190476190476,0.9892857142857143,0.9867724867724866,0.07766177757790876,1.0
w85__r01_f01,1,1,A1_predicted_width_margin,B1_q30,EARLY_B16_40,0.9383333333333331,0.9077818627450981,0.8229166666666666,0.9872855392156863,0.9780934343434344,0.06200087122486472,0.9926470588235294
w85__r01_f01,1,1,A1_predicted_width_margin,full81,EARLY_B16_40,0.9768518518518517,0.940719696969697,0.8833333333333334,0.9978114478114479,0.9917371681859878,0.025294445368540586,0.9981060606060606
w85__r01_f01,1,1,A4_model_on_A0_path,B1_q20,EARLY_B16_40,0.9154411764705882,0.8991071428571429,0.806547619047619,0.9895833333333334,0.9867134353741496,0.08784526176398032,0.9916666666666666
w85__r01_f01,1,1,A4_model_on_A0_path,B1_q30,EARLY_B16_40,0.9408333333333334,0.911688112745098,0.8307291666666666,0.9911151960784315,0.984252025462963,0.07053297242834368,0.9926470588235294
w85__r01_f01,1,1,A4_model_on_A0_path,full81,EARLY_B16_40,0.9763374485596708,0.939330808080808,0.8805555555555555,0.998253367003367,0.9933694658418925,0.029126887489128412,0.9981060606060606
w85__r01_f01,1,1,A4_oracle_width_margin,B1_q20,EARLY_B16_40,0.8982843137254903,0.8773809523809524,0.7589285714285715,0.987202380952381,0.9836309523809522,0.07686284924821284,0.9958333333333332
w85__r01_f01,1,1,A4_oracle_width_margin,B1_q30,EARLY_B16_40,0.9308333333333332,0.8933057598039215,0.7890625,0.9901960784313726,0.9824435763888889,0.058901429687935526,0.9975490196078431
w85__r01_f01,1,1,A4_oracle_width_margin,full81,EARLY_B16_40,0.9737654320987653,0.9313131313131313,0.8638888888888889,0.9981902356902358,0.9930383889666978,0.02451247114806751,0.9987373737373737
