arm,budget,mean_jaccard,median_jaccard,fraction_of_runs_differing,median_first_divergence_budget
A0_model_on_A1_path,16,1.0,1.0,0.0,
A0_model_on_A1_path,24,0.8338298285573034,0.8461538461538461,0.69,
A0_model_on_A1_path,32,0.8008278357756538,0.8031746031746032,0.78,
A0_model_on_A1_path,40,0.8290673338971832,0.8604651162790697,0.95,
A0_model_on_A1_path,60,0.9218421789885359,0.9354838709677419,0.89,
A0_model_on_A1_path,80,0.9388963212943228,0.9512195121951219,0.94,
A1_model_on_A0_path,16,1.0,1.0,0.0,
A1_model_on_A0_path,24,1.0,1.0,0.0,
A1_model_on_A0_path,32,1.0,1.0,0.0,
A1_model_on_A0_path,40,1.0,1.0,0.0,
A1_model_on_A0_path,60,1.0,1.0,0.0,
A1_model_on_A0_path,80,1.0,1.0,0.0,
A1_predicted_width_margin,16,1.0,1.0,0.0,
A1_predicted_width_margin,24,0.8338298285573034,0.8461538461538461,0.69,
A1_predicted_width_margin,32,0.8008278357756538,0.8031746031746032,0.78,
A1_predicted_width_margin,40,0.8290673338971832,0.8604651162790697,0.95,
A1_predicted_width_margin,60,0.9218421789885359,0.9354838709677419,0.89,
A1_predicted_width_margin,80,0.9388963212943228,0.9512195121951219,0.94,
A4_model_on_A0_path,16,1.0,1.0,0.0,
A4_model_on_A0_path,24,1.0,1.0,0.0,
A4_model_on_A0_path,32,1.0,1.0,0.0,
A4_model_on_A0_path,40,1.0,1.0,0.0,
A4_model_on_A0_path,60,1.0,1.0,0.0,
A4_model_on_A0_path,80,1.0,1.0,0.0,
A4_oracle_width_margin,16,1.0,1.0,0.0,
A4_oracle_width_margin,24,0.8350284323512354,0.8461538461538461,0.66,
A4_oracle_width_margin,32,0.8059569556458444,0.8031746031746032,0.77,
A4_oracle_width_margin,40,0.8231360249869546,0.8604651162790697,0.94,
A4_oracle_width_margin,60,0.9150284205490959,0.9354838709677419,0.9,
A4_oracle_width_margin,80,0.9300774992249881,0.9512195121951219,0.97,
A0_model_on_A1_path,-1,,,1.0,21.0
A1_model_on_A0_path,-1,,,0.0,80.0
A1_predicted_width_margin,-1,,,1.0,21.0
A4_model_on_A0_path,-1,,,0.0,80.0
A4_oracle_width_margin,-1,,,1.0,21.0
