arm,budget,runs,mae_mean,mae_q1,mae_q3,rmse_mean,rmse_q1,rmse_q3,r2_mean,r2_q1,r2_q3,relative_rmse_mean,relative_rmse_q1,relative_rmse_q3,spearman_true_vs_predicted_mean,spearman_true_vs_predicted_q1,spearman_true_vs_predicted_q3,mean_predicted_sd_mean,mean_predicted_sd_q1,mean_predicted_sd_q3,n_width_observations_mean,n_width_observations_q1,n_width_observations_q3,chosen_ridge_linear_fraction,chosen_ridge_quadratic_fraction,chosen_gp_matern_fraction
A1_model_on_A0_path,16,100,5.946205312076778,5.53927635702344,6.237606771622524,7.874809493356881,7.317183285913099,8.2593624824152,0.07125031164621777,0.0030804147716525787,0.19527862280477995,0.9595362882313924,0.8970622245858095,0.998458212853583,0.31679095356195647,0.2664538264955331,0.39973621793197195,8.389846333298543,6.9569470888118925,9.533944476927177,14.24,13.75,15.0,0.26,0.62,0.12
A1_model_on_A0_path,17,100,5.9299347655917565,5.485747183789581,6.170633322783073,7.864536595648182,7.294777037733118,8.327610111401274,0.07272388817934854,0.006752740716885086,0.19170481663199604,0.9584953622058316,0.8990519679476084,0.9966176638953096,0.3244563781415245,0.2590151680447009,0.41040972421776534,8.477400782170132,6.945790985895335,9.769518936368797,15.08,14.0,16.0,0.26,0.62,0.12
A1_model_on_A0_path,18,100,5.929577371165784,5.500397874786394,6.170287825638269,7.862598505830802,7.343098185012126,8.304682181028804,0.073280392799308,0.003362370791278241,0.20273486329877427,0.9579164951178644,0.8928962451345004,0.9983173302142667,0.32882097161026996,0.2591753227907479,0.4057492450717691,8.538896113055507,6.94423230290067,9.942456125073907,16.01,15.0,17.0,0.26,0.62,0.12
A1_model_on_A0_path,19,100,5.917445512508178,5.4467813237007086,6.289324570472225,7.876703841547835,7.356014234063879,8.299649253572714,0.06930752722807798,-0.016483230587255204,0.1994798190793843,0.9600210595582047,0.8947179307804685,1.0082070436363226,0.33270173311883233,0.26158121807604806,0.40999309927660677,8.49901182163562,6.854005456630306,9.857100248544619,16.88,16.0,18.0,0.26,0.62,0.12
A1_model_on_A0_path,20,100,5.8600538055122176,5.3906334286925315,6.126938606409497,7.793282526538995,7.285302613830656,8.191452132576682,0.0865239173633193,-0.011612360918143994,0.2130321677290403,0.9511410032077682,0.8871117031919225,1.0057889727408047,0.3410157479747503,0.27953390547360857,0.4084287711687087,8.724934219926121,6.797406438824284,10.581597509884674,17.66,17.0,18.0,0.26,0.62,0.12
A1_model_on_A0_path,21,100,5.842980870799744,5.390174362494874,6.113797995399377,7.777347266898116,7.278397198970142,8.202042926701406,0.0859817184102713,0.01418292691955464,0.21419179860872797,0.9507769827784098,0.8864580747697348,0.992870372254799,0.345216489572292,0.29691826398139815,0.4164094151714468,8.650328258613328,6.694838575860809,10.559333636233045,18.58,17.0,19.0,0.26,0.62,0.12
A1_model_on_A0_path,22,100,5.854865168795251,5.405788113419191,6.100848804571989,7.792749914168313,7.235088932347092,8.227741520151753,0.07858775107031897,-0.020081681300903487,0.21960145700831962,0.9538425437933948,0.8834016567881049,1.0099898376556615,0.34551471065478423,0.30316795219006987,0.40290976005115275,8.487694098194346,6.886771861805366,10.136653847107997,19.5,18.0,20.0,0.26,0.62,0.12
A1_model_on_A0_path,23,100,5.838546726319816,5.365466321028032,6.0951894759916865,7.76340708459244,7.164894662837238,8.203957631079831,0.085166515958871,0.00017568201509168824,0.23695283776183235,0.9503447938621927,0.8735257073116743,0.999911169236146,0.35027915659441056,0.3014566696452809,0.4129909192188433,8.55611736917461,6.617199473740588,10.31083001434292,20.33,19.0,21.0,0.26,0.62,0.12
A1_model_on_A0_path,24,100,5.805982361854092,5.41217577208818,6.112003312150925,7.705340975081932,7.07644987258334,8.158414817458407,0.09434700078039114,0.0035797755743058324,0.2445129024502107,0.945154945461133,0.8691875548688364,0.9982072596752188,0.3525781373388919,0.3001890612084259,0.43042789139974913,8.352235978114823,6.508822020391731,10.138180555897872,21.24,20.0,22.0,0.26,0.58,0.16
A1_model_on_A0_path,25,100,5.802099414910353,5.418441745913417,6.080560118396657,7.685460628274886,7.055577464582088,8.132731371999634,0.09793953054606337,-0.00016901401776595049,0.24724212284082217,0.9438824890045745,0.867615902049485,1.000084447041593,0.3552131067881479,0.2902616710756245,0.41836721641027647,8.550130713829624,6.805144932001275,10.222257462769338,22.11,21.0,23.0,0.26,0.58,0.16
A1_model_on_A0_path,26,100,5.780053829526082,5.399717361879222,5.983915027472197,7.643000148725751,7.047781435246946,8.164964988674317,0.10976064727967526,0.012524256321219646,0.25419832551352095,0.9384158444462453,0.8635980339101319,0.9937180769079698,0.35759482747658383,0.2990795800114527,0.4265466772221419,8.462425077196698,6.834392860646906,10.07849053859205,22.96,22.0,24.0,0.26,0.58,0.16
A1_model_on_A0_path,27,100,5.7319459543967115,5.360816149941355,5.944142641430353,7.557737546491389,7.018085761114143,8.094483640788557,0.1283993896894836,0.03942233609657719,0.2562178647507422,0.9287615410808517,0.8624274299862964,0.9800897667562756,0.36553718261388307,0.3087006698032853,0.43211160485553307,8.480306451490396,6.977039225296856,10.13917597499957,23.87,23.0,25.0,0.26,0.58,0.16
A1_model_on_A0_path,28,100,5.775133619513785,5.346702152202366,6.074192393210944,7.576934756236248,6.998852728795464,8.136458522618732,0.11908943346298047,0.009465242372195315,0.25966262418982267,0.9332486014446987,0.8604282858216878,0.9952561048425876,0.3610917411394338,0.2998186142259173,0.4291999272590449,8.557957819539588,7.044087308856914,9.974532191601737,24.74,24.0,26.0,0.26,0.58,0.16
A1_model_on_A0_path,29,100,5.7830461954031716,5.349640761576463,6.076376671886515,7.590587104305282,7.009504189468071,8.16075704863564,0.11097116209171688,0.008441065903929179,0.2655115765531437,0.9365302521966871,0.8570229344146143,0.9957586805453812,0.36699512086002356,0.3059915930956818,0.4334590835113482,8.596029863786834,6.794898456340467,10.216106785323849,25.64,25.0,27.0,0.26,0.58,0.16
A1_model_on_A0_path,30,100,5.763101363267075,5.353262791473024,6.081732004797983,7.544329747917532,6.930016622480408,8.1453288366382,0.1215777175728518,0.00940049043456026,0.2570876585483367,0.9317557686011765,0.8619196194153657,0.9952805050350695,0.36818663251298467,0.3098598615081071,0.4438465234987931,8.610288329189826,7.242315365765286,10.296187435331351,26.54,26.0,28.0,0.26,0.58,0.16
A1_model_on_A0_path,31,100,5.755076992677265,5.339725893298697,6.087387187373101,7.507591829609992,6.909936637005339,8.002467837941328,0.12833852562661982,0.026653607933382728,0.2697801799129237,0.9286857792358727,0.8545289563779633,0.9865813130074761,0.3683779868839971,0.30670619426848994,0.4350406558880282,8.531348664116713,6.946004420755975,10.109635284883216,27.47,27.0,29.0,0.26,0.58,0.16
A1_model_on_A0_path,32,100,5.769275466288452,5.339467800940263,6.139579924446242,7.527981376524533,6.897546622206966,8.087589094840872,0.12176137877868622,0.02665926818273051,0.24641322809093205,0.932403202929948,0.8680926797942538,0.9865783992043471,0.35694819779935855,0.2862206412445456,0.4324908646039102,8.334529196030047,6.90501173123835,9.75415711189224,28.33,27.0,29.0,0.24,0.52,0.24
A1_model_on_A0_path,33,100,5.7698238039221925,5.353037126846443,6.119635655494129,7.524617425627295,6.9274142099753435,8.010604933498156,0.12024176903020695,0.0116208625804258,0.2476779854479116,0.9329662351355943,0.8673637723338422,0.9941694225068102,0.36109225742103446,0.29177011289323485,0.43777382760708944,8.36724677061333,6.686520266393401,9.781592547435844,29.24,28.0,30.0,0.24,0.52,0.24
