quantity,phase114_published_P1,phase22_A0_reproduced,abs_difference,status
q20_accuracy_AULC_B16_40,0.8260416666666668,0.8260416666666668,0.0,PASS
q20_accuracy_B16,0.7858823529411766,,,REFERENCE
q20_accuracy_B40,0.8464705882352941,,,REFERENCE
q20_accuracy_B80,0.8611764705882354,,,REFERENCE
