arm,subset,budget,metric,mean,ci_lower,ci_upper,is_reported_checkpoint
A0_m3_margin,B1_q20,16,accuracy,0.7858823529411766,0.7682352941176471,0.8029411764705884,True
A0_m3_margin,B1_q20,16,balanced_accuracy,0.7719142107892109,0.7515244155150406,0.7901411994255744,True
A0_m3_margin,B1_q20,16,keyhole_recall,0.7221190476190478,0.6696298611111111,0.7738155753968253,True
A0_m3_margin,B1_q20,16,roc_auc,0.8981728549228549,0.8884806908369408,0.9066248650654901,True
A0_m3_margin,B1_q20,16,pr_auc,0.8433846365067655,0.8291423583223758,0.8564879786623112,True
A0_m3_margin,B1_q20,16,brier_score,0.17944278547039783,0.16601921422814314,0.19419229732007295,True
A0_m3_margin,B1_q20,16,conduction_recall,0.8217093739593739,0.7879242604617607,0.8562620650183149,True
A0_m3_margin,B1_q20,17,accuracy,0.8064705882352943,0.7905882352941178,0.8211764705882354,False
A0_m3_margin,B1_q20,17,balanced_accuracy,0.7908708097458097,0.773669084040959,0.8073269889832391,False
A0_m3_margin,B1_q20,17,keyhole_recall,0.7327777777777778,0.6947338293650794,0.7698540674603175,False
A0_m3_margin,B1_q20,17,roc_auc,0.8934512015762017,0.882042017010767,0.904313745976246,False
A0_m3_margin,B1_q20,17,pr_auc,0.8326249108319838,0.813980742093571,0.8509265539360007,False
A0_m3_margin,B1_q20,17,brier_score,0.16884762980282542,0.15538558986176765,0.18369711939319777,False
A0_m3_margin,B1_q20,17,conduction_recall,0.8489638417138415,0.8182138146575647,0.8767875797813298,False
A0_m3_margin,B1_q20,18,accuracy,0.8047058823529414,0.7923529411764708,0.8170588235294118,False
A0_m3_margin,B1_q20,18,balanced_accuracy,0.7877465312465313,0.7741450580669331,0.7993132308663558,False
A0_m3_margin,B1_q20,18,keyhole_recall,0.7129484126984126,0.6804907738095238,0.7462539682539682,False
A0_m3_margin,B1_q20,18,roc_auc,0.885771325896326,0.8736234074952826,0.8974820093101344,False
A0_m3_margin,B1_q20,18,pr_auc,0.823293348594294,0.8025044221188218,0.8427753790520839,False
A0_m3_margin,B1_q20,18,brier_score,0.16633717972084874,0.1543983235412172,0.17848221641835954,False
A0_m3_margin,B1_q20,18,conduction_recall,0.8625446497946498,0.8364313221500722,0.8882062590187588,False
