arm,subset,region,metric,mean_AULC,ci_lower,ci_upper
A0_m3_margin,B1_q20,EARLY_B16_40,accuracy,0.8260416666666668,0.8217156862745097,0.8305392156862744
A0_m3_margin,B1_q20,EARLY_B16_40,balanced_accuracy,0.8073525166962666,0.8003016080129361,0.814056111806307
A0_m3_margin,B1_q20,EARLY_B16_40,keyhole_recall,0.7315474537037037,0.7155264364252646,0.7471737020502646
A0_m3_margin,B1_q20,EARLY_B16_40,roc_auc,0.9023022001147002,0.8976825457239519,0.9073662181568433
A0_m3_margin,B1_q20,EARLY_B16_40,pr_auc,0.846265833539545,0.8367142669454726,0.8554690696656179
A0_m3_margin,B1_q20,EARLY_B16_40,brier_score,0.14143873339705443,0.13645363661266,0.1463240701033459
A0_m3_margin,B1_q20,EARLY_B16_40,conduction_recall,0.8831575796888297,0.8746631135646761,0.8917185626005936
A0_m3_margin,B1_q20,FULL_B16_80,accuracy,0.8446047794117648,0.8407077205882354,0.8487363281250001
A0_m3_margin,B1_q20,FULL_B16_80,balanced_accuracy,0.8231001265444625,0.8157996906711996,0.8302067843018528
A0_m3_margin,B1_q20,FULL_B16_80,keyhole_recall,0.7381299913194445,0.7221022739955357,0.7539247264074902
A0_m3_margin,B1_q20,FULL_B16_80,roc_auc,0.9133512240797396,0.9090258224089279,0.918222498811952
A0_m3_margin,B1_q20,FULL_B16_80,pr_auc,0.8637452772000895,0.8558992104353443,0.8711460173559915
A0_m3_margin,B1_q20,FULL_B16_80,brier_score,0.12581903346306209,0.12231506775687133,0.1295132885969663
A0_m3_margin,B1_q20,FULL_B16_80,conduction_recall,0.9080702617694805,0.9001534462065713,0.9148989841484471
A0_m3_margin,B1_q30,EARLY_B16_40,accuracy,0.869775,0.8661166666666666,0.8729252083333334
A0_m3_margin,B1_q30,EARLY_B16_40,balanced_accuracy,0.8449121996778126,0.8404763631970016,0.8493829597852546
A0_m3_margin,B1_q30,EARLY_B16_40,keyhole_recall,0.7745550895863397,0.7646487405678811,0.7846437524425806
A0_m3_margin,B1_q30,EARLY_B16_40,roc_auc,0.9350480746744726,0.9316704150998816,0.938653793758287
A0_m3_margin,B1_q30,EARLY_B16_40,pr_auc,0.8672410183727379,0.860268998651657,0.8741700722856013
A0_m3_margin,B1_q30,EARLY_B16_40,brier_score,0.10798838170890171,0.10415152505272413,0.11176196045283429
A0_m3_margin,B1_q30,EARLY_B16_40,conduction_recall,0.9152693097692856,0.9086968306716171,0.9214430258397219
A0_m3_margin,B1_q30,FULL_B16_80,accuracy,0.8874156249999998,0.88466859375,0.890115625
A0_m3_margin,B1_q30,FULL_B16_80,balanced_accuracy,0.8600476587223259,0.8557735112764113,0.8642511647616098
A0_m3_margin,B1_q30,FULL_B16_80,keyhole_recall,0.7837064647591991,0.7746361990440116,0.7927219567325036
A0_m3_margin,B1_q30,FULL_B16_80,roc_auc,0.9455451794271932,0.942734876679984,0.9484904742457475
A0_m3_margin,B1_q30,FULL_B16_80,pr_auc,0.885853378857024,0.8803973175598421,0.891155970775078
A0_m3_margin,B1_q30,FULL_B16_80,brier_score,0.09443069221628483,0.0921382746118555,0.09666908167905507
A0_m3_margin,B1_q30,FULL_B16_80,conduction_recall,0.9363888526854527,0.9321869704858898,0.9403945458603034
A0_m3_margin,full81,EARLY_B16_40,accuracy,0.9588271604938269,0.9575488040123455,0.9599666280864199
A0_m3_margin,full81,EARLY_B16_40,balanced_accuracy,0.9249507656522582,0.9221577729419731,0.9275317800035269
A0_m3_margin,full81,EARLY_B16_40,keyhole_recall,0.8721170634920634,0.8662554563492063,0.8780546626984128
A0_m3_margin,full81,EARLY_B16_40,roc_auc,0.9845898479284674,0.9825034124841611,0.9866914786244194
A0_m3_margin,full81,EARLY_B16_40,pr_auc,0.9434942637475692,0.9387301691190819,0.9487697717665975
A0_m3_margin,full81,EARLY_B16_40,brier_score,0.035991385140454406,0.034638422256707886,0.03737243603939901
A0_m3_margin,full81,EARLY_B16_40,conduction_recall,0.9777844678124531,0.97611779879014,0.9793647388059702
A0_m3_margin,full81,FULL_B16_80,accuracy,0.9645052083333333,0.9635744357638886,0.9654523533950616
A0_m3_margin,full81,FULL_B16_80,balanced_accuracy,0.9304481642618885,0.9278233477120283,0.9329509974667554
A0_m3_margin,full81,FULL_B16_80,keyhole_recall,0.8773348214285713,0.8717651785714284,0.8829308686755953
A0_m3_margin,full81,FULL_B16_80,roc_auc,0.9893973942853375,0.9882043991457924,0.9904938658977839
A0_m3_margin,full81,FULL_B16_80,pr_auc,0.9575475917710143,0.9542918116966456,0.9609141022761863
A0_m3_margin,full81,FULL_B16_80,brier_score,0.03119193820250709,0.03027204417636394,0.03214351768520581
A0_m3_margin,full81,FULL_B16_80,conduction_recall,0.9835615070952057,0.9824883399939223,0.9845330030423167
A0_model_on_A1_path,B1_q20,EARLY_B16_40,accuracy,0.8241176470588236,0.8191786151960784,0.8290689338235294
A0_model_on_A1_path,B1_q20,EARLY_B16_40,balanced_accuracy,0.804894929433992,0.7968117292502057,0.8124163133307665
A0_model_on_A1_path,B1_q20,EARLY_B16_40,keyhole_recall,0.7272714120370372,0.7083908833498678,0.745619208829365
