contrast,role,subset,budget,metric,mean_difference,ci_lower,ci_upper
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,16,accuracy,0.001764705882352935,-0.000588235294117645,0.00470588235294116
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,16,balanced_accuracy,0.0008253968253968292,-0.003202876984126993,0.0048812500000000114
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,16,keyhole_recall,-0.0014047619047618976,-0.009499999999999991,0.0058571428571428715
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,16,roc_auc,0.0013243145743145723,-0.0010815604534354529,0.004038189241314226
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,16,pr_auc,0.0038988221765007603,-0.0013029623154622917,0.009822834085557326
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,16,brier_score,0.00020198924683244163,-0.0004310968758091293,0.000839021380708968
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,16,conduction_recall,0.00305555555555555,0.0,0.008333333333333321
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,17,accuracy,-0.0052941176470588215,-0.012941176470588239,0.0011764705882352955
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,17,balanced_accuracy,-0.0067344322344322525,-0.0166039262820513,0.0014447420634920356
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,17,keyhole_recall,-0.014765873015873019,-0.03540079365079366,0.001976190476190481
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,17,roc_auc,-0.0023642052392052527,-0.006122044968919983,0.0011949442918192939
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,17,pr_auc,-0.00022613029607075895,-0.006678063388331246,0.0063672752297305926
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,17,brier_score,0.0010836261031520662,-0.0005201520548346627,0.0028386289502598935
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,17,conduction_recall,0.0012970085470085436,-0.002897435897435896,0.005779914529914515
