contrast,role,subset,region,metric,mean_difference,ci_lower,ci_upper,positive_repeat_blocks,negative_repeat_blocks,bootstrap_draws
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,full81,EARLY_B16_40,keyhole_recall,-0.0017023809523809275,-0.006205505952380914,0.002924776785714311,8,12,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,full81,EARLY_B16_40,roc_auc,-0.0007996691326915383,-0.002293860249842067,0.00016723886430040693,9,11,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,full81,EARLY_B16_40,pr_auc,-0.0016333503453367314,-0.004321156338713141,0.0004965675986354242,6,14,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,full81,EARLY_B16_40,brier_score,0.00015200212245152118,-0.00035498194156790956,0.0007356572928980327,11,9,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,full81,EARLY_B16_40,conduction_recall,-0.00026976858133575534,-0.0014226723861752335,0.0007769427012663977,8,12,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,full81,FULL_B16_80,accuracy,0.0010310570987654532,0.0003983169367283807,0.0016811342592592607,14,6,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,full81,FULL_B16_80,balanced_accuracy,0.003900399837258517,0.002105806436062417,0.005703497560139641,17,3,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,full81,FULL_B16_80,keyhole_recall,0.008442336309523813,0.004812379092261934,0.012390011160714276,17,3,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,full81,FULL_B16_80,roc_auc,0.00015319085713209614,-0.0008609874901735789,0.0008063842087250592,16,4,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,full81,FULL_B16_80,pr_auc,0.0012336005053456944,-0.0007164046892238007,0.0025768986558114696,19,1,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,full81,FULL_B16_80,brier_score,-0.0007482682275387686,-0.0010996309417919143,-0.0002775050707174955,2,18,10000
