arm,c,selection_budget,rows,mean_r_N,mean_r_T,mean_r_ST,mean_total_distance,mean_B1_distance,q20_fraction,keyhole_fraction
M3_MARGIN,0.0,24,100,0.17743759588041844,0.559765133008178,0.26279727111140355,0.9446428437003688,0.745166401552065,0.76,0.46
M3_MARGIN,0.0,32,100,0.14545794342675156,0.5517487420994597,0.30279331447378877,0.8107245356658361,0.7293274089686116,0.83,0.5
M3_MARGIN,0.0,40,100,0.15878342437339238,0.6287168065577706,0.212499769068837,0.7581747562865155,0.7332789708523951,0.84,0.42
M3_MARGIN,0.0,60,100,0.18968384669397081,0.54564980138827,0.2646663519177592,0.6748347239433135,0.8923419742621315,0.63,0.49
M3_MARGIN,0.0,80,100,0.17295734615528893,0.5869414359306002,0.24010121791411085,0.6419293238198631,0.9610440581622397,0.56,0.3
REP_C025,0.25,24,100,0.15832089338699182,0.5476056347099185,0.29407347190308974,1.0978726008287143,0.8281078692042922,0.73,0.54
REP_C025,0.25,32,100,0.13837260360189785,0.5846959024433055,0.27693149395479666,0.8820926748490647,0.7653874607231131,0.77,0.44
REP_C025,0.25,40,100,0.1814813566945032,0.5787270711824423,0.23979157212305452,0.7622735639394956,0.7542898031467117,0.8,0.38
REP_C025,0.25,60,100,0.2296960271333028,0.5651636801146992,0.205140292751998,0.7301528556654431,0.8996522318553243,0.62,0.33
REP_C025,0.25,80,100,0.17127169169524006,0.5971621103845561,0.2315661979202038,0.6247947429943215,0.9387824401936691,0.51,0.31
REP_C050,0.5,24,100,0.13690467909274234,0.5518617004748141,0.3112336204324435,1.1883573651506258,0.8533011133384788,0.69,0.44
REP_C050,0.5,32,100,0.11388767670644948,0.6096294169321098,0.27648290636144074,0.9397114248716884,0.8605179141706288,0.66,0.4
REP_C050,0.5,40,100,0.14595716751982135,0.602728198415649,0.2513146340645297,0.8005717399514015,0.7997284575105921,0.78,0.37
REP_C050,0.5,60,100,0.21270903493679819,0.5297826397058545,0.25750832535734736,0.7488797223508493,0.9052406053940613,0.64,0.4
REP_C050,0.5,80,100,0.21409189098784365,0.47507825542286936,0.310829853589287,0.6768024633141141,0.9251944927705357,0.51,0.29
REP_C100,1.0,24,100,0.15172963744346063,0.5332106094491411,0.31505975310739825,1.2412054697016524,0.9080177427201005,0.65,0.45
REP_C100,1.0,32,100,0.15854336714713535,0.5683117695884281,0.27314486326443654,0.9397289006641916,0.8272277679047524,0.69,0.39
REP_C100,1.0,40,100,0.153747253964478,0.6371766720675346,0.20907607396798739,0.8425252498686311,0.837423644666014,0.71,0.45
REP_C100,1.0,60,100,0.24413787208911983,0.48338407781708415,0.27247805009379605,0.749921376725945,0.9102786707667277,0.54,0.4
REP_C100,1.0,80,100,0.21702871585101918,0.5103195108586798,0.27265177329030105,0.7099198261175717,0.971103052495534,0.47,0.27
REP_C200,2.0,24,100,0.14975717517195433,0.5401492672378935,0.31009355759015217,1.2475454132919537,0.9035763130364052,0.67,0.54
REP_C200,2.0,32,100,0.18336738913420841,0.5854659593399653,0.23116665152582638,0.972041105306098,0.8338225039107187,0.7,0.39
REP_C200,2.0,40,100,0.1540677933483987,0.6463152421480032,0.1996169645035981,0.8248448935291812,0.8181842110648688,0.72,0.5
REP_C200,2.0,60,100,0.29487333617462935,0.4892997243243669,0.2158269395010037,0.7576256022620873,0.8938171292962325,0.59,0.39
REP_C200,2.0,80,100,0.23489260686752114,0.5584938810222622,0.20661351211021667,0.7059949354138485,0.9138547145447642,0.56,0.23
REP_C400,4.0,24,100,0.1579996717361538,0.5336819197868093,0.3083184084770369,1.2623916499353094,0.899872830716517,0.69,0.51
REP_C400,4.0,32,100,0.18613226554281936,0.5825952512841441,0.23127248317303647,0.968657506036482,0.8371039046918264,0.68,0.37
REP_C400,4.0,40,100,0.17726814735090993,0.6168338633943855,0.20589798925470462,0.8595824191070663,0.8654544416968821,0.68,0.44
REP_C400,4.0,60,100,0.21754543511420552,0.5524107785771795,0.23004378630861505,0.7487308202046709,0.8771424509902691,0.61,0.43
REP_C400,4.0,80,100,0.23390481433171093,0.5735985304092498,0.19249665525903933,0.6801193819922804,0.8858275335661685,0.59,0.26
