state,repeat,budget,n_cand,n_pos,n_neg,Vmax,Vmin,range,minimax_bound,Vmean,Vmedian,V_margin,V_EQ,V_EQyx,V_random_mean,n_elig_all,margin_is_best,EQ_is_best,EQyx_is_best,frac_cand_best,rho_EQ_V,rho_EQyx_V,rho_margin_V,corr_V_Vother
w85__r01_f01|16,1,16,97,13,10,0.0588235294117647,-0.1764705882352941,0.2352941176470588,0.1176470588235294,0.0005767012687427922,0.0,0.0,-0.1764705882352941,-0.1764705882352941,0.0005767012687427922,102,0,0,0,0.13402061855670103,-0.16837066514961752,0.11931958070239732,0.01623489003805986,-0.0565075382418186
w85__r01_f01|24,1,24,130,0,76,0.0,-0.1176470588235294,0.1176470588235294,0.0588235294117647,-0.03098039215686274,-0.0588235294117647,0.0,-0.1176470588235294,-0.0588235294117647,-0.03098039215686274,150,0,0,0,,-0.41353778707886923,-0.8941405880486003,-0.2860784598427152,-0.43747508244037403
w85__r01_f01|32,1,32,114,0,1,0.0,-0.0588235294117647,0.0588235294117647,0.02941176470588235,-0.0002869440459110473,0.0,0.0,0.0,-0.0588235294117647,-0.0002869440459110473,205,0,0,0,,-0.14152799264680957,-1.0,-0.14150391585068597,-0.09107112074226768
w85__r01_f01|40,1,40,131,49,0,0.0588235294117647,0.0,0.0588235294117647,0.02941176470588235,0.014484185634052614,0.0,0.0,0.0588235294117647,0.0588235294117647,0.014484185634052614,199,0,1,1,0.37404580152671757,0.7451452353182617,0.9647557988568376,-0.023779453571356673,0.024801118280078034
w85__r02_f02|16,2,16,55,21,2,0.1764705882352941,-0.0588235294117647,0.2352941176470588,0.1176470588235294,0.04079696394686904,0.0,-0.0588235294117647,0.0588235294117647,0.1176470588235294,0.04079696394686904,62,0,0,0,0.14545454545454545,0.35044674766962935,0.8044007313585679,0.3714764349569091,-0.7453568883082788
w85__r02_f02|24,2,24,40,5,0,0.0588235294117647,0.0,0.0588235294117647,0.02941176470588235,0.005767012687427912,0.0,0.0,0.0,0.0588235294117647,0.005767012687427912,51,0,0,1,0.125,-0.009839040740289452,0.9971550440218321,0.15788848890522364,-0.20923767122026307
w85__r02_f02|32,2,32,34,3,0,0.0588235294117647,0.0,0.0588235294117647,0.02941176470588235,0.00326797385620915,0.0,0.0,0.0,0.0588235294117647,0.00326797385620915,54,0,0,1,0.08823529411764706,0.11106557905202519,0.9987373732338278,0.036993566321309304,-0.25033727426846086
w85__r02_f02|40,2,40,31,3,0,0.1176470588235294,0.0,0.1176470588235294,0.0588235294117647,0.0053475935828877,0.0,0.0,0.0,0.1176470588235294,0.0053475935828877,44,0,0,1,0.03225806451612903,0.204201770167994,0.9996170782934464,0.17687498648871683,-0.45829969456525943
w85__r03_f03|16,3,16,73,30,0,0.1176470588235294,0.0,0.1176470588235294,0.0588235294117647,0.012523719165085368,0.0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.012523719165085368,155,0,0,0,0.0410958904109589,0.5354797082620947,0.9538677313061704,0.7439862900272267,-0.6612091244854735
w85__r03_f03|24,3,24,212,47,0,0.1176470588235294,0.0,0.1176470588235294,0.0588235294117647,0.014983351831298555,0.0,0.1176470588235294,0.0,0.1176470588235294,0.014983351831298555,212,1,0,1,0.0330188679245283,0.4308144489685571,0.9919637742367658,0.4454348922116642,-0.5108590443014672
w85__r03_f03|32,3,32,94,33,5,0.1176470588235294,-0.0588235294117647,0.1764705882352941,0.08823529411764705,0.01045751633986928,0.0,-0.0588235294117647,-0.0588235294117647,0.1176470588235294,0.01045751633986928,180,0,0,1,0.0425531914893617,0.16814022740479204,0.7179816804239559,0.24295854988852456,-0.36996465488692293
w85__r03_f03|40,3,40,109,1,3,0.0588235294117647,-0.0588235294117647,0.1176470588235294,0.0588235294117647,-0.0005683432793407217,0.0,0.0,0.0,0.0,-0.0005683432793407217,207,0,0,0,0.009174311926605505,0.14913315566430402,-0.3846791204138292,-0.14581366065900558,-0.08717981249118362
w85__r04_f04|16,4,16,162,122,3,0.0588235294117647,-0.0588235294117647,0.1176470588235294,0.0588235294117647,0.030172413793103446,0.0588235294117647,0.0,0.0588235294117647,0.0,0.030172413793103446,232,0,1,0,0.7530864197530864,0.3158196664667883,0.37840371489309704,-0.5524336369801637,0.1372508853714369
w85__r04_f04|24,4,24,179,0,17,0.0,-0.1764705882352941,0.1764705882352941,0.08823529411764705,-0.007316359379572723,0.0,0.0,-0.0588235294117647,-0.1176470588235294,-0.007316359379572723,201,0,0,0,,-0.2958208933142214,-0.9977549269261188,-0.4174273586058184,-0.5320462289493647
