benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,acquisition_time_seconds,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_score,acquisition_beta,acquisition_quadrature_nodes,acquisition_gate_fraction,acquisition_min_shortlist_size,acquisition_shortlist_size,acquisition_selected_shortlist_position,acquisition_selected_raw_straddle,acquisition_selected_raw_diversity,acquisition_selected_p_plus,acquisition_selected_membership_uncertainty,acquisition_selected_straddle_score,acquisition_weighted_variance_reduction,acquisition_reference_set_size,acquisition_candidate_gate_size,acquisition_candidate_gate_fraction,acquisition_posterior_covariance_used,acquisition_p_star,acquisition_U_current,acquisition_U_plus,acquisition_U_minus,acquisition_expected_future_uncertainty,acquisition_expected_uncertainty_reduction,acquisition_fantasy_refit_time_seconds,acquisition_fantasy_refit_mode,acquisition_shortlist_source,acquisition_selected_uncertainty_score,acquisition_selected_entropy,acquisition_binary_entropy_margin_note,acquisition_repulsion_bandwidth,acquisition_selected_repulsion
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,1,12,13,271,0.6748265472252384,6.39000008959556e-05,False,False,False,259,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,2,13,14,269,0.910903409870579,6.380000013450626e-05,False,False,False,257,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,3,14,15,28,0.1083593978690448,6.819999907747842e-05,True,True,True,28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,4,15,16,291,0.9675594041915131,6.519999988086056e-05,False,False,False,276,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,1,12,13,313,0.4125595634902022,0.0019327999998495216,False,False,False,301,-0.003236643196157518,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,2,13,14,318,0.47523533563048515,0.0020801000009669224,False,False,False,305,-0.0018759077122255195,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,3,14,15,23,0.8158349819008551,0.002147299999705865,False,False,False,23,-0.0007516545454685858,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,4,15,16,36,0.6975641956926806,0.0020791000006283866,False,False,False,34,-0.0009027999656392126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,straddle,straddle,0,1,12,13,191,0.2056036238262149,0.0020535000003292225,False,True,True,182,2.076381716808102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,straddle,straddle,0,2,13,14,23,0.8158349819008551,0.0019748000013350975,False,False,False,23,2.0437997233713348,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,straddle,straddle,0,3,14,15,199,0.8085961924212876,0.002033000000665197,False,False,False,188,1.9917200618887114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,straddle,straddle,0,4,15,16,190,0.5527821221998541,0.0020499000002018875,False,False,False,180,1.9968720150752153,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0,1,12,13,191,0.2056036238262149,0.0019850999997288454,False,True,True,182,0.759002787782678,0.52777355954696,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0,2,13,14,23,0.8158349819008551,0.0025710000008984935,False,False,False,23,1.152790968067131,1.2310714688048099,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0,3,14,15,199,0.8085961924212876,0.0021034999990661163,False,False,False,188,1.1621486397981116,1.327838081475253,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0,4,15,16,190,0.5527821221998541,0.0023871000012150034,False,False,False,180,2.175632369619393,4.551638917671215,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
