benchmark,surrogate_variant,acquisition_rule,method,seed_count,total_runtime_seconds_sum_over_seeds,mean_runtime_seconds_per_seed,mean_fit_time_seconds,mean_acquisition_time_seconds,fit_count_sum,acquisition_count_sum
hartmann4,gpc_fixed_iso,classifier_entropy,classifier_entropy,1,0.078519,0.078519,0.009506,0.002745,5,4
hartmann4,gpc_fixed_iso,classifier_margin,classifier_margin,1,0.079328,0.079328,0.009466,0.002841,5,4
hartmann4,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,1,0.081828,0.081828,0.009419,0.003693,5,4
hartmann4,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,1,1.040190,1.040190,0.009354,0.243367,5,4
hartmann4,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,1,0.204897,0.204897,0.035545,0.002499,5,4
hartmann4,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,1,0.220026,0.220026,0.036584,0.004553,5,4
hartmann4,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,1,0.281856,0.281856,0.034067,0.023013,5,4
hartmann4,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,1,0.283258,0.283258,0.038539,0.017186,5,4
hartmann4,gpr_fixed_or_existing,random,random,1,0.188057,0.188057,0.034063,0.000065,5,4
hartmann4,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,1,0.222634,0.222634,0.039024,0.002262,5,4
hartmann4,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,1,0.177522,0.177522,0.030413,0.002060,5,4
hartmann4,gpr_fixed_or_existing,straddle,straddle,1,0.202577,0.202577,0.035431,0.002028,5,4
hartmann4,all,all,all,12,3.060690,0.255058,0.026784,0.025526,60,48
