dataset,kernel_key,kernel_label,simulations,MAE,median_absolute_error,RMSE,R2,normalized_RMSE,mean_negative_log_predictive_density,empirical_95_interval_coverage,mean_95_interval_width,total_runtime_seconds,optimization_warning_count,optimization_failures,RMSE_rank_within_dataset
clean,isotropic_rbf,Isotropic RBF,91,4402.159372535633,3100.8615339527205,6141.66780728808,0.5142473232057674,0.6931195678171258,10.815987362507302,0.912087912087912,24118.141996185237,5.789930199680384,0,0,4
clean,ard_rbf,ARD RBF,91,2035.491107400366,1291.3528746079571,3255.021704883245,0.8635572904531014,0.3673463476234891,9.960433463013628,0.8571428571428571,8736.316655727256,15.995555899920872,49,0,3
clean,matern_3_2,Isotropic Matérn 3/2,91,1735.765252920139,1092.0866804630132,2537.0069285244813,0.917113106307696,0.2863145974390309,9.815631092222404,0.9010989010989012,13861.925154431472,3.885403599531856,0,0,1
broad,isotropic_rbf,Isotropic RBF,238,12023.772923769744,7875.044392273805,16735.18900662594,0.3704594473200889,0.7917672791340309,11.040156064150889,0.9201680672268908,60597.80805291786,53.623018500278704,0,0,2
broad,ard_rbf,ARD RBF,238,12981.999231778836,8231.934701104157,18597.117985751447,0.2225834882440635,0.8798579748028592,11.3066897986006,0.8907563025210085,58098.19538688079,289.5290309995762,0,0,4
broad,matern_3_2,Isotropic Matérn 3/2,238,11616.870674636855,7414.184025909366,16256.26161019578,0.4059762252968945,0.7691084946157254,11.040432518309348,0.9285714285714286,58070.270545051375,55.02531699993415,0,0,1
clean,ard_matern_3_2,ARD Matérn 3/2,91,1559.990322812291,654.4642318635451,2808.2957570143353,0.8984387014278326,0.316930970948091,10.185830280011544,0.8351648351648352,7223.407132792645,12.1816572000007,89,0,2
broad,ard_matern_3_2,ARD Matérn 3/2,238,12391.368495211906,8142.189131162475,17596.190721447125,0.3040151456116199,0.8325025815440482,11.071193548875955,0.8949579831932774,55036.58306548418,184.09519899997758,0,0,3
