dataset,kernel_key,kernel_label,training_simulations,optimized_kernel_expression,log_marginal_likelihood,fit_runtime_seconds,optimization_warning_count,optimization_warning_categories,optimization_warning_messages,optimization_failure,alpha_jitter,optimizer,extra_optimizer_restarts,normalize_y,signal_variance,isotropic_lengthscale,ard_lengthscale_P,ard_lengthscale_VX,ard_lengthscale_LS,ard_lengthscale_ST,full_scaler_mean_P,full_scaler_scale_P,full_scaler_mean_VX,full_scaler_scale_VX,full_scaler_mean_LS,full_scaler_scale_LS,full_scaler_mean_ST,full_scaler_scale_ST,result_origin,P_at_lower_bound,P_at_upper_bound,VX_at_lower_bound,VX_at_upper_bound,LS_at_lower_bound,LS_at_upper_bound,ST_at_lower_bound,ST_at_upper_bound
clean,matern_3_2,Isotropic Matérn 3/2,91,"0.88**2 * Matern(length_scale=1.16, nu=1.5)",-61.61714885334951,0.0405625000130385,0,,,False,1e-06,fmin_l_bfgs_b,1,True,0.7740600723673243,1.1575121843121368,,,,,146.58887829174066,55.891753857909,0.5899637611061429,0.2474322823275867,6.135663467304834e-05,1.4456265093471168e-05,342.618484384989,36.81538989815083,verified exact Phase 2 reuse,,,,,,,,
broad,matern_3_2,Isotropic Matérn 3/2,238,"1.01**2 * Matern(length_scale=0.623, nu=1.5)",-282.0628033324813,0.1889449000009335,0,,,False,1e-06,fmin_l_bfgs_b,1,True,1.0204304495384395,0.6232250308556271,,,,,157.99346133501257,52.94505025614458,0.6180967861154579,0.2396353228963874,6.468983988278698e-05,1.3398392799734614e-05,348.6039559753908,32.50596895267546,verified exact Phase 2 reuse,,,,,,,,
clean,ard_matern_3_2,ARD Matérn 3/2,91,"1.05**2 * Matern(length_scale=[1.78, 0.905, 100, 3.36], nu=1.5)",-24.663734946966812,0.090725800000655,1,ConvergenceWarning,ConvergenceWarning: The optimal value found for dimension 2 of parameter k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.,False,1e-06,fmin_l_bfgs_b,1,True,1.0982172684456435,,1.7785631240093611,0.9045111706349235,100.00000000000004,3.3622154637971824,146.58887829174066,55.891753857908995,0.5899637611061429,0.2474322823275867,6.135663467304834e-05,1.4456265093471167e-05,342.618484384989,36.81538989815083,new full-data fit,False,False,False,False,False,True,False,False
broad,ard_matern_3_2,ARD Matérn 3/2,238,"1.07**2 * Matern(length_scale=[1.43, 0.955, 0.893, 0.229], nu=1.5)",-269.944806031198,0.5703123000002961,0,,,False,1e-06,fmin_l_bfgs_b,1,True,1.1429826370349727,,1.4275291130261123,0.9549096205967652,0.8927019424734622,0.22866592906579555,157.99346133501257,52.94505025614458,0.6180967861154579,0.23963532289638748,6.468983988278698e-05,1.3398392799734614e-05,348.60395597539076,32.50596895267546,new full-data fit,False,False,False,False,False,False,False,False
