dataset,input,folds,minimum,Q1,median,Q3,maximum,mean,sample_std,coefficient_of_variation,fraction_at_lower_bound,fraction_at_upper_bound
clean,P,91,1.122804761985347,1.7550706193649774,1.7724507340218791,1.79610570015153,2.305548500001277,1.7778736316424208,0.10407312143786568,0.058537974570060804,0.0,0.0
clean,VX,91,0.6935359715435044,0.8938311992217265,0.9007603435799756,0.912333382681179,1.349884682522057,0.9134010300187059,0.06815165211397524,0.07461306685036204,0.0,0.0
clean,LS,91,3.026420103058982,100.00000000000004,100.00000000000004,100.00000000000004,100.00000000000004,94.95944076270702,21.09129387582326,0.2221084465790825,0.0,0.945054945054945
clean,ST,91,3.1088458608207423,3.3189818423221986,3.343705087546558,3.376763273437042,100.00000000000004,6.7504264043758715,17.36937361436031,2.5730779915030038,0.0,0.03296703296703297
broad,P,238,1.32925108927765,1.4184512153992852,1.425766427093657,1.4328921838852748,2.092344702072625,1.435386804466017,0.06786049722225156,0.047276801633617194,0.0,0.0
broad,VX,238,0.828406762352784,0.9425696455982218,0.9537554134004271,0.9621990354302545,1.0824217512755798,0.9531223463488677,0.02813118743452722,0.029514770629698855,0.0,0.0
broad,LS,238,0.22263845074671176,0.8859538276495662,0.8927609031021639,0.897440971955353,1.2825426616213966,0.8901276758175886,0.07035064800947904,0.07903433397333869,0.0,0.0
broad,ST,238,0.13463289809419726,0.226487938280544,0.22823200016876327,0.2300918566109499,0.4723706711428079,0.2301805014720083,0.021876222186344937,0.09503942361080159,0.0,0.0
