dataset,kernel_key,kernel_label,simulations,MAE,median_absolute_error,RMSE,R2,target_sample_std,normalized_RMSE,mean_negative_log_predictive_density,empirical_95_interval_coverage,coverage_error_from_0_95,mean_95_interval_width,total_runtime_seconds,median_runtime_per_fold_seconds,optimization_warning_count,folds_with_optimization_warning,optimization_failures,fallback_fits,folds_with_one_or_more_hyperparameters_at_bound,RMSE_rank_within_dataset,MAE_rank_within_dataset
clean,matern_3_2,Isotropic Matérn 3/2,91,1735.765252920139,1092.0866804630132,2537.0069285244813,0.917113106307696,8860.906678237818,0.2863145974390309,9.815631092222404,0.9010989010989011,0.04890109890109884,13861.925154431472,3.885403599531851,0.0411661999532952,0,0,0,0,0,1,2
clean,ard_matern_3_2,ARD Matérn 3/2,91,1559.990322812291,654.4642318635451,2808.2957570143353,0.8984387014278326,8860.906678237818,0.316930970948091,10.185830280011544,0.8351648351648352,0.11483516483516476,7223.407132792645,12.773643799999263,0.13387880000118457,89,89,0,0,89,2,1
broad,matern_3_2,Isotropic Matérn 3/2,238,11616.870674636859,7414.184025909366,16256.261610195781,0.4059762252968945,21136.499887857826,0.7691084946157254,11.04043251830935,0.9285714285714286,0.021428571428571352,58070.270545051375,55.02531699993415,0.23370799998519942,0,0,0,0,0,1,1
broad,ard_matern_3_2,ARD Matérn 3/2,238,12391.368495211906,8142.189131162475,17596.190721447125,0.3040151456116199,21136.499887857826,0.8325025815440482,11.071193548875955,0.8949579831932774,0.055042016806722605,55036.58306548418,185.00936870000442,0.7517047999999704,0,0,0,0,0,2,2
