benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,acquisition_time_seconds,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_score,acquisition_selected_p_plus,acquisition_selected_membership_uncertainty,acquisition_selected_straddle_score,acquisition_weighted_variance_reduction,acquisition_reference_set_size,acquisition_candidate_gate_size,acquisition_candidate_gate_fraction,acquisition_posterior_covariance_used,acquisition_p_star,acquisition_U_current,acquisition_U_plus,acquisition_U_minus,acquisition_expected_future_uncertainty,acquisition_expected_uncertainty_reduction,acquisition_shortlist_size,acquisition_fantasy_refit_time_seconds,acquisition_fantasy_refit_mode,acquisition_shortlist_source,acquisition_selected_uncertainty_score,acquisition_selected_repulsion
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,14,25,26,2326,0.6539561408105585,0.27245749999929103,False,False,False,2306,0.02119228414194116,0.6351255722062529,0.23174107973593275,1.0660873214494477,0.02119228414194116,1500,1193,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,15,26,27,2240,0.09124503084964519,0.2770617999995011,True,True,True,2220,0.023693473301029288,0.37986804852483136,0.23556831423476773,1.3524067335623906,0.023693473301029288,1500,1193,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,16,27,28,2865,0.14834579192363884,0.27875440000025264,False,True,True,2839,0.02140244631532697,0.3658782157991922,0.23201134700279194,1.2278206579698925,0.02140244631532697,1500,1192,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,17,28,29,481,0.20932791862560918,0.26909450000130164,False,True,True,476,0.020871153983994847,0.4345369319772725,0.24571458672505175,1.4756541255811657,0.020871153983994847,1500,1192,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,18,29,30,2722,0.3239290914773705,0.28033289999984845,False,False,True,2695,0.020382442043409936,0.36683388764638886,0.23226678652062543,1.1294333643693322,0.020382442043409936,1500,1192,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,19,30,31,147,1.0625894839188101,0.2804740000010497,False,False,False,145,0.022763720484997182,0.3912657030928886,0.23817685267611616,1.4153508687448626,0.022763720484997182,1500,1191,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,20,31,32,1251,0.1980369865168401,0.2813728999990417,False,True,True,1237,0.02158878648534504,0.31294152159303845,0.2150091256560723,1.0419494448093631,0.02158878648534504,1500,1191,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,21,32,33,1786,0.15388216227013518,0.28306509999856644,False,True,True,1766,0.02044186622890903,0.46410258274537375,0.24871137543444727,1.4417359245605421,0.02044186622890903,1500,1191,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,22,33,34,2903,0.6595036779395395,0.2823227000008046,False,False,False,2871,0.017909280567753778,0.5992672614677542,0.2401460108006925,1.4121663190150302,0.017909280567753778,1500,1191,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,23,34,35,732,0.30888730851768065,0.2824627000009059,False,False,True,723,0.0162345482124375,0.49654575668952156,0.24998806820315203,1.7136257436905296,0.0162345482124375,1500,1190,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,24,35,36,35,0.6645364485999383,0.2851050999997824,False,False,False,35,0.015394913270140411,0.5166433297824516,0.24972299957375255,1.483847199929096,0.015394913270140411,1500,1190,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,25,36,37,1178,0.3997780587129456,0.27946979999978794,False,False,False,1163,0.016051168284955064,0.3690755076967015,0.23285877731512353,1.2138625034908461,0.016051168284955064,1500,1190,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,26,37,38,2361,0.8268735635237455,0.2849976000015886,False,False,False,2332,0.0178694810332107,0.4441576049124021,0.2468816269108806,1.244004661842306,0.0178694810332107,1500,1189,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,27,38,39,523,0.5498053125660578,0.286532599999191,False,False,False,514,0.017045879612287283,0.49860212428924505,0.24999804594349725,1.6102699486267948,0.017045879612287283,1500,1189,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,28,39,40,2777,0.16691881885725723,0.2853589999995165,False,True,True,2741,0.015621313814656312,0.5112063784467126,0.24987441708210906,1.2123743877774649,0.015621313814656312,1500,1189,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,29,40,41,2062,0.478049502202989,0.2851085000002058,False,False,False,2034,0.016330728180158037,0.48589172606853814,0.24980095660667484,1.3607420666831032,0.016330728180158037,1500,1188,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,30,41,42,1374,0.2012711047816076,0.29004750000058266,False,True,True,1354,0.01648893550454927,0.37273073042435045,0.23380253302168064,1.3192712134715538,0.01648893550454927,1500,1188,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,31,42,43,3478,0.07026587649721938,0.2872470999991492,True,True,True,3437,0.014857035790821758,0.5594360145596233,0.24646736017326826,1.4574508634413315,0.014857035790821758,1500,1188,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,32,43,44,2157,0.9989206713422525,0.28770470000017667,False,False,False,2127,0.01682989350029872,0.35875628263492443,0.23005021230489464,1.2814473225169198,0.01682989350029872,1500,1188,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,33,44,45,525,1.4252425891236238,0.28428939999867,False,False,False,515,0.015528004636218038,0.39609362738448844,0.2392034657298865,1.5373587096613976,0.015528004636218038,1500,1187,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,34,45,46,3228,1.020616203436619,0.2920750000012049,False,False,False,3185,0.015799832505591027,0.42511848421632853,0.24439275859393977,1.6042215844770804,0.015799832505591027,1500,1187,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,35,46,47,3570,0.49635627040021585,0.2905389000006835,False,False,False,3525,0.015205125101916545,0.5842426719636509,0.2429031722204247,1.4491571265250012,0.015205125101916545,1500,1187,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,36,47,48,2621,0.3102532117999983,0.28979830000025686,False,False,True,2583,0.014512363554338046,0.688373723800564,0.2145153401815088,1.1175071167676427,0.014512363554338046,1500,1186,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,37,48,49,2160,0.11748380840316064,0.29186099999969883,True,True,True,2128,0.015184764158225096,0.45017622122311923,0.2475175910683924,1.741394971943031,0.015184764158225096,1500,1186,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,38,49,50,1812,0.4467104775044315,0.2895028999992064,False,False,False,1784,0.01446637612692132,0.5421123811840635,0.24822654735100813,1.3804380817560002,0.01446637612692132,1500,1186,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,39,50,51,1145,0.2333268947347431,0.294125599999461,False,True,True,1128,0.015036450118403537,0.3391965522853011,0.2241422512030661,1.398930283690223,0.015036450118403537,1500,1185,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
