benchmark,display_name,surrogate_variant,acquisition_rule,method,final_budget,seed_count,mean_final_global_error,std_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,mean_final_uncertainty_region_fraction,std_final_uncertainty_region_fraction,mean_final_uncertainty_region_fraction_q20,std_final_uncertainty_region_fraction_q20,mean_final_uncertainty_region_fraction_q30,std_final_uncertainty_region_fraction_q30,mean_final_integrated_bernoulli_uncertainty,std_final_integrated_bernoulli_uncertainty,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,mean_acquisition_time_seconds,full_seed_count_for_benchmark,is_limited_seed_count,rank_global_error,rank_near_boundary_error_q20,rank_near_boundary_error_q30,rank_median_query_distance,rank_integrated_bernoulli_uncertainty
hartmann4,Thresholded 4D Hartmann,gpc_fixed_iso,classifier_entropy,classifier_entropy,80,5,0.135540,0.012671,0.448800,0.016702,0.396000,0.018344,0.341733,0.024874,0.663740,0.024234,0.934300,0.011737,0.914933,0.015611,0.241549,0.000558,0.432106,0.338457,0.157457,0.576227,1.000000,1.000000,1.000000,0.028221,5,False,8,9,9,1,10
hartmann4,Thresholded 4D Hartmann,gpc_fixed_iso,classifier_margin,classifier_margin,80,5,0.135540,0.012671,0.448800,0.016702,0.396000,0.018344,0.341733,0.024874,0.663740,0.024234,0.934300,0.011737,0.914933,0.015611,0.241549,0.000558,0.432106,0.338457,0.157457,0.576227,1.000000,1.000000,1.000000,0.028327,5,False,9,10,10,2,11
hartmann4,Thresholded 4D Hartmann,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,80,5,0.123640,0.008094,0.442000,0.012931,0.384700,0.013952,0.326333,0.016691,0.672560,0.021685,0.937600,0.016478,0.924733,0.019590,0.241917,0.000347,0.516002,0.450742,0.227108,0.739901,1.000000,1.000000,1.000000,0.061001,5,False,2,5,3,6,12
hartmann4,Thresholded 4D Hartmann,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,80,1,0.112200,0.000000,0.432000,0.000000,0.365500,0.000000,0.301000,0.000000,0.618700,0.000000,0.953500,0.000000,0.935000,0.000000,0.240172,0.000000,0.467941,0.365986,0.161346,0.651364,1.000000,1.000000,1.000000,0.656561,5,True,1,1,1,3,9
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,80,5,0.139640,0.010154,0.436400,0.015474,0.389800,0.031662,0.341267,0.032229,0.703040,0.025601,0.888700,0.020036,0.872800,0.021591,0.093835,0.004732,0.561260,0.550538,0.284532,0.790643,1.000000,1.000000,1.000000,0.024967,5,False,10,6,8,10,3
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,80,5,0.127260,0.006978,0.434800,0.013197,0.380400,0.011373,0.325533,0.013520,0.530740,0.044983,0.821500,0.038397,0.796933,0.039646,0.072520,0.006365,0.592149,0.585664,0.319679,0.844681,1.000000,1.000000,1.000000,0.025860,5,False,4,2,2,11,1
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,80,5,0.133400,0.009132,0.448400,0.007552,0.392500,0.009466,0.338933,0.012346,0.828580,0.032147,0.926700,0.027584,0.913800,0.026839,0.118691,0.007999,0.509510,0.424979,0.223609,0.703362,1.000000,1.000000,1.000000,0.317784,5,False,7,8,7,4,6
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,80,5,0.127680,0.008867,0.434200,0.012687,0.380800,0.006038,0.327667,0.013716,0.726520,0.129848,0.869500,0.064052,0.852200,0.073367,0.098674,0.021455,0.536885,0.458998,0.208755,0.752298,1.000000,1.000000,1.000000,0.292538,5,False,5,3,4,7,5
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,80,5,0.178700,0.010072,0.463200,0.009558,0.430100,0.016004,0.389467,0.017800,0.793820,0.101149,0.893200,0.053019,0.887933,0.054234,0.131401,0.026451,0.707551,0.630012,0.312313,0.925123,1.000000,1.000000,1.000000,0.000070,5,False,12,12,12,12,7
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,80,5,0.133380,0.014388,0.448400,0.016620,0.391800,0.011856,0.338467,0.019437,0.717080,0.054106,0.892700,0.028868,0.879400,0.030081,0.096832,0.008045,0.555482,0.543224,0.242121,0.802744,1.000000,1.000000,1.000000,0.021770,5,False,6,7,6,9,4
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,80,5,0.147520,0.014302,0.457800,0.009600,0.403900,0.012520,0.359933,0.015052,0.891340,0.057737,0.943800,0.018495,0.937333,0.022716,0.146045,0.023687,0.514009,0.445248,0.169844,0.760857,1.000000,1.000000,1.000000,0.021160,5,False,11,11,11,5,8
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,straddle,straddle,80,5,0.126340,0.002357,0.432400,0.010480,0.382600,0.010684,0.328800,0.009892,0.666780,0.067753,0.878400,0.040442,0.858133,0.046794,0.089266,0.010267,0.561821,0.519797,0.272513,0.782719,1.000000,1.000000,1.000000,0.021120,5,False,3,4,5,8,2
