target,target_label,target_definition,target_definition_label,population_size,availability_count,availability_fraction,target_min_um,target_median_um,target_max_um,target_mean_um,target_std_um,window_count_min,window_count_q25,window_count_median,window_count_q75,window_count_q95,window_count_max,within_window_cv_min,within_window_cv_q25,within_window_cv_median,within_window_cv_q75,within_window_cv_q95,within_window_cv_max,within_window_relative_trend_min,within_window_relative_trend_q25,within_window_relative_trend_median,within_window_relative_trend_q75,within_window_relative_trend_q95,within_window_relative_trend_max,within_window_absolute_relative_trend_min,within_window_absolute_relative_trend_q25,within_window_absolute_relative_trend_median,within_window_absolute_relative_trend_q75,within_window_absolute_relative_trend_q95,within_window_absolute_relative_trend_max,fraction_unstable_windows,minimum_50_row_fallback_count,fewer_than_50_valid_rows_count,simulations_with_rows_after_90pct_cutoff,simulations_with_rows_after_full_domain_exit
depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,230,230,1.0,18.77861,54.722319999999996,94.365085,53.72958541304348,15.467709550706873,2234.0,11853.5,14083.0,17523.5,19258.85,19822.0,0.0004895851781365505,0.001947061382177517,0.0172498395154039,0.03915899336310709,0.06456790226520998,0.14189758745818087,-0.443157645749508,-0.11649778100182265,-0.022684251313650095,-0.00035043500585402035,0.00362949424952295,0.18365246721700731,1.0487444809143553e-05,0.0016370041855052438,0.03888642526878132,0.12074431925088089,0.2145545778556293,0.443157645749508,0.0,0,0,0,0
depth,Penetration depth below original surface,T1,Shorter: median over final 10% before 90% +X cutoff,230,230,1.0,18.776605,54.4753575,90.52933999999999,52.74388315217391,15.273787212691515,1000.0,5926.75,7041.5,8762.25,9629.65,9911.0,0.00031458126457938604,0.0018840984745549163,0.01540992832684036,0.029549683413295686,0.041362577874991195,0.061275305078185315,-0.1917702397948747,-0.09480602458771134,-0.019590727100322308,-0.0005920625662988837,0.004261510006732943,0.12815399371082645,3.379326324550191e-05,0.0018824385812016209,0.041555311995671265,0.09551834226466613,0.13545270432750192,0.1917702397948747,0.0,0,0,0,0
depth,Penetration depth below original surface,T2,Longer: median over final 30% before 90% +X cutoff,230,230,1.0,18.779215,54.752015,95.53555,54.35626004347825,15.777752201049143,3468.0,17780.25,21125.0,26284.75,28888.05,29733.0,0.0006544646859657651,0.0026817005399504606,0.019967727039164412,0.03698379173095726,0.06634984549434977,0.26373424458546385,-0.8681173289997104,-0.0968408719876267,-0.029421763559394045,-0.0003046294611818524,0.02357484406871223,0.30569523953378436,1.1993846096557115e-05,0.0028183020003529785,0.04135446616900361,0.10124516797467306,0.21419664393620033,0.8681173289997104,0.004347826086956522,0,0,0,0
depth,Penetration depth below original surface,T3,Earlier: median over final 20% before 85% +X cutoff,230,230,1.0,18.771630000000002,54.767129999999995,94.365085,54.27914747826087,15.672465329563153,2234.0,11111.5,13743.5,17041.0,19124.85,19607.0,0.0004895851781365505,0.0016822290275069164,0.00363482515498127,0.024813545899967385,0.05156427730463997,0.22103157951336055,-0.7316201259329149,-0.05541125904603053,-0.0032431713450164048,0.00024232548963003492,0.003961605941274305,0.18365246721700731,4.6535998176583965e-06,0.0010646807585461163,0.00562277378109746,0.0633368775753856,0.16891483070645993,0.7316201259329149,0.004347826086956522,0,0,0,0
depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,230,230,1.0,18.7468,54.591215,94.365085,52.84101682608696,15.530178032118199,2234.0,12628.75,14706.0,17741.25,19466.55,19892.0,0.0004895851781365505,0.0024703245687071954,0.0343643293216344,0.05928878403081191,0.08940941878646681,0.11500880621730494,-0.3907394682517596,-0.19056650967299915,-0.09621127310360603,-0.0008112024305366041,0.00383689660362797,0.18365246721700731,1.0487444809143553e-05,0.002449131391256512,0.09998186087023767,0.19056650967299915,0.30121540134422514,0.3907394682517596,0.0,0,0,123,0
depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,230,230,1.0,0.0,31.060878499999994,86.69178500000001,32.06536967926087,29.44575826340251,50.0,50.0,50.0,50.0,50.0,50.0,1.0433270292103891e-06,2.9256339771689224e-05,6.899558653844081e-05,0.00014987818173798254,0.005924582908976191,0.06643085347423554,-0.1856438720808065,-0.0002639219046538951,9.194698662241207e-06,0.00019196326006151395,0.0006778786683467576,0.0018488654876125936,6.847615927119697e-07,9.34939798286758e-05,0.00023424863870469628,0.0005089106965904237,0.014498489956604197,0.1856438720808065,0.0,0,0,123,108
length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,241,241,1.0,116.1617,341.3759,543.72645,343.8707705352697,90.46507126856454,2234.0,11824.0,13751.0,17604.0,19345.0,19822.0,0.003447489932143151,0.0074848651090714926,0.013131952491413848,0.025004550270515086,0.034162718383521265,0.12122113979721341,-0.1564750087389422,-0.02207266806608245,0.010383703262111186,0.045803034901439756,0.11559359055965085,0.4188568827055867,0.00035373087413929027,0.012825556721596626,0.03531698348757413,0.08495316939149485,0.11733032129897508,0.4188568827055867,0.004149377593360996,0,0,0,0
length,Melt-pool length,T1,Shorter: median over final 10% before 90% +X cutoff,241,241,1.0,119.74385000000001,341.7522499999999,549.3328,344.41718406016594,91.00284036082212,1000.0,5912.0,6876.0,8802.0,9673.0,9911.0,0.0030825913576000355,0.0054981673636453066,0.00908804531446336,0.014553055736204183,0.02351162974263811,0.0491577321265898,-0.12201588327512916,-0.02333767003889889,-0.0003338273039092698,0.01951536603596562,0.052143622751944826,0.16904328003616273,0.00011141224178049373,0.00917215347463336,0.021791419180670676,0.046282319716071295,0.0770163180937438,0.16904328003616273,0.0,0,0,0,0
length,Melt-pool length,T2,Longer: median over final 30% before 90% +X cutoff,241,241,1.0,108.84325000000001,340.4367,529.8371000000001,341.6998152904564,90.00202767340807,3468.0,17735.0,20627.0,26407.0,29017.0,29733.0,0.004820781105475435,0.012501929003711831,0.01890452408172631,0.03294726042355114,0.05435570727561602,0.21839747723677208,-0.15591141967828492,-0.0014978049740199731,0.035473064847158384,0.09788696756006315,0.18648248135790602,0.2810674227902287,0.0014978049740199731,0.02972204100405004,0.054163880625705284,0.10721819114723032,0.18648248135790602,0.2810674227902287,0.004149377593360996,0,0,0,0
length,Melt-pool length,T3,Earlier: median over final 20% before 85% +X cutoff,241,241,1.0,116.1617,342.5046499999999,528.3434500000001,343.88978215352694,89.14288356055934,2234.0,11068.0,13744.0,17066.0,19137.0,19607.0,0.0036771080714830843,0.008574968129665121,0.011632995511928038,0.01871463981918234,0.033620606146559345,0.11880711060872762,-0.10168866080320736,0.00047624937738309915,0.0240448473374965,0.050846931242570156,0.11559359055965085,0.4082087237329165,0.0004606574662908819,0.0166474707305521,0.03381185432854047,0.06068851725949139,0.11559359055965085,0.4082087237329165,0.004149377593360996,0,0,0,0
