dataset,metric_difference,positive_means_ARD_better,point_estimate,bootstrap_mean,bootstrap_median,bootstrap_95_CI_lower,bootstrap_95_CI_upper,bootstrap_probability_positive,bootstrap_resamples,bootstrap_seed
clean,MAE_isotropic_minus_ARD,True,175.77493010784792,168.45142260611198,177.9287832022934,-342.39044312535594,627.9636632759748,0.7593,10000,20260723
clean,RMSE_isotropic_minus_ARD,True,-271.28882848985404,-260.4802624460883,-250.01596963632983,-1203.379160582912,617.8009848701697,0.3005,10000,20260723
broad,MAE_isotropic_minus_ARD,True,-774.4978205750467,-770.5672117142701,-768.5280186654236,-1748.4748457529793,184.52654545456926,0.058,10000,20260724
broad,RMSE_isotropic_minus_ARD,True,-1339.9291112513438,-1343.4372409313748,-1348.8624092013924,-2763.2521321797935,101.82385053916792,0.0341,10000,20260724
