candidate,simulations,screenshot_bug_any,screenshot_bug_before_first,duplicated_4d_combinations,target_min,target_q25,target_median,target_q75,target_max,P_unique,P_min,P_max,VX_unique,VX_min,VX_max,LS_unique,LS_min,LS_max,ST_unique,ST_min,ST_max
A — Broad,238,147,147,0,4840.0,19420.75,29019.0,44656.75,95798.0,238,52.5445860993,248.695097131,229,0.201002332148,0.998321353283,212,4.5e-05,8.97039861056e-05,212,300.0,399.457924021
B — Strict clean,91,0,0,0,4840.0,10285.5,13933.0,23643.5,42436.0,91,52.5445860993,246.882256304,91,0.201002332148,0.998321353283,65,4.5e-05,8.97039861056e-05,65,300.0,399.457924021
C — Pre-transition clean,91,0,0,0,4840.0,10285.5,13933.0,23643.5,42436.0,91,52.5445860993,246.882256304,91,0.201002332148,0.998321353283,65,4.5e-05,8.97039861056e-05,65,300.0,399.457924021
