benchmark,surrogate_variant,acquisition_rule,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_p_plus,acquisition_selected_uncertainty_score,acquisition_selected_entropy,acquisition_binary_entropy_margin_note,acquisition_gate_fraction,acquisition_min_shortlist_size,acquisition_shortlist_size,acquisition_beta,acquisition_selected_shortlist_position,acquisition_selected_normalized_uncertainty,acquisition_selected_raw_diversity,acquisition_selected_normalized_diversity,acquisition_selected_score,acquisition_repulsion_bandwidth,acquisition_selected_raw_distance_to_labelled,acquisition_selected_repulsion
ackley,fixed_iso_gpc,random,random,0,1,12,13,3252,0.37344243423842727,False,True,True,3241,0.49563928074039687,0.9912785614807937,0.6931091483328706,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,2,13,14,1687,0.6222902661973624,False,False,False,1683,0.4310831898705203,0.8621663797410406,0.6836178188652765,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,3,14,15,142,0.046059412865973925,True,True,True,142,0.44854446438715456,0.8970889287743091,0.6878424495570066,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,4,15,16,1313,0.25738216230301525,False,True,True,1308,0.5254371550882766,0.9491256898234468,0.6918525240336151,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,5,16,17,1221,0.8982551322854597,False,False,False,1216,0.38646922222781654,0.7729384444556331,0.6671424971151363,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,6,17,18,3175,0.7277702452315058,False,False,False,3160,0.5204455071202077,0.9591089857595847,0.692310909894926,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,7,18,19,2764,3.3644651749044208,False,False,False,2752,0.3874829828401687,0.7749659656803374,0.6676088687141437,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,8,19,20,3639,1.9741412422837907,False,False,False,3621,0.5883199204778009,0.8233601590443982,0.6774642055625081,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,9,20,21,3691,0.5190363590865612,False,False,True,3671,0.5232246082805858,0.9535507834388284,0.6920680274540051,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,10,21,22,1616,0.14940433234323613,True,True,True,1609,0.4909740112342007,0.9819480224684014,0.692984234762908,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,11,22,23,710,2.9520920590294892,False,False,False,706,0.3535364563266512,0.7070729126533024,0.6496083996732964,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,12,23,24,2168,2.083951108374274,False,False,False,2157,0.5857458167330094,0.8285083665339812,0.6783695529227348,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,13,24,25,3872,1.8813979022092298,False,False,False,3848,0.39966055754661056,0.7993211150932211,0.6728737948714171,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,14,25,26,304,1.063870405288112,False,False,False,303,0.48405902356773467,0.9681180471354693,0.6926388649666306,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,15,26,27,1287,2.427674259760135,False,False,False,1279,0.47362137140350313,0.9472427428070063,0.6917548701705515,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,16,27,28,483,0.22223092241935305,False,True,True,479,0.5400037788778462,0.9199924422443075,0.6899431525143676,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,17,28,29,2032,0.7484289441074168,False,False,False,2018,0.5098535920538652,0.9802928158922697,0.6929529814357919,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,fixed_iso_gpc,random,random,0,18,29,30,1288,1.340835049233112,False,False,False,1278,0.3860750247169733,0.7721500494339466,0.6669599799014123,null,null,null,null,null,null,null,null,null,null,null,null,null
