method,formulation,mean_q20_aulc,mean_q30_aulc,mean_balanced_accuracy_aulc,run_count
g3_random,g3,0.2802808715397923,0.2209099264705882,0.9066705623904922,20
g3_straddle,g3,0.25448069852941174,0.20297120098039217,0.921075331421578,20
