seq,model,to_n,mean_delta_q20,lo,hi,frac_runs_decrease
MARGIN,M3R05,20,0.0029411764705882413,-0.018342675800804526,0.02422502874198101,0.2
MARGIN,M3R05,24,0.005882352941176455,-0.008361561241386239,0.020126267123739147,0.1
MARGIN,M3R05,28,0.014705882352941175,-0.008766416753677527,0.038178181459559875,0.1
MARGIN,M3R05,32,-5.551115123125783e-18,-0.018703175612723204,0.01870317561272319,0.2
MARGIN,M3R05,36,0.005882352941176466,-0.01907079565455485,0.030835501536907783,0.1
MARGIN,M3R05,40,-0.008823529411764697,-0.026117647058823516,0.008470588235294124,0.25
MARGIN,M3R05,44,0.0,-0.018703175612723208,0.018703175612723208,0.15
MARGIN,M3R05,48,0.011764705882352938,-0.0041054648842223825,0.027634876648928258,0.05
MARGIN,M3R05,52,0.0,-0.016728628826066145,0.016728628826066145,0.1
MARGIN,M3R05,56,0.005882352941176466,-0.012632846286494737,0.02439755216884767,0.05
MARGIN,M3R05,60,-0.005882352941176461,-0.020126267123739158,0.008361561241386237,0.2
MARGIN,M3R05,64,-0.0029411764705882305,-0.016100026918487553,0.010217673977311093,0.15
MARGIN,M3R05,68,0.0029411764705882305,-0.010217673977311093,0.016100026918487553,0.1
MARGIN,M3R05,72,0.008823529411764702,-0.0037924522777498196,0.021439511101279222,0.05
MARGIN,M3R05,76,0.005882352941176466,-0.002052732442111194,0.013817438324464127,0.0
MARGIN,M3R05,80,0.0,0.0,0.0,0.0
MARGIN,M3R05,84,0.002941176470588236,-0.0028235294117647065,0.008705882352941178,0.0
MARGIN,M3R05,88,-0.002941176470588236,-0.008705882352941178,0.0028235294117647056,0.05
MARGIN,M3R05,92,0.0,0.0,0.0,0.0
MARGIN,M3R05,96,-0.002941176470588236,-0.008705882352941178,0.0028235294117647065,0.05
MARGIN,M3R05,100,0.0,-0.008364314413033078,0.008364314413033078,0.05
MARGIN,M3R05,104,0.0,0.0,0.0,0.0
MARGIN,M3R05,108,-0.002941176470588236,-0.008705882352941178,0.0028235294117647065,0.05
MARGIN,M3R05,112,-0.002941176470588236,-0.008705882352941178,0.0028235294117647065,0.05
MARGIN,M3R05,116,0.0,0.0,0.0,0.0
MARGIN,M3R05,120,0.0,0.0,0.0,0.0
MARGIN,M3R05,160,0.002941176470588236,-0.0028235294117647065,0.008705882352941178,0.0
MARGIN,M3R05,200,-0.002941176470588236,-0.008705882352941178,0.0028235294117647065,0.05
MARGIN,M3R05,260,0.0,0.0,0.0,0.0
MARGIN,M3R05,324,0.0,-0.008364314413033078,0.008364314413033078,0.05
