experiment_name,week6_simulation_id,week6_original_hash,week6_metadata_path,week6_metadata_sha256,week6_dataset_revision
P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,sim_00017,306f9d252b,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00017\metadata.json,784b9ac450bb01dba2c688bbf06dcfcb3e634fc682d48c80f5a960d1b601950e,0e859b748fdbc8454f66e58e101e333ac0479d42
P-122p399838052_VX-0p958262341264_LS-8p77032416896e-05_ST-376p830559352_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03423790676e-06_H-79d0c72bd8,sim_00018,79d0c72bd8,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00018\metadata.json,f65d3582811eafe7325086ef3576153e5c8b46d067151a4fd68d17fc50963276,0e859b748fdbc8454f66e58e101e333ac0479d42
P-123p578555013_VX-0p413960648538_LS-5p40122226787e-05_ST-380p745973079_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16535729182e-05_H-f404b6f8f4,sim_00019,f404b6f8f4,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00019\metadata.json,3d1cf3ec5504020d73eb264dbe7292c6f6b94cb1e030fde244837269d6f947b3,0e859b748fdbc8454f66e58e101e333ac0479d42
P-124p939831153_VX-0p895565001264_LS-4p79284796095e-05_ST-395p904294171_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p38667834965e-06_H-cf6d926251,sim_00020,cf6d926251,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00020\metadata.json,3b8837fc6e41fdc7c5353cf8ad110be43e2c0f371ce7a2d90ec79764dc40fa84,0e859b748fdbc8454f66e58e101e333ac0479d42
P-126p228008246_VX-0p201684842681_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p27081552964e-06_H-306f9d252b,sim_00021,306f9d252b,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00021\metadata.json,a5ee2a528444fd4efae57505f58fd0ac1d9131a9e9288480041e17ab48670ed7,0e859b748fdbc8454f66e58e101e333ac0479d42
P-126p429096271_VX-0p381791494837_LS-8p54596605095e-05_ST-336p470624887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p26354847299e-05_H-bf3689621a,sim_00022,bf3689621a,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00022\metadata.json,235e7bda370d0c9bfb1a1b84252bab361ae7ebf1716b0760ba5d8bfd110c151f,0e859b748fdbc8454f66e58e101e333ac0479d42
P-129p840936159_VX-0p750604494449_LS-8p84568803437e-05_ST-319p185657099_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p42698070514e-06_H-f575443233,sim_00023,f575443233,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00023\metadata.json,f522b1e6180c3ee3642b2fe6c562d16fac9826f3e6f59d065d08c6e3db7be5ce,0e859b748fdbc8454f66e58e101e333ac0479d42
P-133p003569327_VX-0p736244453131_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p53962249042e-06_H-306f9d252b,sim_00024,306f9d252b,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00024\metadata.json,7051fb054a74f5f0fa5e5e271760fef337f119f8da3eba0396ced668501639ca,0e859b748fdbc8454f66e58e101e333ac0479d42
P-133p058435031_VX-0p81650327798_LS-4p78587303962e-05_ST-362p382821566_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p90826850683e-06_H-dd169576f0,sim_00025,dd169576f0,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00025\metadata.json,0e536e6e512a91cfe705e5c03744fd7a5602e03d1b6931df3712d5b1ce88867e,0e859b748fdbc8454f66e58e101e333ac0479d42
P-133p757797566_VX-0p645163458122_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p89815386795e-06_H-306f9d252b,sim_00026,306f9d252b,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00026\metadata.json,a729db0eab01900aa9c2684a494d082e3cc80c38664961b63f00e8fa8a63b122,0e859b748fdbc8454f66e58e101e333ac0479d42
