experiment_name,partition,target_extraction_valid,extraction_status,extraction_failure_reasons,T0_width_valid_sample_count,T0_length_valid_sample_count,T0_depth_valid_sample_count,T0_total_height_valid_sample_count,T0_kinetic_energy_valid_sample_count,active_region_start_row_index,active_region_end_row_index,active_region_start_time_s,active_region_end_time_s,active_region_sample_count,active_region_fraction_of_monitor,active_region_too_short,T0_start_row_index,T0_end_row_index,T0_start_time_s,T0_end_time_s,T0_sample_count,T0_fallback_last_rows_used,T0_inside_active_region,active_cutoff_time_s,recording_ends_before_90pct_domain,length_flat_or_decreasing_across_active_region,flag_primary_window_unstable_week6_rule,active_region_definition
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,True,PASS,,15892.0,15892.0,15892.0,15892.0,15892.0,15292.0,94731.0,0.0002780125,0.001721024,79440.0,0.68719723183391,False,78840.0,94731.0,0.001432431,0.001721024,15892.0,False,True,0.0017210334802431344,False,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,True,PASS,,10971.0,10971.0,10971.0,10971.0,10971.0,10775.0,65606.0,0.0001958874,0.001192091,54832.0,0.4743252595155709,False,54636.0,65606.0,0.0009928672,0.001192091,10971.0,False,True,0.0011920910034295719,False,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,True,PASS,,19218.0,19218.0,19218.0,19218.0,19218.0,19525.0,115599.0,0.0003550104,0.002100003,96075.0,0.831098615916955,False,96382.0,115599.0,0.001751008,0.002100003,19218.0,False,True,0.002100003,True,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,new-data,True,PASS,,15594.0,15594.0,15594.0,15594.0,15594.0,14851.0,92800.0,0.0002699908,0.001685956,77950.0,0.6743079584775087,False,77207.0,92800.0,0.001402774,0.001685956,15594.0,False,True,0.001685968207778874,False,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,new-data,True,PASS,,16061.0,16061.0,16061.0,16061.0,16061.0,15167.0,95452.0,0.0002757388,0.001734118,80286.0,0.6945155709342561,False,79392.0,95452.0,0.001442456,0.001734118,16061.0,False,True,0.001734122966487906,False,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,new-data,True,PASS,,16940.0,16940.0,16940.0,16940.0,16940.0,30904.0,115599.0,0.0005618752,0.002100003,84696.0,0.7326643598615917,False,98660.0,115599.0,0.001792378,0.002100003,16940.0,False,True,0.002100003,True,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,new-data,True,PASS,,13851.0,13851.0,13851.0,13851.0,13851.0,13130.0,82362.0,0.0002386903,0.001496393,69233.0,0.5989013840830449,False,68512.0,82362.0,0.001244866,0.001496393,13851.0,False,True,0.0014963965586980643,False,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,new-data,True,PASS,,11737.0,11737.0,11737.0,11737.0,11737.0,11166.0,69824.0,0.000202994,0.001268693,58659.0,0.5074307958477509,False,58088.0,69824.0,0.001055558,0.001268693,11737.0,False,True,0.0012686978892330171,False,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,new-data,True,PASS,,16576.0,16576.0,16576.0,16576.0,16576.0,15499.0,98363.0,0.0002817778,0.001786984,82865.0,0.716825259515571,False,81788.0,98363.0,0.001485969,0.001786984,16576.0,False,True,0.001786995488548506,False,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,new-data,True,PASS,,15618.0,15618.0,15618.0,15618.0,15618.0,14660.0,92729.0,0.0002665165,0.001684666,78070.0,0.6753460207612457,False,77112.0,92729.0,0.001401049,0.001684666,15618.0,False,True,0.0016846679559377818,False,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
