experiment_name,partition,week6_simulation_id,XF,sph_v2_folder_domain_max_m,week6_domain_max_reconstructed_m,absolute_error_m,mapping_matches_week6,compatibility_rule
P-122p399838052_VX-0p958262341264_LS-8p77032416896e-05_ST-376p830559352_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03423790676e-06_H-79d0c72bd8,old-data-local,sim_00018,0.0014,0.001212,0.001211999999999933,6.700369425960417e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-123p578555013_VX-0p413960648538_LS-5p40122226787e-05_ST-380p745973079_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16535729182e-05_H-f404b6f8f4,old-data-local,sim_00019,0.0014,0.001212,0.0012119999999999859,1.4094628242311558e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-124p939831153_VX-0p895565001264_LS-4p79284796095e-05_ST-395p904294171_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p38667834965e-06_H-cf6d926251,old-data-local,sim_00020,0.0014,0.001212,0.0012119999999999497,5.0306980803327406e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-126p228008246_VX-0p201684842681_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p27081552964e-06_H-306f9d252b,old-data-local,sim_00021,0.0012,0.001212,0.0012119999999999954,4.553649124439119e-18,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-126p429096271_VX-0p381791494837_LS-8p54596605095e-05_ST-336p470624887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p26354847299e-05_H-bf3689621a,old-data-local,sim_00022,0.0014,0.001212,0.0012119999999999898,1.0191500421363742e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-129p840936159_VX-0p750604494449_LS-8p84568803437e-05_ST-319p185657099_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p42698070514e-06_H-f575443233,old-data-local,sim_00023,0.0014,0.001212,0.001211999999999995,4.9873299934333204e-18,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-133p003569327_VX-0p736244453131_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p53962249042e-06_H-306f9d252b,old-data-local,sim_00024,0.0012,0.001212,0.0012119999999999533,4.662069341687669e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-133p058435031_VX-0p81650327798_LS-4p78587303962e-05_ST-362p382821566_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p90826850683e-06_H-dd169576f0,old-data-local,sim_00025,0.0014,0.001212,0.0012119999999999718,2.8189256484623115e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-133p757797566_VX-0p645163458122_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p89815386795e-06_H-306f9d252b,old-data-local,sim_00026,0.0012,0.001212,0.001211999999999983,1.691355389077387e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-134p442185153_VX-0p806363522352_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p3187841709e-06_H-b0e5aed98c,old-data-local,sim_00027,0.0012,0.001212,0.001211999999999987,1.3010426069826053e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-135p171981101_VX-0p652238458987_LS-5p89001447273e-05_ST-362p997098414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p39625291417e-06_H-01d46950f6,old-data-local,sim_00028,0.0014,0.001212,0.001211999999999938,6.201636426617085e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,old-data-local,sim_00029,0.0012,0.001212,0.0012119999999999913,8.673617379884035e-18,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
