group,target,row_count,finite_count,missing_count,min,q05,q25,median,mean,q75,q95,max,std
overall,T0_width_um,407,350,57,86.30895,112.10571250000001,135.34711875,159.9329725,165.13462310000003,187.92780750000003,232.09584,300.26985,37.46742915502075
overall,T0_depth_um,407,350,57,15.102659999999998,30.100815,46.90053375,62.54468,77.60533045714287,78.57868250000001,221.95178250000004,300.5299,57.35588947476288
overall,T0_total_height_um,407,350,57,41.27405,54.25004075,72.9594675,87.955205,102.37668427142857,104.36018250000001,242.64701950000003,322.61455,56.17547381639181
overall,T0_kinetic_energy_nJ,407,350,57,0.3389589,0.62546436,1.29260975,2.1414705,2.478588426571429,3.222584875,5.4024975,8.876052,1.5767273245831865
overall,max_depth_um,407,350,57,19.03058,31.1089695,51.0246075,63.151695000000004,97.36384542857142,88.50267500000001,302.83132,311.9999,83.57453675105963
overall,max_total_height_um,407,350,57,42.540949999999995,58.86031200000001,80.166585,99.119325,130.2513310542857,131.65738249999998,329.85069500000003,422.24809999999997,85.12691782715955
overall,max_kinetic_energy_nJ,407,350,57,0.39446689999999995,0.74308093,1.4363380000000001,2.3558775,587.7386306351428,3.5634887500000003,9.453350800000013,198078.1,10589.080374678566
partition=new-data,T0_width_um,165,164,1,111.529485,126.473848,142.73545000000001,166.656785,171.41866481707316,191.14615124999997,240.75553499999995,300.26985,36.54674136002214
partition=new-data,T0_depth_um,165,164,1,26.90932,42.726849,58.75920125,74.74146999999999,104.53975390243902,100.7426,297.46971,300.5299,73.04079053513087
partition=new-data,T0_total_height_um,165,164,1,51.44415,68.129958,88.29979,100.6287575,128.8807881707317,125.7058175,316.75839249999996,322.61455,71.14033074604124
partition=new-data,T0_kinetic_energy_nJ,165,164,1,0.7339642,1.011669325,2.16219925,3.34997725,3.440343271646342,4.52607275,6.7020032999999986,8.876052,1.7050741451060387
partition=new-data,max_depth_um,165,164,1,27.37239,46.966742,63.0299125,87.14539500000001,140.97207585365854,271.89619999999996,305.76591999999994,311.9999,102.29004479528096
partition=new-data,max_total_height_um,165,164,1,53.40922,73.18381099999999,96.4850075,123.54178,173.68434932926831,292.7332875,332.57284549999997,422.24809999999997,103.96917804632335
partition=new-data,max_kinetic_energy_nJ,165,164,1,0.9021753,1.20654845,2.34330775,3.6609905,1252.2624319957317,5.611682249999999,11.845048499999999,198078.1,15467.482842785892
partition=old-data-local,T0_width_um,179,123,56,86.30895,101.69571200000001,127.10137499999999,151.10873,154.55483004065042,175.199125,219.41879,256.76705,37.15485295220436
partition=old-data-local,T0_depth_um,179,123,56,15.102659999999998,26.7956405,42.801285,54.44253,53.275993739837396,62.700445,82.25202349999996,119.1028,17.01111669825768
partition=old-data-local,T0_total_height_um,179,123,56,41.27405,49.744711,67.09489,79.94009,78.24950109756097,87.0235175,110.79796499999998,139.68542000000002,18.127249240033088
partition=old-data-local,T0_kinetic_energy_nJ,179,123,56,0.3389589,0.49265013999999996,0.9395947499999999,1.479571,1.5658084101626015,2.1072195000000002,2.855683499999999,3.261276,0.755200034838087
partition=old-data-local,max_depth_um,179,123,56,19.03058,27.216669,44.930745,55.07801,58.05902349593495,66.976625,82.985877,184.4088,26.31179115323363
partition=old-data-local,max_total_height_um,179,123,56,42.540949999999995,53.976385,70.49900500000001,84.10867,90.14250210569108,101.12816000000001,154.49434399999998,214.42377,30.894708917802713
partition=old-data-local,max_kinetic_energy_nJ,179,123,56,0.39446689999999995,0.63538762,1.0617934999999998,1.660315,1.7530173341463415,2.3664294999999997,3.1327784000000003,4.332017,0.8416779033133691
partition=old-data-remote-clean,T0_width_um,63,63,0,108.36397,114.1384875,138.5285725,167.59314,169.43195174603179,195.371085,231.07771,235.1711,36.45358772258434
partition=old-data-remote-clean,T0_depth_um,63,63,0,22.797204999999998,26.824264,42.66273,54.88171,54.99045698412698,70.6609175,82.254414,94.365085,17.59790068840238
partition=old-data-remote-clean,T0_total_height_um,63,63,0,46.484825,49.680702,68.52363,79.85050000000001,80.48732698412698,93.4103625,108.761355,115.66905000000001,17.652051229307798
partition=old-data-remote-clean,T0_kinetic_energy_nJ,63,63,0,0.4903037,0.63885491,1.116679,1.7599575,1.757066957142857,2.4430959999999997,2.8731921999999996,3.0354870000000003,0.7745912348787706
partition=old-data-remote-clean,max_depth_um,63,63,0,23.14528,27.248121,43.22074,58.8919,60.58199317460317,74.697265,87.002094,239.2377,31.25396305198646
partition=old-data-remote-clean,max_total_height_um,63,63,0,51.29627,56.56210800000001,72.376955,89.51472000000001,95.4953146031746,113.58881,137.836064,258.22034,32.947025254431615
partition=old-data-remote-clean,max_kinetic_energy_nJ,63,63,0,0.6177368,0.75899045,1.2801735,1.857936,1.9342975063492067,2.6488215,3.0803436,4.411421,0.830028202763865
has_keyhole=False,T0_width_um,334,280,54,86.30895,111.51587225,135.26169875,160.90981,164.01904060714287,186.67728250000002,231.25967,281.37294999999995,37.60980365158124
has_keyhole=False,T0_depth_um,334,280,54,15.102659999999998,26.8487945,46.47689,58.469925,56.60987576785715,70.44795500000001,82.71644975,94.62022,16.40853957610641
has_keyhole=False,T0_total_height_um,334,280,54,41.27405,51.65880725,69.56892875000001,82.652805,82.45632483928571,94.5212975,112.880786,125.35813,17.577528304798953
has_keyhole=False,T0_kinetic_energy_nJ,334,280,54,0.3389589,0.58846141,1.121294,1.74786475,1.9460142082142855,2.5552852500000003,4.088269425000001,5.377543999999999,1.0352774478424474
has_keyhole=False,max_depth_um,334,280,54,19.03058,27.418858,47.0894925,59.031639999999996,59.87803357142857,74.44928250000001,91.00354200000001,111.5838,18.418421137394084
has_keyhole=False,max_total_height_um,334,280,54,42.540949999999995,58.084444999999995,74.65885,89.98786,93.28201449642857,110.92428749999999,132.70437450000003,157.82918,23.72442983174742
has_keyhole=False,max_kinetic_energy_nJ,334,280,54,0.39446689999999995,0.70354745,1.2703187500000002,1.9116615,709.5165476475001,2.75050925,4.198320650000002,198078.1,11837.305012402485
has_keyhole=True,T0_width_um,73,70,3,118.71622,130.04824625,142.600075,158.6988125,169.59695307142857,190.89294875000002,240.23080499999998,300.26985,36.8195736159261
has_keyhole=True,T0_depth_um,73,70,3,70.55308500000001,74.687856,86.22482249999999,144.99955,161.5871492142857,222.75201249999998,300.05832250000003,300.5299,81.28085587376341
has_keyhole=True,T0_total_height_um,73,70,3,91.04755,92.3584255,106.83342250000001,165.08506,182.058122,242.9100775,320.584976,322.61455,81.6125672230375
has_keyhole=True,T0_kinetic_energy_nJ,73,70,3,1.473584,2.1585494,3.699184,4.5288945,4.608885300000001,5.378645,7.164807724999999,8.876052,1.5766256959002078
has_keyhole=True,max_depth_um,73,70,3,111.1982,117.397425,171.70375,301.89160000000004,247.30709285714292,302.8358,311.99424,311.9999,73.79499800503216
