severity,reason,partition,experiment_name,week6_simulation_id,detail,source_data_removed
WARNING,recording_ends_before_90pct_domain,new-data,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-166p111836501_VX-0p454755470987_LS-7p13150844087e-05_ST-303p391516497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06081639712e-05_H-0e4c2fc094,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-185p872045369_VX-0p416268682161_LS-7p15564692144e-05_ST-371p982346013_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p15889587897e-05_H-bc28d74e69,,T0 ends at recording end under the exact Week 6 min rule,False
