experiment_name,partition,week6_simulation_id,new_T0_start_row_index,old_T0_start_row_index,new_T0_end_row_index,old_T0_end_row_index,new_T0_start_time_s,old_T0_start_time_s,new_T0_end_time_s,old_T0_end_time_s,new_width_um,old_width_um,difference_width_um,relative_difference_width_um,identical_within_tolerance_width_um,new_depth_um,old_depth_um,difference_depth_um,relative_difference_depth_um,identical_within_tolerance_depth_um,new_total_height_um,old_total_height_um,difference_total_height_um,relative_difference_total_height_um,identical_within_tolerance_total_height_um,new_kinetic_energy_nJ,old_kinetic_energy_nJ,difference_kinetic_energy_nJ,relative_difference_kinetic_energy_nJ,identical_within_tolerance_kinetic_energy_nJ,window_endpoints_identical
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,old-data-local,sim_00001,55052.0,55052,68795.0,68795,0.001000422,0.001000422,0.001250006,0.001250006,126.26144,126.26144,0.0,0.0,True,50.71019,50.71019,0.0,0.0,True,74.86579499999999,74.86579499999999,0.0,0.0,True,1.011336,1.011336,0.0,0.0,True,True
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,old-data-local,sim_00002,54593.0,54593,65498.0,65498,0.0009920863,0.0009920863,0.00119013,0.00119013,126.328725,126.328725,0.0,0.0,True,26.660185,26.660185,0.0,0.0,True,92.05556999999999,92.05557,-1.4210854715202004e-14,-1.5437256773492363e-16,True,0.8618126,0.8618125999999999,1.1102230246251565e-16,1.2882418110679244e-16,True,True
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,old-data-local,sim_00003,58064.0,58064,68795.0,68795,0.001055122,0.001055122,0.001250006,0.001250006,127.941225,127.9412249999,1.000017846308765e-10,7.816228477643125e-13,True,34.838854999999995,34.838855,-7.105427357601002e-15,-2.0395123081975575e-16,True,62.371975000000006,62.37197500000001,-7.105427357601002e-15,-1.1392019184258637e-16,True,0.75972415,0.75972415,0.0,0.0,True,True
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,old-data-local,sim_00005,55050.0,55050,68795.0,68795,0.001000386,0.001000386,0.001250006,0.001250006,166.993245,166.993245,0.0,0.0,True,66.61901499999999,66.61901499999999,0.0,0.0,True,84.0996,84.0996,0.0,0.0,True,1.0319310000000002,1.0319310000000002,0.0,0.0,True,True
P-110p642328299_VX-0p274154737479_LS-7p4676600105e-05_ST-358p612942181_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p7596342297e-05_H-b40dbd8ddd,old-data-local,sim_00007,99232.0,99232,115599.0,115599,0.001802766,0.001802766,0.002100003,0.002100003,202.28875,202.28875,0.0,0.0,True,50.78583,50.78583,0.0,0.0,True,69.70317499999999,69.703175,-1.4210854715202004e-14,-2.038767203244616e-16,True,1.1239715000000001,1.1239715,2.220446049250313e-16,1.9755359003767562e-16,True,True
P-113p286681534_VX-0p56768277259_LS-5p80401726566e-05_ST-302p148970527_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p13495658689e-05_H-bf889bf790,old-data-local,sim_00010,58392.0,58392,68795.0,68795,0.001061079,0.001061079,0.001250006,0.001250006,133.94807000000003,133.94807,2.842170943040401e-14,2.1218453860816365e-16,True,46.822900000000004,46.8229,7.105427357601002e-15,1.5175111660322198e-16,True,67.953605,67.953605,0.0,0.0,True,0.9312848499999999,0.93128485,-1.1102230246251565e-16,-1.192141184971662e-16,True,True
P-115p281467344_VX-0p424433079834_LS-5p4086019252e-05_ST-352p652659088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13660334979e-05_H-d616b14147,old-data-local,sim_00012,96939.0,96939,115599.0,115599,0.001761123,0.001761123,0.002100003,0.002100003,157.77781,157.77781,0.0,0.0,True,54.700129999999994,54.70013,-7.105427357601002e-15,-1.2989781482422439e-16,True,80.9538,80.9538,0.0,0.0,True,1.104152,1.104152,0.0,0.0,True,True
P-116p440418649_VX-0p621036488786_LS-7p33150072515e-05_ST-327p034160515_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p76785372538e-06_H-3f4a2df486,old-data-local,sim_00013,80398.0,80398,96679.0,96679,0.001460725,0.001460725,0.001756401,0.001756401,151.41887000000003,151.41887,2.842170943040401e-14,1.8770255933361548e-16,True,38.69279,38.69279,0.0,0.0,True,67.60227,67.60227,0.0,0.0,True,0.9441440999999999,0.9441441,-1.1102230246251565e-16,-1.1759042127416318e-16,True,True
P-118p4900546_VX-0p535113778256_LS-4p79907961621e-05_ST-385p412174328_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p01513061154e-06_H-dd169576f0,old-data-local,sim_00015,93343.0,93343,112209.0,112209,0.001695817,0.001695817,0.002038438,0.002038438,135.91084,135.91084,0.0,0.0,True,46.77987,46.77987,0.0,0.0,True,71.31503000000001,71.31503000000001,0.0,0.0,True,0.9997944000000001,0.9997944,1.1102230246251565e-16,1.1104513334193075e-16,True,True
P-122p399838052_VX-0p958262341264_LS-8p77032416896e-05_ST-376p830559352_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03423790676e-06_H-79d0c72bd8,old-data-local,sim_00018,52148.0,52148,62644.0,62644,0.0009476831,0.0009476831,0.001138299,0.001138299,128.57057,128.57057,0.0,0.0,True,30.58443,30.58443,0.0,0.0,True,57.02544,57.02544,0.0,0.0,True,1.115704,1.115704,0.0,0.0,True,True
