experiment_name,partition_before,target_extraction_valid_before,extraction_status_before,extraction_failure_reasons_before,T0_width_um_before,T0_depth_um_before,T0_total_height_um_before,T0_kinetic_energy_nJ_before,max_depth_um_before,max_total_height_um_before,max_kinetic_energy_nJ_before,G3_persistent_depth_um_before,R3_persistent_depth_width_ratio_before,T0_start_row_index_before,T0_end_row_index_before,T0_start_time_s_before,T0_end_time_s_before,active_region_start_row_index_before,active_region_end_row_index_before,has_conduction_before,has_keyhole_before,first_keyhole_label_frame_index_before,first_keyhole_timestep_before,keyhole_frame_count_before,keyhole_fraction_relevant_frames_before,partition_after,target_extraction_valid_after,extraction_status_after,extraction_failure_reasons_after,T0_width_um_after,T0_depth_um_after,T0_total_height_um_after,T0_kinetic_energy_nJ_after,max_depth_um_after,max_total_height_um_after,max_kinetic_energy_nJ_after,G3_persistent_depth_um_after,R3_persistent_depth_width_ratio_after,T0_start_row_index_after,T0_end_row_index_after,T0_start_time_s_after,T0_end_time_s_after,active_region_start_row_index_after,active_region_end_row_index_after,has_conduction_after,has_keyhole_after,first_keyhole_label_frame_index_after,first_keyhole_timestep_after,keyhole_frame_count_after,keyhole_fraction_relevant_frames_after,_merge,status_changed,changed_due_to_confirmed_sentinel_rule,difference_T0_width_um,difference_T0_depth_um,difference_T0_total_height_um,difference_T0_kinetic_energy_nJ,difference_max_depth_um,difference_max_total_height_um,difference_max_kinetic_energy_nJ,difference_G3_persistent_depth_um,difference_R3_persistent_depth_width_ratio,difference_T0_start_row_index,difference_T0_end_row_index,difference_T0_start_time_s,difference_T0_end_time_s,difference_active_region_start_row_index,difference_active_region_end_row_index,label_context_changed,previous_valid_target_changed_unexpectedly
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,old-data-local,True,PASS,,166.993245,66.61901499999999,84.0996,1.0319310000000002,66.84565,86.25291,1.116801,62.788959999999996,0.38221912949112613,55050.0,68795.0,0.001000386,0.001250006,101.0,68795.0,True,False,,,0,0.0,old-data-local,True,PASS,,166.993245,66.61901499999999,84.0996,1.0319310000000002,66.84565,86.25291,1.116801,62.788959999999996,0.38221912949112613,55050.0,68795.0,0.001000386,0.001250006,101.0,68795.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-110p110895975_VX-0p451651242475_LS-8p6859144947e-05_ST-349p969995372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06810745755e-05_H-6f31342894,old-data-remote-clean,True,PASS,,182.68797999999998,38.797700000000006,71.42119000000001,0.9390010999999999,42.907039999999995,73.02162999999999,1.165564,42.768275,0.24115884769818535,96675.0,115599.0,0.001756329,0.002100003,20985.0,115599.0,True,False,,,0,0.0,old-data-remote-clean,True,PASS,,182.68797999999998,38.797700000000006,71.42119000000001,0.9390010999999999,42.907039999999995,73.02162999999999,1.165564,42.768275,0.24115884769818535,96675.0,115599.0,0.001756329,0.002100003,20985.0,115599.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-110p131967455_VX-0p225166085115_LS-5p63312318207e-05_ST-326p092691949_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p14247212255e-05_H-b41981edcb,old-data-remote-clean,True,PASS,,183.08306,54.712819999999994,68.70544000000001,1.1168799999999999,55.02534,70.47052000000001,1.294088,51.013490000000004,0.2922743301939209,100807.0,115599.0,0.001831369,0.002100003,41638.0,115599.0,True,False,,,0,0.0,old-data-remote-clean,True,PASS,,183.08306,54.712819999999994,68.70544000000001,1.1168799999999999,55.02534,70.47052000000001,1.294088,51.013490000000004,0.2922743301939209,100807.0,115599.0,0.001831369,0.002100003,41638.0,115599.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-110p234671953_VX-0p866589137882_LS-8p08580037422e-05_ST-348p980680204_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56679098795e-06_H-6705b84f8a,old-data-local,False,FAIL,missing kinetic-energy_melt.dat; missing time.dat,,,,,,,,,,,,,,,,True,False,,,0,0.0,old-data-local,False,FAIL,missing kinetic-energy_melt.dat; missing time.dat,,,,,,,,,,,,,,,,True,False,,,0,0.0,both,False,False,,,,,,,,,,,,,,,,False,False
P-110p642328299_VX-0p274154737479_LS-7p4676600105e-05_ST-358p612942181_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p7596342297e-05_H-b40dbd8ddd,old-data-local,True,PASS,,202.28875,50.78583,69.70317499999999,1.1239715000000001,51.032129999999995,72.43987,1.1989539999999999,50.79339,0.261540922976943,99232.0,115599.0,0.001802766,0.002100003,33764.0,115599.0,True,False,,,0,0.0,old-data-local,True,PASS,,202.28875,50.78583,69.70317499999999,1.1239715000000001,51.032129999999995,72.43987,1.1989539999999999,50.79339,0.261540922976943,99232.0,115599.0,0.001802766,0.002100003,33764.0,115599.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,True,PASS,,136.11750999999998,46.872595000000004,72.03333,0.9327958000000001,54.88141,77.87564,1.1030630000000001,54.67908,0.4051871163927301,96382.0,115599.0,0.001751008,0.002100003,19525.0,115599.0,True,False,,,0,0.0,new-data,True,PASS,,136.11750999999998,46.872595000000004,72.03333,0.9327958000000001,54.88141,77.87564,1.1030630000000001,54.67908,0.4051871163927301,96382.0,115599.0,0.001751008,0.002100003,19525.0,115599.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-112p428225508_VX-0p704865651228_LS-6p30987392704e-05_ST-309p241492678_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p84402849623e-06_H-30d8d23b36,old-data-local,False,FAIL,missing kinetic-energy_melt.dat; missing time.dat,,,,,,,,,,,,,,,,True,False,,,0,0.0,old-data-local,False,FAIL,missing kinetic-energy_melt.dat; missing time.dat,,,,,,,,,,,,,,,,True,False,,,0,0.0,both,False,False,,,,,,,,,,,,,,,,False,False
P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,old-data-local,False,FAIL,missing kinetic-energy_melt.dat; missing time.dat,,,,,,,,,,,,,,,,True,False,,,0,0.0,old-data-local,False,FAIL,missing kinetic-energy_melt.dat; missing time.dat,,,,,,,,,,,,,,,,True,False,,,0,0.0,both,False,False,,,,,,,,,,,,,,,,False,False
P-113p286681534_VX-0p56768277259_LS-5p80401726566e-05_ST-302p148970527_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p13495658689e-05_H-bf889bf790,old-data-local,True,PASS,,133.94807000000003,46.822900000000004,67.953605,0.9312848499999999,47.08422,69.7535,0.9942878,46.864115,0.3523172676823187,58392.0,68795.0,0.001061079,0.001250006,16792.0,68795.0,True,False,,,0,0.0,old-data-local,True,PASS,,133.94807000000003,46.822900000000004,67.953605,0.9312848499999999,47.08422,69.7535,0.9942878,46.864115,0.3523172676823187,58392.0,68795.0,0.001061079,0.001250006,16792.0,68795.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,new-data,True,PASS,,155.367745,34.473155000000006,64.02622,0.90792385,35.401709999999994,131.94279,1.120391,34.874810000000004,0.22807661440110197,77207.0,92800.0,0.001402774,0.001685956,14851.0,92800.0,True,False,,,0,0.0,new-data,True,PASS,,155.367745,34.473155000000006,64.02622,0.90792385,35.401709999999994,131.94279,1.120391,34.874810000000004,0.22807661440110197,77207.0,92800.0,0.001402774,0.001685956,14851.0,92800.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
