simulation_id,fold_index,observed_depth_um,B_predicted_mean_um,C_predicted_mean_um,B_residual_um,C_residual_um,B_absolute_error_um,C_absolute_error_um,absolute_error_C_minus_B_um,B_squared_error_um2,C_squared_error_um2,squared_error_C_minus_B_um2,paired_outcome
sim_00001,0,50.71019,52.36366377023147,52.090607808685185,-1.6534737702314715,-1.3804178086851877,1.6534737702314715,1.3804178086851877,-0.27305596154628375,2.7339755088434767,1.9055533265352156,-0.8284221823082611,C_improved
sim_00003,1,34.838855,31.64615338343268,30.251113202064808,3.192701616567323,4.587741797935195,3.192701616567323,4.587741797935195,1.3950401813678717,10.193343612431597,21.047374804521652,10.854031192090055,B_improved
sim_00004,2,46.715575,40.71166547611278,39.71539684614423,6.0039095238872235,7.000178153855771,6.0039095238872235,7.000178153855771,0.9962686299685473,36.04692957102371,49.002494185719584,12.955564614695874,B_improved
sim_00005,3,66.61901499999999,66.49862770137496,69.45312722812022,0.12038729862503317,-2.834112228120233,0.12038729862503317,2.834112228120233,2.7137249294952,0.014493101670232912,8.032192121580632,8.017699019910399,B_improved
sim_00007,4,50.78583,50.60786547073043,50.05307805517902,0.17796452926956619,0.7327519448209756,0.17796452926956619,0.7327519448209756,0.5547874155514094,0.03167137367813828,0.5369254126389221,0.5052540389607838,B_improved
sim_00008,5,38.68263,38.2194976845586,38.01132957560667,0.4631323154414062,0.6713004243933298,0.4631323154414062,0.6713004243933298,0.2081681089519236,0.2144915416061182,0.45064425979066475,0.23615271818454656,B_improved
sim_00009,6,54.58924,53.40290721976291,53.51798897509102,1.1863327802370875,1.0712510249089746,1.1863327802370875,1.0712510249089746,-0.11508175532811293,1.407385465465058,1.1475787583685286,-0.2598067070965293,C_improved
sim_00010,7,46.822900000000004,45.737343373615005,46.09969262926261,1.0855566263849994,0.7232073707373914,1.0855566263849994,0.7232073707373914,-0.362349255647608,1.1784331890883812,0.5230289010888907,-0.6554042879994906,C_improved
sim_00011,8,34.802389999999995,36.53484196112526,36.573382597120926,-1.732451961125264,-1.7709925971209302,1.732451961125264,1.7709925971209302,0.03854063599566615,3.001389797606773,3.1364147790571373,0.13502498145036412,B_improved
sim_00012,9,54.700129999999994,51.80137772688021,51.774280330447546,2.898752273119783,2.9258496695524485,2.898752273119783,2.9258496695524485,0.027097396432665732,8.402764740917108,8.560596288820172,0.1578315479030632,B_improved
