benchmark,method,seed,budget,global_error,latent_uncertainty_region_fraction,near_boundary_error_q10,latent_uncertainty_region_fraction_q10,near_boundary_test_size_q10,near_boundary_error_q20,latent_uncertainty_region_fraction_q20,near_boundary_test_size_q20,near_boundary_error_q30,latent_uncertainty_region_fraction_q30,near_boundary_test_size_q30
branin,random,0,6,0.251,0.971,0.4875,0.94,400,0.41375,0.93875,800,0.3625,0.9533333333333334,1200
branin,random,0,7,0.211,0.967,0.4875,0.94,400,0.41375,0.93875,800,0.3591666666666667,0.9533333333333334,1200
branin,random,0,8,0.21625,0.91475,0.49,0.8975,400,0.42875,0.88625,800,0.37666666666666665,0.9108333333333334,1200
branin,random,0,9,0.22125,0.89125,0.49,0.89,400,0.43875,0.8725,800,0.38916666666666666,0.8966666666666666,1200
branin,random,0,10,0.195,0.8475,0.45,0.8775,400,0.3825,0.865,800,0.3333333333333333,0.88,1200
branin,random,0,11,0.11875,0.84325,0.4325,0.88,400,0.35125,0.86625,800,0.29083333333333333,0.8833333333333333,1200
branin,random,0,12,0.11275,0.773,0.425,0.845,400,0.3375,0.83125,800,0.2791666666666667,0.8466666666666667,1200
branin,random,0,13,0.11375,0.72525,0.42,0.8125,400,0.33,0.79625,800,0.27416666666666667,0.8108333333333333,1200
branin,random,0,14,0.12275,0.69175,0.415,0.7975,400,0.33625,0.77,800,0.2808333333333333,0.7825,1200
branin,random,0,15,0.12325,0.78575,0.4075,0.8675,400,0.3425,0.84625,800,0.285,0.8533333333333334,1200
branin,random,0,16,0.11375,0.85725,0.4575,0.87,400,0.3675,0.88125,800,0.28833333333333333,0.8916666666666667,1200
branin,random,0,17,0.11375,0.82675,0.4575,0.8625,400,0.375,0.87125,800,0.2916666666666667,0.88,1200
branin,random,0,18,0.11525,0.804,0.46,0.8625,400,0.37375,0.8675,800,0.2941666666666667,0.8725,1200
branin,random,0,19,0.11575,0.774,0.4575,0.85,400,0.37375,0.855,800,0.295,0.8625,1200
branin,random,0,20,0.12,0.823,0.4625,0.8625,400,0.375,0.88,800,0.30083333333333334,0.89,1200
branin,random,0,21,0.1165,0.812,0.4575,0.8625,400,0.36625,0.87625,800,0.29083333333333333,0.8866666666666667,1200
branin,random,0,22,0.1135,0.79925,0.455,0.8625,400,0.3725,0.87375,800,0.28833333333333333,0.885,1200
branin,random,0,23,0.113,0.7955,0.45,0.8625,400,0.37,0.87375,800,0.2866666666666667,0.885,1200
branin,random,0,24,0.11375,0.75975,0.455,0.85,400,0.36875,0.86125,800,0.2841666666666667,0.8716666666666667,1200
branin,random,0,25,0.114,0.7465,0.455,0.8425,400,0.37,0.85,800,0.285,0.8608333333333333,1200
branin,random,0,26,0.11525,0.728,0.4475,0.815,400,0.36875,0.7975,800,0.285,0.8108333333333333,1200
branin,random,0,27,0.10425,0.7315,0.445,0.825,400,0.365,0.8075,800,0.2808333333333333,0.8183333333333334,1200
branin,random,0,28,0.10425,0.71225,0.4425,0.8075,400,0.365,0.79,800,0.28,0.805,1200
branin,random,0,29,0.1025,0.705,0.435,0.8,400,0.36,0.78375,800,0.27666666666666667,0.7991666666666667,1200
branin,random,0,30,0.1025,0.68275,0.435,0.7925,400,0.36,0.7725,800,0.27666666666666667,0.7733333333333333,1200
branin,random,0,31,0.10125,0.66125,0.4275,0.7825,400,0.35875,0.7625,800,0.2775,0.765,1200
branin,random,0,32,0.1,0.62975,0.425,0.7625,400,0.35375,0.7475,800,0.2733333333333333,0.7525,1200
branin,random,0,33,0.0955,0.61825,0.4225,0.7625,400,0.35,0.745,800,0.265,0.7508333333333334,1200
branin,random,0,34,0.09525,0.601,0.4225,0.75,400,0.35,0.72625,800,0.2658333333333333,0.7333333333333333,1200
branin,random,0,35,0.094,0.58275,0.4225,0.7325,400,0.35,0.70375,800,0.26416666666666666,0.7091666666666666,1200
branin,random,0,36,0.094,0.56775,0.42,0.73,400,0.34625,0.69875,800,0.2625,0.7058333333333333,1200
branin,random,0,37,0.095,0.56025,0.43,0.705,400,0.3275,0.67375,800,0.24916666666666668,0.675,1200
branin,random,0,38,0.08975,0.53725,0.425,0.71,400,0.31625,0.67,800,0.23916666666666667,0.6741666666666667,1200
branin,random,0,39,0.092,0.53075,0.4275,0.705,400,0.31875,0.66,800,0.24333333333333335,0.6558333333333334,1200
branin,random,0,40,0.092,0.53725,0.4225,0.69,400,0.31375,0.64625,800,0.24083333333333334,0.6475,1200
branin,random,0,41,0.0895,0.52,0.4175,0.7,400,0.305,0.6475,800,0.23333333333333334,0.6241666666666666,1200
branin,random,0,42,0.096,0.606,0.435,0.735,400,0.33,0.69875,800,0.25166666666666665,0.6933333333333334,1200
branin,random,0,43,0.09675,0.593,0.435,0.7325,400,0.33125,0.69,800,0.25416666666666665,0.685,1200
branin,random,0,44,0.09675,0.58075,0.435,0.695,400,0.33125,0.675,800,0.25416666666666665,0.6725,1200
branin,random,0,45,0.10425,0.5695,0.4475,0.665,400,0.35625,0.64875,800,0.2733333333333333,0.6508333333333334,1200
branin,random,0,46,0.10275,0.59175,0.4475,0.7,400,0.34625,0.68,800,0.2633333333333333,0.6775,1200
branin,random,0,47,0.1,0.58225,0.445,0.7025,400,0.3425,0.6825,800,0.2608333333333333,0.6808333333333333,1200
branin,random,0,48,0.101,0.5635,0.4475,0.695,400,0.3475,0.67375,800,0.26416666666666666,0.675,1200
branin,random,0,49,0.11425,0.5535,0.4525,0.6525,400,0.36875,0.63625,800,0.2916666666666667,0.6475,1200
branin,random,0,50,0.114,0.54225,0.4525,0.64,400,0.37,0.6275,800,0.29083333333333333,0.6391666666666667,1200
branin,random,1,6,0.3635,0.97425,0.4625,0.9725,400,0.40875,0.97375,800,0.37666666666666665,0.975,1200
branin,random,1,7,0.28,0.96975,0.42,0.9775,400,0.36875,0.97625,800,0.3275,0.9708333333333333,1200
branin,random,1,8,0.20575,0.9635,0.4025,0.9775,400,0.36125,0.97625,800,0.31416666666666665,0.9708333333333333,1200
branin,random,1,9,0.217,0.8875,0.41,0.885,400,0.3675,0.87875,800,0.325,0.8733333333333333,1200
branin,random,1,10,0.23025,0.8435,0.44,0.815,400,0.37625,0.79875,800,0.33166666666666667,0.7983333333333333,1200
branin,random,1,11,0.222,0.8365,0.4225,0.815,400,0.3475,0.79875,800,0.31166666666666665,0.7983333333333333,1200
branin,random,1,12,0.22075,0.784,0.4225,0.7575,400,0.35,0.7125,800,0.31333333333333335,0.7225,1200
branin,random,1,13,0.2165,0.744,0.415,0.735,400,0.34625,0.695,800,0.30916666666666665,0.7033333333333334,1200
branin,random,1,14,0.21725,0.7465,0.435,0.7375,400,0.36125,0.69875,800,0.3175,0.7058333333333333,1200
branin,random,1,15,0.215,0.7135,0.4375,0.705,400,0.365,0.66625,800,0.3125,0.6741666666666667,1200
branin,random,1,16,0.21525,0.6845,0.4375,0.675,400,0.36625,0.6375,800,0.31333333333333335,0.6425,1200
branin,random,1,17,0.216,0.6545,0.4375,0.6625,400,0.365,0.62375,800,0.3125,0.6275,1200
branin,random,1,18,0.1875,0.70625,0.4075,0.7425,400,0.33375,0.7,800,0.2808333333333333,0.7025,1200
branin,random,1,19,0.18425,0.63625,0.4,0.735,400,0.32875,0.69,800,0.27666666666666667,0.6925,1200
branin,random,1,20,0.1775,0.61575,0.3625,0.7025,400,0.29375,0.6675,800,0.25166666666666665,0.6725,1200
branin,random,1,21,0.14325,0.6285,0.355,0.715,400,0.2875,0.67875,800,0.2425,0.6791666666666667,1200
branin,random,1,22,0.1215,0.57475,0.3475,0.7075,400,0.2725,0.665,800,0.22666666666666666,0.6683333333333333,1200
branin,random,1,23,0.108,0.54725,0.3425,0.705,400,0.27,0.66375,800,0.2225,0.6608333333333334,1200
branin,random,1,24,0.1085,0.5165,0.34,0.6925,400,0.2725,0.65125,800,0.22333333333333333,0.6466666666666666,1200
branin,random,1,25,0.1045,0.49925,0.345,0.6825,400,0.2675,0.6425,800,0.21583333333333332,0.6366666666666667,1200
branin,random,1,26,0.11075,0.4455,0.36,0.615,400,0.2875,0.58625,800,0.2275,0.585,1200
branin,random,1,27,0.12,0.4765,0.355,0.635,400,0.30375,0.61,800,0.25166666666666665,0.6108333333333333,1200
branin,random,1,28,0.118,0.44475,0.3575,0.635,400,0.3,0.6075,800,0.2475,0.605,1200
branin,random,1,29,0.12375,0.43825,0.3675,0.5725,400,0.3075,0.55375,800,0.25333333333333335,0.5666666666666667,1200
branin,random,1,30,0.1255,0.42525,0.37,0.5675,400,0.31375,0.54875,800,0.2575,0.56,1200
branin,random,1,31,0.126,0.40125,0.3675,0.555,400,0.31125,0.53625,800,0.255,0.5441666666666667,1200
branin,random,1,32,0.122,0.3665,0.37,0.56,400,0.3175,0.53375,800,0.2633333333333333,0.5358333333333334,1200
branin,random,1,33,0.12975,0.4475,0.3975,0.5775,400,0.34,0.56,800,0.2875,0.5858333333333333,1200
branin,random,1,34,0.1325,0.4285,0.3975,0.56,400,0.34,0.55125,800,0.2875,0.5783333333333334,1200
branin,random,1,35,0.129,0.40975,0.39,0.5475,400,0.335,0.53375,800,0.2825,0.5625,1200
