repeat,fold,Y00,Y01,Y10,Y11,TOTAL,ME_A0,ME_A1,PE_M0,PE_M1,INT,MODEL,PATH,MODEL_minus_PATH
1,3.0,0.8095588235294118,0.8184742647058822,0.8280330882352942,0.8352022058823529,0.025643382352941214,0.018474264705882426,0.01672794117647063,0.008915441176470584,0.007169117647058787,-0.0017463235294117973,0.017601102941176526,0.008042279411764686,0.009558823529411842
2,3.0,0.8175551470588236,0.8276654411764707,0.8253676470588236,0.8198529411764705,0.0022977941176469674,0.007812499999999933,-0.007812500000000088,0.010110294117647056,-0.005514705882352966,-0.01562500000000002,-7.771561172376095e-17,0.002297794117647045,-0.0022977941176471227
3,3.0,0.8238051470588236,0.8160845588235295,0.8377757352941175,0.8442095588235293,0.020404411764705865,0.013970588235294113,0.028124999999999935,-0.007720588235294068,0.006433823529411753,0.014154411764705822,0.021047794117647022,-0.0006433823529411575,0.02169117647058818
4,3.0,0.7780330882352942,0.7441176470588236,0.8151654411764706,0.8357536764705882,0.057720588235294176,0.03713235294117652,0.09163602941176474,-0.033915441176470565,0.020588235294117664,0.05450367647058822,0.06438419117647062,-0.0066636029411764495,0.07104779411764708
5,3.0,0.8021139705882353,0.8345588235294118,0.8297794117647058,0.834375,0.03226102941176463,0.02766544117647054,-0.00018382352941181956,0.03244485294117645,0.00459558823529409,-0.027849264705882358,0.01374080882352936,0.01852022058823527,-0.00477941176470591
6,3.0,0.8329963235294118,0.8329963235294118,0.8334558823529413,0.834375,0.0013786764705881805,0.00045955882352941566,0.0013786764705882026,-2.2204460492503132e-17,0.0009191176470587648,0.000919117647058787,0.0009191176470588092,0.00045955882352937126,0.0004595588235294379
7,3.0,0.8266544117647058,0.8381433823529412,0.83125,0.8431066176470589,0.01645220588235301,0.004595588235294179,0.004963235294117752,0.011488970588235259,0.011856617647058832,0.0003676470588235725,0.004779411764705965,0.011672794117647045,-0.00689338235294108
8,3.0,0.8047794117647058,0.7967830882352942,0.8309742647058824,0.8273897058823529,0.02261029411764719,0.026194852941176627,0.030606617647058788,-0.007996323529411598,-0.003584558823529438,0.0044117647058821595,0.028400735294117706,-0.005790441176470517,0.034191176470588225
9,3.0,0.8176470588235294,0.8130514705882353,0.8422794117647058,0.8332720588235294,0.015624999999999934,0.02463235294117645,0.020220588235294046,-0.004595588235294113,-0.009007352941176517,-0.004411764705882404,0.02242647058823525,-0.006801470588235314,0.02922794117647056
10,3.0,0.8006433823529411,0.785845588235294,0.8191176470588235,0.8328125,0.0321691176470589,0.01847426470588238,0.04696691176470598,-0.014797794117647079,0.013694852941176516,0.028492647058823595,0.03272058823529418,-0.0005514705882352811,0.03327205882352946
11,3.0,0.8160845588235294,0.8221507352941175,0.8401654411764706,0.8309742647058822,0.014889705882352966,0.024080882352941212,0.00882352941176474,0.006066176470588225,-0.009191176470588248,-0.015257352941176472,0.016452205882352976,-0.0015625000000000111,0.018014705882352988
12,3.0,0.8011029411764706,0.8009191176470587,0.8150735294117647,0.8300551470588236,0.0289522058823529,0.013970588235294134,0.02913602941176472,-0.00018382352941181956,0.014981617647058765,0.015165441176470585,0.021553308823529425,0.007398897058823473,0.014154411764705953
13,3.0,0.8262867647058822,0.8000919117647058,0.8277573529411765,0.8283088235294116,0.002022058823529371,0.0014705882352941124,0.028216911764705775,-0.026194852941176405,0.0005514705882352589,0.026746323529411663,0.014843749999999944,-0.012821691176470574,0.027665441176470518
14,3.0,0.8132352941176471,0.8331801470588236,0.8234375,0.8232536764705882,0.010018382352941146,0.010202205882352922,-0.009926470588235347,0.019944852941176493,-0.00018382352941177517,-0.020128676470588268,0.00013786764705878696,0.00988051470588236,-0.009742647058823573
15,3.0,0.8151654411764706,0.8068933823529412,0.8227022058823529,0.8293198529411765,0.014154411764705933,0.0075367647058823374,0.02242647058823537,-0.008272058823529438,0.006617647058823594,0.014889705882353032,0.014981617647058854,-0.0008272058823529215,0.015808823529411774
16,3.0,0.823529411764706,0.8190257352941176,0.8385110294117647,0.8419117647058822,0.018382352941176384,0.014981617647058831,0.022886029411764652,-0.00450367647058827,0.0034007352941175517,0.007904411764705821,0.018933823529411743,-0.0005514705882353587,0.0194852941176471
17,3.0,0.8521139705882353,0.8228860294117647,0.8385110294117647,0.8501838235294118,-0.0019301470588235282,-0.013602941176470696,0.027297794117647035,-0.02922794117647056,0.011672794117647167,0.04090073529411773,0.006847426470588169,-0.008777573529411697,0.015624999999999866
18,3.0,0.7946691176470587,0.7745404411764706,0.8378676470588236,0.8257352941176471,0.03106617647058829,0.04319852941176476,0.0511948529411765,-0.020128676470588202,-0.012132352941176473,0.007996323529411731,0.04719669117647063,-0.016130514705882337,0.06332720588235297
19,3.0,0.8023897058823529,0.779779411764706,0.8284007352941177,0.8371323529411766,0.03474264705882359,0.026011029411764787,0.05735294117647063,-0.022610294117647034,0.00873161764705881,0.03134191176470584,0.04168198529411771,-0.006939338235294112,0.04862132352941182
20,3.0,0.8120404411764707,0.7765625,0.8338235294117646,0.8335477941176471,0.021507352941176384,0.021783088235294047,0.05698529411764708,-0.0354779411764707,-0.0002757352941176627,0.03520220588235303,0.03938419117647056,-0.01787683823529418,0.05726102941176474
