population,subgroup_type,subgroup,candidate_id,n,keyhole_positive_n,mean,median,q25,q75,minimum,maximum
new-data,T0_timing,before_T0,G3,22,22,149.70687500000003,142.280025,111.5585,163.4708375,103.3518,283.35630000000003
new-data,T0_timing,no_Keyhole,G3,101,0,66.92520836633663,66.52321,54.82536,78.72644,27.061709999999998,98.565725
new-data,T0_timing,spans_multiple_T0_regions,G3,41,41,282.8187573170731,300.3194,282.998,300.8836,184.30785,301.24170000000004
new-data,T0_timing,before_T0,R3,22,22,0.9308624575471334,0.9055932585860169,0.7160073912101219,1.070069560195821,0.6101000122399665,1.457664692709826
new-data,T0_timing,no_Keyhole,R3,101,0,0.39313638811401974,0.39288799047309486,0.34122770043903616,0.43763063096933924,0.22807661440110197,0.6922254374489708
new-data,T0_timing,spans_multiple_T0_regions,R3,41,41,1.6255751555232514,1.68063863640925,1.5512457062802671,1.828576028507757,0.7107444242766685,1.9527174981261233
new-data,T0_timing,before_T0,max_depth,22,22,189.4981318181818,156.6111,119.33430000000001,274.453175,111.1982,311.9999
new-data,T0_timing,no_Keyhole,max_depth,101,0,69.28341128712871,66.837,55.06646,82.93315,27.37239,111.5838
new-data,T0_timing,spans_multiple_T0_regions,max_depth,41,41,291.53260975609754,302.6767,301.8799,302.94669999999996,197.1042,311.9952
new-data,T0_timing,before_T0,T0_depth,22,22,85.20811295454544,82.55745999999999,78.01649749999999,93.40568999999999,74.3066,111.34100000000001
new-data,T0_timing,no_Keyhole,T0_depth,101,0,63.87544341584159,62.753339999999994,50.87139500000001,74.64661000000001,26.90932,94.62022
new-data,T0_timing,spans_multiple_T0_regions,T0_depth,41,41,215.0858870731708,214.1457,167.5395,296.376,96.47332,300.5299
old-data-local,T0_timing,inside_T0,G3,3,3,78.28525166666667,78.404255,78.2069475,78.4230575,78.00963999999999,78.44185999999999
old-data-local,T0_timing,no_Keyhole,G3,169,0,53.764997218934916,54.81933,42.95511,62.88712,18.56064,90.208
old-data-local,T0_timing,spans_multiple_T0_regions,G3,5,5,144.43558000000002,140.5314,123.4027,155.8014,123.1746,179.2678
old-data-local,T0_timing,inside_T0,R3,3,3,0.45009341435872435,0.4486459973582811,0.44046192410536367,0.4590011961118635,0.4322778508524462,0.4693563948654459
old-data-local,T0_timing,no_Keyhole,R3,169,0,0.3551322826403933,0.3473612762362017,0.3093490230433603,0.4109031680493353,0.19342570466233827,0.5209045739596359
old-data-local,T0_timing,spans_multiple_T0_regions,R3,5,5,0.8579302326099743,0.810147757460947,0.6655549377486271,1.0685192196594788,0.5576352130471504,1.1877940351336687
old-data-local,T0_timing,inside_T0,max_depth,3,3,160.77796666666666,160.271,149.80325,171.49919999999997,139.3355,182.7274
old-data-local,T0_timing,no_Keyhole,max_depth,170,0,54.39461411764706,55.01787,43.160775,63.3329275,19.03058,90.40686
old-data-local,T0_timing,spans_multiple_T0_regions,max_depth,5,5,149.56012,151.4799,124.05369999999999,164.1025,123.75569999999999,184.4088
old-data-local,T0_timing,inside_T0,T0_depth,3,3,109.15583333333332,119.1028,102.6335,120.65164999999999,86.1642,122.20049999999999
old-data-local,T0_timing,no_Keyhole,T0_depth,170,0,52.455154794117654,52.79124,42.784705,62.6563275,15.102659999999998,86.262795
old-data-local,T0_timing,spans_multiple_T0_regions,T0_depth,5,5,78.724965,78.62832,78.62241999999999,79.28099,70.55308500000001,86.54001
old-data-remote-clean,T0_timing,no_Keyhole,G3,61,0,55.533993114754104,54.951370000000004,42.87202,70.79170500000001,22.962300000000003,86.80308
old-data-remote-clean,T0_timing,spans_multiple_T0_regions,G3,2,2,192.19232499999998,192.19232499999998,171.0211875,213.3634625,149.85005,234.53459999999998
old-data-remote-clean,T0_timing,no_Keyhole,R3,61,0,0.33190464420549837,0.32922930366212577,0.2825526324250962,0.3690426486934224,0.20764574637967115,0.5341994037398861
old-data-remote-clean,T0_timing,spans_multiple_T0_regions,R3,2,2,1.1180353014012598,1.1180353014012598,1.054413399017636,1.1816572037848834,0.9907914966340123,1.2452791061685071
old-data-remote-clean,T0_timing,no_Keyhole,max_depth,61,0,56.09168639344262,55.39758,43.11125,71.03442,23.14528,90.58417
old-data-remote-clean,T0_timing,spans_multiple_T0_regions,max_depth,2,2,197.53635,197.53635,176.685675,218.387025,155.835,239.2377
old-data-remote-clean,T0_timing,no_Keyhole,T0_depth,61,0,53.891583852459014,54.80547,42.57925,70.58472499999999,22.797204999999998,86.77511
old-data-remote-clean,T0_timing,spans_multiple_T0_regions,T0_depth,2,2,88.5060875,88.5060875,85.57658875,91.43558625,82.64709,94.365085
all-old,T0_timing,inside_T0,G3,3,3,78.28525166666667,78.404255,78.2069475,78.4230575,78.00963999999999,78.44185999999999
all-old,T0_timing,no_Keyhole,G3,230,0,54.23416569565218,54.8548475,42.895195,62.949217499999996,18.56064,90.208
