analysis_type,population_or_route,train_population,test_population,candidate_id,metric,estimate,ci_low,ci_high,bootstrap_resamples,bootstrap_unit,bootstrap_scheme
within_population,old-data-local,old-data-local,old-data-local,T0_depth,loo_specificity,0.8647058823529412,0.8117647058823529,0.9117647058823529,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,G3,roc_auc,1.0,0.9999999999999999,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,G3,average_precision,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,G3,loo_balanced_accuracy,0.75,0.5,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,G3,loo_sensitivity,0.5,0.0,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,G3,loo_specificity,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,R3,roc_auc,1.0,0.9999999999999999,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,R3,average_precision,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,R3,loo_balanced_accuracy,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,R3,loo_sensitivity,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,R3,loo_specificity,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,max_depth,roc_auc,1.0,0.9999999999999999,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,max_depth,average_precision,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,max_depth,loo_balanced_accuracy,0.75,0.5,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,max_depth,loo_sensitivity,0.5,0.0,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,max_depth,loo_specificity,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,T0_depth,roc_auc,0.9836065573770492,0.9344262295081966,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,T0_depth,average_precision,0.75,0.3333333333333333,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,T0_depth,loo_balanced_accuracy,0.7336065573770492,0.4672131147540984,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,T0_depth,loo_sensitivity,0.5,0.0,1.0,5000,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,T0_depth,loo_specificity,0.9672131147540983,0.9180327868852459,1.0,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,G3,roc_auc,0.9752173913043478,0.9452173913043478,0.9960869565217392,5000,simulation,stratified by Keyhole label
