population,subgroup_type,subgroup,candidate_id,n,keyhole_positive_n,mean,median,q25,q75,minimum,maximum
new-data,transient_persistent,Keyhole-negative,G3,101,0,66.92520836633663,66.52321,54.82536,78.72644,27.061709999999998,98.565725
new-data,transient_persistent,persistent Keyhole,G3,33,33,284.7298606060606,300.57210000000003,292.3277,300.8724,184.30785,301.24170000000004
new-data,transient_persistent,transient Keyhole,G3,30,30,183.10116333333332,151.76780000000002,131.45908749999998,242.8133375,103.3518,301.2056
new-data,transient_persistent,Keyhole-negative,R3,101,0,0.39313638811401974,0.39288799047309486,0.34122770043903616,0.43763063096933924,0.22807661440110197,0.6922254374489708
new-data,transient_persistent,persistent Keyhole,R3,33,33,1.6253308973240455,1.680001721594193,1.5512457062802671,1.8288296301162847,0.7107444242766685,1.9527174981261233
new-data,transient_persistent,transient Keyhole,R3,30,30,1.1163878610265574,1.0179266110214602,0.7779581742688673,1.3721848202967144,0.6101000122399665,1.839695147903356
new-data,transient_persistent,Keyhole-negative,max_depth,101,0,69.28341128712871,66.837,55.06646,82.93315,27.37239,111.5838
new-data,transient_persistent,persistent Keyhole,max_depth,33,33,292.5975121212121,302.6773,301.9033,302.94669999999996,197.1042,311.9952
new-data,transient_persistent,transient Keyhole,max_depth,30,30,215.53593333333336,205.709,138.52067499999998,302.77605,111.1982,311.9999
new-data,transient_persistent,Keyhole-negative,T0_depth,101,0,63.87544341584159,62.753339999999994,50.87139500000001,74.64661000000001,26.90932,94.62022
new-data,transient_persistent,persistent Keyhole,T0_depth,33,33,232.47049242424242,231.41035,182.7688,297.60975,107.62049999999999,300.5299
new-data,transient_persistent,transient Keyhole,T0_depth,30,30,100.71912016666667,88.45677,78.629895,101.746,74.3066,198.87655
old-data-local,transient_persistent,Keyhole-negative,G3,169,0,53.764997218934916,54.81933,42.95511,62.88712,18.56064,90.208
old-data-local,transient_persistent,persistent Keyhole,G3,8,8,119.62920687500001,123.28864999999999,78.43245875,144.3489,78.00963999999999,179.2678
