route_id,train_population,test_population,candidate_id,unit,evaluation_type,train_n,test_n,train_test_overlap_n,training_selected_direction,training_selected_threshold,training_descriptive_balanced_accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,true_negative,false_positive,false_negative,true_positive,threshold_fitted_without_test_population
all_old_to_new,all-old,new-data,G3,um,cross_population_transfer,240,164,0,higher,76.43563499999999,0.9586956521739131,0.8564356435643564,1.0,0.7128712871287128,0.6847826086956522,0.8129032258064516,72,29,0,63,True
all_old_to_new,all-old,new-data,R3,dimensionless,cross_population_transfer,240,164,0,higher,0.431491418489115,0.9304347826086956,0.8613861386138614,1.0,0.7227722772277227,0.6923076923076923,0.8181818181818182,73,28,0,63,True
all_old_to_new,all-old,new-data,T0_width,um,cross_population_transfer,241,164,0,higher,145.19675999999998,0.7142857142857143,0.45607417884645607,0.6349206349206349,0.27722772277227725,0.35398230088495575,0.45454545454545453,28,73,23,40,True
all_old_to_new,all-old,new-data,T0_total_height,um,cross_population_transfer,241,164,0,higher,92.69389000000001,0.9025974025974026,0.7405311959767406,0.9365079365079365,0.5445544554455446,0.5619047619047619,0.7023809523809523,55,46,4,59,True
all_old_to_new,all-old,new-data,T0_kinetic_energy,nJ,cross_population_transfer,241,164,0,higher,1.4730165,0.7380952380952381,0.6089108910891089,1.0,0.21782178217821782,0.44366197183098594,0.6146341463414634,22,79,0,63,True
all_old_to_new,all-old,new-data,R0,dimensionless,cross_population_transfer,241,164,0,higher,0.4559295168357515,0.9261904761904762,0.9028760018859029,0.9047619047619048,0.900990099009901,0.8507462686567164,0.8769230769230769,91,10,6,57,True
old_local_to_new,old-data-local,new-data,T0_depth,um,cross_population_transfer,178,164,0,higher,70.17236750000001,0.9323529411764706,0.7920792079207921,1.0,0.5841584158415841,0.6,0.75,59,42,0,63,True
old_local_to_new,old-data-local,new-data,max_depth,um,cross_population_transfer,178,164,0,higher,107.08127999999999,1.0,0.995049504950495,1.0,0.9900990099009901,0.984375,0.9921259842519685,100,1,0,63,True
old_local_to_new,old-data-local,new-data,G3,um,cross_population_transfer,177,164,0,higher,76.412915,0.9644970414201184,0.8564356435643564,1.0,0.7128712871287128,0.6847826086956522,0.8129032258064516,72,29,0,63,True
old_local_to_new,old-data-local,new-data,R3,dimensionless,cross_population_transfer,177,164,0,higher,0.431491418489115,0.9201183431952662,0.8613861386138614,1.0,0.7227722772277227,0.6923076923076923,0.8181818181818182,73,28,0,63,True
