bug_group,variable,human_readable_variable,n,mean,median,standard_deviation,q25,q75,minimum,maximum
Bug,P,P,150,165.21056768559532,166.991615202,49.9804820369061,122.69451729225,209.851304568,76.2867092863,248.695097131
Bug,VX,VX,150,0.6334711702923933,0.6443034889355,0.23514707528903908,0.44243611074625,0.85560239468175,0.201684842681,0.995509859725
Bug,LS_micrometres,LS (micrometres),150,66.70145785898467,66.47830091770001,12.310597008331143,56.18726384685,76.47485360335,45.2196790327,88.4568803437
Bug,ST,ST,150,352.0385386073333,353.8135973095,28.97534198157336,326.14845708375003,377.64908924975,300.016423613,399.182507166
Bug,first_observed_conduction_timestep,First observed Conduction timestep,147,44662.08163265306,38782.0,19820.743361891047,27811.0,57209.5,20655.0,95798.0
No Bug,P,P,91,146.58887829174066,138.247900083,56.20140583329554,99.9762177066,195.399250059,52.5445860993,246.882256304
No Bug,VX,VX,91,0.5899637611061428,0.584146530445,0.24880310878602852,0.36736248418999995,0.805503442839,0.201002332148,0.998321353283
No Bug,LS_micrometres,LS (micrometres),91,61.35663467304835,59.8563054886,14.53635581766431,45.0,72.9486902547,45.0,89.7039861056
No Bug,ST,ST,91,342.618484384989,340.774386379,37.01935483787288,300.0,381.7901994195,300.0,399.457924021
No Bug,first_observed_conduction_timestep,First observed Conduction timestep,91,17503.802197802197,13933.0,8860.90667823782,10285.5,23643.5,4840.0,42436.0
