benchmark,surrogate_variant,acquisition_rule,method,seed,budget,global_error,classifier_uncertainty_region_fraction_eps005,classifier_uncertainty_region_fraction_eps010,near_boundary_error_q10,near_boundary_test_size_q10,classifier_uncertainty_region_fraction_q10_eps005,classifier_uncertainty_region_fraction_q10_eps010,near_boundary_error_q20,near_boundary_test_size_q20,classifier_uncertainty_region_fraction_q20_eps005,classifier_uncertainty_region_fraction_q20_eps010,near_boundary_error_q30,near_boundary_test_size_q30,classifier_uncertainty_region_fraction_q30_eps005,classifier_uncertainty_region_fraction_q30_eps010
branin,fixed_iso_gpc,random,random,0,6,0.276,0.85225,1.0,0.485,400,0.975,1.0,0.495,800,0.9675,1.0,0.4791666666666667,1200,0.9641666666666666,1.0
branin,fixed_iso_gpc,random,random,0,7,0.23425,0.8225,1.0,0.4425,400,0.79,1.0,0.37125,800,0.8,1.0,0.3225,1200,0.8125,1.0
branin,fixed_iso_gpc,random,random,0,8,0.26275,0.7385,0.9115,0.395,400,0.635,0.87,0.33375,800,0.6325,0.875,0.3,1200,0.6191666666666666,0.8866666666666667
branin,fixed_iso_gpc,random,random,0,9,0.21725,0.7095,0.957,0.4125,400,0.7725,0.98,0.34125,800,0.77375,0.98375,0.30416666666666664,1200,0.7875,0.9816666666666667
branin,fixed_iso_gpc,random,random,0,10,0.187,0.69325,0.9775,0.41,400,0.8525,1.0,0.34,800,0.84,1.0,0.30083333333333334,1200,0.8483333333333334,1.0
branin,fixed_iso_gpc,random,random,0,11,0.15575,0.594,0.862,0.3725,400,0.865,1.0,0.3,800,0.8375,1.0,0.25583333333333336,1200,0.835,1.0
branin,fixed_iso_gpc,random,random,0,12,0.15975,0.496,0.83175,0.3975,400,0.6575,1.0,0.3075,800,0.625,0.9875,0.25666666666666665,1200,0.6325,0.97
branin,fixed_iso_gpc,random,random,0,13,0.16225,0.4705,0.7535,0.4075,400,0.62,1.0,0.31875,800,0.58,0.985,0.26,1200,0.5883333333333334,0.9658333333333333
branin,fixed_iso_gpc,random,random,0,14,0.0955,0.485,0.7945,0.3975,400,0.795,1.0,0.3,800,0.75375,1.0,0.2275,1200,0.7366666666666667,1.0
branin,fixed_iso_gpc,random,random,0,15,0.1035,0.4725,0.7505,0.42,400,0.8125,1.0,0.3625,800,0.76375,1.0,0.275,1200,0.7625,1.0
branin,fixed_iso_gpc,random,random,0,16,0.099,0.35425,0.77325,0.4025,400,0.765,1.0,0.29625,800,0.67,1.0,0.23083333333333333,1200,0.6066666666666667,1.0
branin,fixed_iso_gpc,random,random,0,17,0.1155,0.3255,0.709,0.4075,400,0.5975,0.9575,0.31875,800,0.52,0.9075,0.25333333333333335,1200,0.48083333333333333,0.865
branin,fixed_iso_gpc,random,random,0,18,0.11275,0.316,0.66275,0.3975,400,0.5775,0.9575,0.3125,800,0.50625,0.90625,0.2475,1200,0.4708333333333333,0.8641666666666666
branin,fixed_iso_gpc,random,random,0,19,0.08325,0.375,0.68175,0.3575,400,0.7225,0.975,0.26375,800,0.67,0.945,0.2025,1200,0.6325,0.9458333333333333
