benchmark_population,run_id,method,formulation,available_start_budget,common_start_budget,final_budget,common_normalized_aulc__q20_error,warm_relative_normalized_aulc__q20_error,common_normalized_aulc__q30_error,warm_relative_normalized_aulc__q30_error,common_normalized_aulc__balanced_accuracy,warm_relative_normalized_aulc__balanced_accuracy
primary_common,primary_common__r01_f01,binary_margin,binary,12,16,80,0.15027573529411767,0.16479238754325257,0.1028125,0.11411764705882355,0.9481297348484847,0.9288770053475935
primary_common,primary_common__r01_f01,binary_random,binary,12,16,80,0.11121323529411765,0.12975778546712802,0.07875,0.09323529411764706,0.9578006628787878,0.9340574866310162
primary_common,primary_common__r01_f01,binary_uncertainty_repulsion,binary,12,16,80,0.14108455882352944,0.1561418685121107,0.0965625,0.10823529411764707,0.9493134469696969,0.9299910873440286
primary_common,primary_common__r01_f01,max_depth_boundary_proximity,max_depth,12,16,80,0.16038602941176472,0.1608996539792387,0.11031250000000001,0.11147058823529411,0.9448863636363638,0.9384024064171124
primary_common,primary_common__r01_f01,max_depth_expected_feasibility,max_depth,12,16,80,0.16865808823529413,0.16782006920415224,0.1146875,0.11441176470588237,0.9251775568181819,0.9233734402852051
primary_common,primary_common__r01_f01,max_depth_random,max_depth,12,16,80,0.17601102941176472,0.18295847750865052,0.129375,0.13588235294117648,0.9146543560606062,0.8986742424242427
primary_common,primary_common__r01_f01,max_depth_randomized_straddle,max_depth,12,16,80,0.12683823529411764,0.1288927335640138,0.0875,0.08970588235294118,0.9502130681818183,0.9434714795008913
primary_common,primary_common__r01_f01,max_depth_straddle,max_depth,12,16,80,0.17279411764705882,0.1764705882352941,0.1175,0.12323529411764701,0.9383167613636365,0.9316399286987523
primary_common,primary_common__r01_f02,binary_margin,binary,12,16,80,0.15395220588235295,0.15830449826989618,0.13874999999999998,0.14411764705882354,0.9242187500000001,0.9199420677361853
primary_common,primary_common__r01_f02,binary_random,binary,12,16,80,0.18152573529411764,0.1816608996539792,0.146875,0.14941176470588238,0.9144294507575758,0.9124665775401068
primary_common,primary_common__r01_f02,binary_uncertainty_repulsion,binary,12,16,80,0.15395220588235295,0.15830449826989618,0.13874999999999998,0.14411764705882354,0.9242187500000001,0.9199420677361853
primary_common,primary_common__r01_f02,max_depth_boundary_proximity,max_depth,12,16,80,0.2927389705882353,0.2906574394463667,0.2475,0.24911764705882344,0.9167850378787878,0.9176693404634582
primary_common,primary_common__r01_f02,max_depth_expected_feasibility,max_depth,12,16,80,0.2743566176470588,0.27378892733564014,0.25125,0.2517647058823529,0.9346117424242424,0.9321524064171122
primary_common,primary_common__r01_f02,max_depth_random,max_depth,12,16,80,0.2954963235294118,0.29584775086505183,0.29000000000000004,0.2905882352941177,0.8966382575757577,0.8956327985739753
primary_common,primary_common__r01_f02,max_depth_randomized_straddle,max_depth,12,16,80,0.32996323529411764,0.32698961937716264,0.30437500000000006,0.3029411764705884,0.8950284090909091,0.8953765597147949
primary_common,primary_common__r01_f02,max_depth_straddle,max_depth,12,16,80,0.31433823529411764,0.31401384083044975,0.27,0.271470588235294,0.9100733901515151,0.908288770053476
primary_common,primary_common__r01_f03,binary_margin,binary,12,16,80,0.1755514705882353,0.18468858131487892,0.12281249999999999,0.13117647058823526,0.9384619869402986,0.9243658284209206
primary_common,primary_common__r01_f03,binary_random,binary,12,16,80,0.28860294117647056,0.3006055363321799,0.2028125,0.2129411764705882,0.8525203224946696,0.8345940988335634
primary_common,primary_common__r01_f03,binary_uncertainty_repulsion,binary,12,16,80,0.1875,0.19593425605536338,0.13093749999999998,0.13882352941176465,0.9285589352345416,0.9150453091684435
primary_common,primary_common__r01_f03,max_depth_boundary_proximity,max_depth,12,16,80,0.24816176470588236,0.25865051903114183,0.17906250000000004,0.18794117647058822,0.8459904717484008,0.8255283456666249
primary_common,primary_common__r01_f03,max_depth_expected_feasibility,max_depth,12,16,80,0.1410845588235294,0.14878892733564011,0.101875,0.10911764705882353,0.9687791511194028,0.9645796751536435
primary_common,primary_common__r01_f03,max_depth_random,max_depth,12,16,80,0.24724264705882354,0.2638408304498269,0.19000000000000003,0.20441176470588232,0.9149120469083156,0.8952284271917722
primary_common,primary_common__r01_f03,max_depth_randomized_straddle,max_depth,12,16,80,0.15441176470588236,0.16046712802768165,0.1103125,0.1164705882352941,0.9443671708422174,0.9419329298883732
primary_common,primary_common__r01_f03,max_depth_straddle,max_depth,12,16,80,0.1985294117647059,0.20198961937716262,0.1390625,0.1435294117647059,0.9469074826759061,0.9443238116141979
primary_common,primary_common__r01_f04,binary_margin,binary,12,16,80,0.22334558823529416,0.22750865051903113,0.1521875,0.15882352941176472,0.8649303704690834,0.8688385802082026
primary_common,primary_common__r01_f04,binary_random,binary,12,16,80,0.2297794117647059,0.23096885813148796,0.15625,0.15705882352941172,0.8609116804371004,0.8628652953718802
primary_common,primary_common__r01_f04,binary_uncertainty_repulsion,binary,12,16,80,0.21875000000000003,0.22318339100346019,0.1490625,0.1558823529411765,0.8640475079957357,0.8680076508215225
primary_common,primary_common__r01_f04,max_depth_boundary_proximity,max_depth,12,16,80,0.09604779411764706,0.10337370242214533,0.0671875,0.07411764705882354,0.9522587953091683,0.9509202934905305
primary_common,primary_common__r01_f04,max_depth_expected_feasibility,max_depth,12,16,80,0.17141544117647062,0.176038062283737,0.12875,0.13411764705882348,0.9312533315565032,0.9316756553367616
primary_common,primary_common__r01_f04,max_depth_random,max_depth,12,16,80,0.25183823529411764,0.25346020761245674,0.17375,0.1802941176470588,0.8922116537846482,0.8924612755549982
primary_common,primary_common__r01_f04,max_depth_randomized_straddle,max_depth,12,16,80,0.08915441176470588,0.09861591695501729,0.0765625,0.08558823529411765,0.9750133262260128,0.9715445879844475
primary_common,primary_common__r01_f04,max_depth_straddle,max_depth,12,16,80,0.07904411764705882,0.08910034602076124,0.060312500000000005,0.07029411764705883,0.9707989072494669,0.967578076006522
primary_common,primary_common__r01_f05,binary_margin,binary,12,16,80,0.21323529411764708,0.21972318339100347,0.18781249999999997,0.19382352941176467,0.8980942234848485,0.8938836898395723
primary_common,primary_common__r01_f05,binary_random,binary,12,16,80,0.31617647058823534,0.3127162629757785,0.2853125,0.2852941176470588,0.8389678030303029,0.8339572192513366
primary_common,primary_common__r01_f05,binary_uncertainty_repulsion,binary,12,16,80,0.21323529411764708,0.21972318339100347,0.18718749999999995,0.193235294117647,0.8986150568181817,0.8943738859180037
primary_common,primary_common__r01_f05,max_depth_boundary_proximity,max_depth,12,16,80,0.25505514705882354,0.26427335640138405,0.2059375,0.21235294117647052,0.9080255681818182,0.9079879679144385
primary_common,primary_common__r01_f05,max_depth_expected_feasibility,max_depth,12,16,80,0.35983455882352944,0.36418685121107264,0.2553125,0.2608823529411765,0.9386600378787879,0.9358288770053476
primary_common,primary_common__r01_f05,max_depth_random,max_depth,12,16,80,0.42509191176470584,0.42993079584775074,0.33,0.33323529411764713,0.897845643939394,0.8959893048128343
primary_common,primary_common__r01_f05,max_depth_randomized_straddle,max_depth,12,16,80,0.2757352941176471,0.2858996539792387,0.2253125,0.23323529411764704,0.9033380681818182,0.9026626559714797
primary_common,primary_common__r01_f05,max_depth_straddle,max_depth,12,16,80,0.2605698529411765,0.27162629757785467,0.19218749999999996,0.20205882352941174,0.9301254734848485,0.9278743315508021
primary_common,primary_common__r02_f01,binary_margin,binary,16,16,80,0.14568014705882354,0.14568014705882354,0.10093749999999999,0.10093749999999999,0.9545928030303029,0.9545928030303029
primary_common,primary_common__r02_f01,binary_random,binary,16,16,80,0.20404411764705885,0.20404411764705885,0.1409375,0.1409375,0.8673413825757575,0.8673413825757575
primary_common,primary_common__r02_f01,binary_uncertainty_repulsion,binary,16,16,80,0.1438419117647059,0.1438419117647059,0.09968749999999998,0.09968749999999998,0.9556344696969696,0.9556344696969696
primary_common,primary_common__r02_f01,max_depth_boundary_proximity,max_depth,16,16,80,0.15625,0.15625,0.11375,0.11375,0.9508877840909091,0.9508877840909091
primary_common,primary_common__r02_f01,max_depth_expected_feasibility,max_depth,16,16,80,0.16681985294117646,0.16681985294117646,0.1134375,0.1134375,0.971460700757576,0.971460700757576
primary_common,primary_common__r02_f01,max_depth_random,max_depth,16,16,80,0.18474264705882354,0.18474264705882354,0.12625,0.12625,0.902746212121212,0.902746212121212
primary_common,primary_common__r02_f01,max_depth_randomized_straddle,max_depth,16,16,80,0.1750919117647059,0.1750919117647059,0.1190625,0.1190625,0.9697561553030305,0.9697561553030305
primary_common,primary_common__r02_f01,max_depth_straddle,max_depth,16,16,80,0.1796875,0.1796875,0.12218749999999999,0.12218749999999999,0.9656605113636365,0.9656605113636365
primary_common,primary_common__r02_f02,binary_margin,binary,12,16,80,0.19715073529411767,0.2032871972318339,0.1375,0.14235294117647057,0.9378331556503198,0.9333884673272292
primary_common,primary_common__r02_f02,binary_random,binary,12,16,80,0.18106617647058826,0.18079584775086507,0.123125,0.12294117647058822,0.9149453624733476,0.9111062335381914
primary_common,primary_common__r02_f02,binary_uncertainty_repulsion,binary,12,16,80,0.2063419117647059,0.21193771626297575,0.14375000000000002,0.14823529411764702,0.9344849413646055,0.9302372068230275
primary_common,primary_common__r02_f02,max_depth_boundary_proximity,max_depth,12,16,80,0.20404411764705885,0.21323529411764705,0.14,0.14705882352941174,0.9601962286780382,0.9563605292863412
primary_common,primary_common__r02_f02,max_depth_expected_feasibility,max_depth,12,16,80,0.20082720588235295,0.20631487889273353,0.1365625,0.14117647058823526,0.9429595882196162,0.9406316631130063
primary_common,primary_common__r02_f02,max_depth_random,max_depth,12,16,80,0.22012867647058826,0.2296712802768166,0.15000000000000002,0.15882352941176467,0.9243403518123667,0.9221748400852877
primary_common,primary_common__r02_f02,max_depth_randomized_straddle,max_depth,12,16,80,0.24402573529411767,0.24697231833910027,0.17406249999999998,0.17647058823529407,0.9463369536247335,0.9442258246582214
primary_common,primary_common__r02_f02,max_depth_straddle,max_depth,12,16,80,0.16452205882352944,0.17214532871972318,0.11187499999999999,0.11794117647058823,0.9601462553304903,0.9568073498055938
primary_common,primary_common__r02_f03,binary_margin,binary,12,16,80,0.23575367647058826,0.23745674740484427,0.16250000000000003,0.16588235294117643,0.8952308768656717,0.8920026966010285
primary_common,primary_common__r02_f03,binary_random,binary,12,16,80,0.28722426470588236,0.2841695501730103,0.20749999999999996,0.20705882352941168,0.8565348480810235,0.8523689326476862
primary_common,primary_common__r02_f03,binary_uncertainty_repulsion,binary,12,16,80,0.22518382352941177,0.2275086505190311,0.15531250000000002,0.15911764705882353,0.8967925439765458,0.8934725009406748
primary_common,primary_common__r02_f03,max_depth_boundary_proximity,max_depth,12,16,80,0.25965073529411764,0.25908304498269896,0.211875,0.2097058823529412,0.902660247867804,0.8990851937790041
primary_common,primary_common__r02_f03,max_depth_expected_feasibility,max_depth,12,16,80,0.27068014705882354,0.2724913494809688,0.221875,0.22117647058823522,0.9052172174840086,0.9013898469835697
primary_common,primary_common__r02_f03,max_depth_random,max_depth,12,16,80,0.27619485294117646,0.2841695501730103,0.22593749999999999,0.23147058823529412,0.9163571095415779,0.9075199109494545
primary_common,primary_common__r02_f03,max_depth_randomized_straddle,max_depth,12,16,80,0.3161764705882353,0.31487889273356395,0.245,0.24411764705882355,0.9223539112473349,0.9179457230653455
primary_common,primary_common__r02_f03,max_depth_straddle,max_depth,12,16,80,0.30928308823529416,0.30882352941176466,0.25031250000000005,0.24941176470588242,0.9057044576226014,0.9022207763702494
primary_common,primary_common__r02_f04,binary_margin,binary,12,16,80,0.11213235294117649,0.12067474048442908,0.085625,0.09088235294117648,0.9324692234848486,0.9298908199643496
primary_common,primary_common__r02_f04,binary_random,binary,12,16,80,0.2541360294117647,0.2530276816608996,0.17281249999999998,0.1720588235294117,0.8802438446969698,0.8789995543672013
primary_common,primary_common__r02_f04,binary_uncertainty_repulsion,binary,12,16,80,0.11305147058823531,0.12153979238754327,0.08625000000000002,0.09147058823529412,0.9319483901515152,0.9294006238859182
