diagnostic,population,sample_size,minimum,q25,median,q75,maximum,mean,std,unstable_ids
T0_penetration_depth_um,all_241,241,15.102659999999998,42.7637,54.75336,66.02616,122.2005,54.36874452282158,17.228866533903858,
T0_penetration_depth_um,stable_230,230,18.77861,42.784705,54.72232,62.757202500000005,94.365085,53.72958541304348,15.50144505326998,
T0_penetration_depth_um,unstable_11,11,15.102659999999998,28.731967500000003,78.62832,86.352105,122.2005,67.73298045454546,37.6218310984505,"[""sim_00002"",""sim_00006"",""sim_00018"",""sim_00029"",""sim_00036"",""sim_00038"",""sim_00095"",""sim_00105"",""sim_00124"",""sim_00154"",""sim_00222""]"
T0_depth_over_LS,all_241,241,0.175927383888566,0.6459132424025542,0.8682468927995364,1.0727326857791148,2.7155666666666667,0.8811881046508385,0.35159176217294197,
T0_depth_over_LS,stable_230,230,0.2228595845019525,0.6587539624555678,0.8651896494645053,1.054402301075374,1.943629729770672,0.8591891110148704,0.2849823496391968,
T0_depth_over_LS,unstable_11,11,0.175927383888566,0.34057741789719853,1.5602296723287332,1.8062025473679257,2.7155666666666667,1.3411670624938081,0.929037463769556,"[""sim_00002"",""sim_00006"",""sim_00018"",""sim_00029"",""sim_00036"",""sim_00038"",""sim_00095"",""sim_00105"",""sim_00124"",""sim_00154"",""sim_00222""]"
G3,all_241,240,18.56064,42.94975875,54.90732,66.78203624999999,234.5346,57.563651729166665,24.29228319205862,
G3,stable_230,229,18.9878,42.955565,54.901590000000006,66.68789,234.5346,56.19673196506551,20.719801119726196,
G3,unstable_11,11,18.56064,28.863995000000003,78.404255,136.626375,179.2678,86.02043590909092,58.154295219129764,"[""sim_00002"",""sim_00006"",""sim_00018"",""sim_00029"",""sim_00036"",""sim_00038"",""sim_00095"",""sim_00105"",""sim_00124"",""sim_00154"",""sim_00222""]"
G3_over_LS,all_241,240,0.21620859096990025,0.6709646368466482,0.8960395916554715,1.1036849067609151,4.830689457015513,0.9379669326134732,0.5029013292538372,
G3_over_LS,stable_230,229,0.2253421961799182,0.6728861034048597,0.893956330549444,1.0852312983074974,4.830689457015513,0.9013430721833113,0.40135987855988364,
G3_over_LS,unstable_11,11,0.21620859096990025,0.3421392029906497,1.742316777777778,2.553907952113699,3.728666521800052,1.7004091179322953,1.3044273746898691,"[""sim_00002"",""sim_00006"",""sim_00018"",""sim_00029"",""sim_00036"",""sim_00038"",""sim_00095"",""sim_00105"",""sim_00124"",""sim_00154"",""sim_00222""]"
R0,all_241,241,0.1544865035605367,0.2888868993393389,0.3346824042452359,0.3902236477696701,0.7118229993128277,0.3413468723496258,0.08208553379631725,
R0,stable_230,230,0.1544865035605367,0.2894053698223078,0.33434669681155155,0.3887868361140432,0.4970451794640774,0.33725282777564736,0.0708679607809782,
R0,unstable_11,11,0.1590299006965034,0.22497830855021095,0.4780556419415796,0.525467635150425,0.7118229993128277,0.42694962253281205,0.19559340721889487,"[""sim_00002"",""sim_00006"",""sim_00018"",""sim_00029"",""sim_00036"",""sim_00038"",""sim_00095"",""sim_00105"",""sim_00124"",""sim_00154"",""sim_00222""]"
R3,all_241,240,0.1934257046623382,0.3041447582047956,0.3456966934328356,0.4083310176361209,1.2452791061685071,0.36724808779871015,0.12748909587379573,
R3,stable_230,229,0.2076457463796711,0.3044219779223207,0.3447663423344435,0.4049555582873949,1.2452791061685071,0.35800273526086157,0.09634626900325446,
R3,unstable_11,11,0.1934257046623382,0.2418225028928118,0.4486459973582811,0.8281732171913198,1.1877940351336689,0.5597195179048309,0.36620673435937195,"[""sim_00002"",""sim_00006"",""sim_00018"",""sim_00029"",""sim_00036"",""sim_00038"",""sim_00095"",""sim_00105"",""sim_00124"",""sim_00154"",""sim_00222""]"
