boundary_definition,budget,method,method_label,run_count,mean_q20_error,mean_q20_accuracy,median_q20_accuracy,sd_q20_accuracy,q25_q20_accuracy,q75_q20_accuracy,ci95_q20_accuracy_lower,ci95_q20_accuracy_upper,mean_q30_error,mean_q30_accuracy,median_q30_accuracy,sd_q30_accuracy,q25_q30_accuracy,q75_q30_accuracy,ci95_q30_accuracy_lower,ci95_q30_accuracy_upper,mean_balanced_accuracy,median_balanced_accuracy,sd_balanced_accuracy,mean_sensitivity,median_sensitivity,sd_sensitivity,mean_specificity,median_specificity,sd_specificity,mean_global_error,median_global_error,sd_global_error,mean_brier_score,median_brier_score,sd_brier_score,mean_keyhole_discovered,sd_keyhole_discovered,mean_keyhole_enrichment,accuracy_exactly_one_minus_error
B3,16,binary_uncertainty_repulsion,Binary,20,0.229411764706,0.770588235294,0.794117647059,0.107791525317,0.647058823529,0.882352941176,0.720140248556,0.821036222033,0.184,0.816,0.84,0.0750017543654,0.76,0.88,0.78089809845,0.85110190155,0.8803939717,0.906823027719,0.0788777707563,0.787857142857,0.857142857143,0.168454251785,0.972930800543,0.97749886929,0.0255924221935,0.0604938271605,0.0493827160494,0.0274308711298,0.0803148795728,0.0798084195067,0.0113522226617,5.15,1.26802789277,1.78533752192,True
B3,16,max_depth_straddle,Max-Depth,20,0.276470588235,0.723529411765,0.705882352941,0.114668168762,0.632352941176,0.823529411765,0.669863056826,0.777195766703,0.224,0.776,0.78,0.0930421523035,0.68,0.85,0.732454932318,0.819545067682,0.900172998643,0.915913936809,0.052050101949,0.873333333333,0.897619047619,0.128142792414,0.927012663953,0.924807779285,0.0481065967027,0.0827160493827,0.0864197530864,0.0302671293385,0.0692061645385,0.0700703533762,0.0310815823849,4.25,1.4464111667,1.4731845412,True
B3,16,shared_random_binary_head,Random,20,0.294117647059,0.705882352941,0.705882352941,0.0915278359077,0.647058823529,0.764705882353,0.663046007148,0.748718698734,0.232,0.768,0.76,0.0706063960126,0.71,0.8,0.734955189481,0.801044810519,0.78368062286,0.825757575758,0.119431481805,0.580952380952,0.666666666667,0.24379150936,0.986408864767,0.984961555857,0.0137859580292,0.0858024691358,0.0740740740741,0.0389324405204,0.0928975208912,0.0884093551087,0.0174129067021,3.1,1.33377185771,1.07581823495,True
B3,20,binary_uncertainty_repulsion,Binary,20,0.220588235294,0.779411764706,0.764705882353,0.0932526036027,0.705882352941,0.823529411765,0.735768202784,0.823055326628,0.17,0.83,0.84,0.0548682632839,0.79,0.88,0.804320862328,0.855679137672,0.891631453124,0.892424242424,0.0463428990274,0.807380952381,0.8,0.104299217491,0.975881953867,0.984848484848,0.0231167557421,0.0543209876543,0.0493827160494,0.0171815400972,0.0657052513613,0.0653568612951,0.00925939788678,7.4,1.35335839576,2.05316773816,True
B3,20,max_depth_straddle,Max-Depth,20,0.255882352941,0.744117647059,0.735294117647,0.111732111917,0.647058823529,0.823529411765,0.691825409022,0.796409885096,0.194,0.806,0.8,0.0873227528076,0.75,0.88,0.765131693678,0.846868306322,0.926525812496,0.919509594883,0.0327172275338,0.924523809524,0.928571428571,0.0584086006154,0.928527815468,0.932383536861,0.0410279259493,0.0722222222222,0.0679012345679,0.0335779057396,0.0570277381541,0.0517326928915,0.024033755333,5.7,1.30182058753,1.58094389246,True
B3,20,shared_random_binary_head,Random,20,0.279411764706,0.720588235294,0.705882352941,0.0932526036027,0.647058823529,0.764705882353,0.676944673372,0.764231797216,0.224,0.776,0.78,0.0679318543991,0.72,0.8,0.744206913486,0.807793086514,0.789410900045,0.823593073593,0.120539148758,0.591666666667,0.666666666667,0.246129484453,0.987155133424,0.985074626866,0.0132531367458,0.0833333333333,0.0740740740741,0.039219844457,0.0871831755776,0.0787815437676,0.0226038187052,3.55,1.66938375015,0.985397428404,True
B3,30,binary_uncertainty_repulsion,Binary,20,0.197058823529,0.802941176471,0.823529411765,0.0880286538009,0.75,0.882352941176,0.761742498314,0.844139854627,0.15,0.85,0.84,0.062069570475,0.8,0.89,0.820950546817,0.879049453183,0.909656587194,0.908338179234,0.0471806818883,0.841904761905,0.857142857143,0.102674580395,0.977408412483,0.97749886929,0.0220964681834,0.0469135802469,0.0493827160494,0.0186157292574,0.0471327686344,0.0468388793153,0.0118488889667,12.2,1.19648608323,2.25641729982,True
B3,30,max_depth_straddle,Max-Depth,20,0.223529411765,0.776470588235,0.764705882353,0.108967773201,0.705882352941,0.882352941176,0.725472100542,0.827469075929,0.166,0.834,0.84,0.0843800924389,0.79,0.89,0.794508901124,0.873491098876,0.942923208632,0.951153324288,0.038220310756,0.938571428571,0.966666666667,0.0725459799215,0.947274988693,0.947421981004,0.0283004666798,0.0543209876543,0.0493827160494,0.0260817127055,0.0426636758825,0.0425803276118,0.0153923586302,8.3,1.08093526755,1.53510227937,True
B3,30,shared_random_binary_head,Random,20,0.214705882353,0.785294117647,0.764705882353,0.103261333189,0.75,0.882352941176,0.736966326088,0.833621909206,0.174,0.826,0.84,0.0702177065689,0.8,0.88,0.79313710174,0.85886289826,0.86434128061,0.862878787879,0.0801081175567,0.744523809524,0.733333333333,0.164691301314,0.984158751696,0.984848484848,0.0124561862883,0.0586419753086,0.0555555555556,0.0262274003128,0.064573209093,0.0617644819798,0.0143201750831,5.45,1.63755273117,1.0078842782,True
B3,40,binary_uncertainty_repulsion,Binary,20,0.176470588235,0.823529411765,0.823529411765,0.0853501470718,0.75,0.882352941176,0.783584313345,0.863474510184,0.138,0.862,0.86,0.0628783286238,0.8,0.92,0.832572036352,0.891427963648,0.914369063772,0.912182593526,0.0544060032463,0.848333333333,0.861904761905,0.113186811627,0.980404794211,0.984848484848,0.0139233819842,0.0432098765432,0.0432098765432,0.0189995991127,0.0386906713873,0.038889023922,0.011309255717,16.8,1.70448325245,2.33070280538,True
B3,40,max_depth_straddle,Max-Depth,20,0.238235294118,0.761764705882,0.764705882353,0.0924681303292,0.705882352941,0.823529411765,0.718488288754,0.805041123011,0.182,0.818,0.82,0.0761991849659,0.79,0.85,0.782337683678,0.853662316322,0.930552594172,0.928736189184,0.0391125031824,0.913095238095,0.897619047619,0.0844500896349,0.948009950249,0.94696969697,0.0290559631787,0.058024691358,0.0617283950617,0.0230444939379,0.0422492393474,0.0438595682865,0.0148797533846,10.55,1.50350467767,1.46353886616,True
B3,40,shared_random_binary_head,Random,20,0.214705882353,0.785294117647,0.794117647059,0.0900737268589,0.705882352941,0.838235294118,0.743138315837,0.827449919457,0.174,0.826,0.84,0.0813310324667,0.79,0.88,0.787935905117,0.864064094883,0.892680752084,0.897727272727,0.0484910484681,0.814047619048,0.857142857143,0.101032679561,0.97131388512,0.984848484848,0.0306842806861,0.0567901234568,0.0493827160494,0.0263874876608,0.0544504605111,0.0515659662077,0.016289260098,7.45,2.13923252347,1.03309322034,True
B3,50,binary_uncertainty_repulsion,Binary,20,0.161764705882,0.838235294118,0.882352941176,0.0892613203922,0.808823529412,0.882352941176,0.796459710238,0.880010877997,0.12,0.88,0.88,0.0635775531391,0.84,0.92,0.850244789206,0.909755210794,0.923540899399,0.929545454545,0.0470801787261,0.862142857143,0.866666666667,0.0944007677557,0.984938941655,0.984961555857,0.0146504242663,0.037037037037,0.037037037037,0.0196227015861,0.0351028492764,0.0342553012831,0.00794566841319,20.9,1.86095617754,2.31903331385,True
B3,50,max_depth_straddle,Max-Depth,20,0.217647058824,0.782352941176,0.764705882353,0.0811948648788,0.705882352941,0.823529411765,0.744352574686,0.820353307667,0.16,0.84,0.84,0.0622389284172,0.8,0.88,0.810871284861,0.869128715139,0.940584092524,0.942861988758,0.032887577717,0.927142857143,0.930952380952,0.0737565498314,0.954025327906,0.954545454545,0.0269875651063,0.0506172839506,0.0493827160494,0.0199872411352,0.038698873418,0.0370365888055,0.013396241338,12.75,1.74340863948,1.41501461134,True
B3,50,shared_random_binary_head,Random,20,0.226470588235,0.773529411765,0.794117647059,0.0837888962183,0.75,0.823529411765,0.734315001237,0.812743822293,0.17,0.83,0.84,0.0732695097065,0.8,0.88,0.795708813906,0.864291186094,0.892415842864,0.888636363636,0.0502771194336,0.810476190476,0.8,0.102651330337,0.974355495251,0.984848484848,0.0265253571566,0.0549382716049,0.0493827160494,0.0251660032189,0.0491252882811,0.0454643015935,0.0135269000491,9.4,2.45806941789,1.04282174167,True
B3,60,binary_uncertainty_repulsion,Binary,20,0.155882352941,0.844117647059,0.852941176471,0.0793228489716,0.823529411765,0.882352941176,0.806993410982,0.881241883136,0.114,0.886,0.88,0.0584357496923,0.87,0.92,0.858651227294,0.913348772706,0.931354752213,0.933333333333,0.0461686561051,0.879285714286,0.866666666667,0.0937385072718,0.98342379014,0.984848484848,0.0128689041535,0.0351851851852,0.037037037037,0.0180357252137,0.0292442617293,0.0288422919898,0.00932049288233,24.65,1.72520021721,2.27921975453,True
B3,60,max_depth_straddle,Max-Depth,20,0.208823529412,0.791176470588,0.794117647059,0.09047719462,0.705882352941,0.838235294118,0.748831840054,0.833521101123,0.15,0.85,0.84,0.0647261437459,0.8,0.88,0.819707232255,0.880292767745,0.953636040576,0.955740776636,0.0245932054094,0.954761904762,0.966666666667,0.0520151271983,0.952510176391,0.954545454545,0.0250517999532,0.0469135802469,0.0493827160494,0.0194584919914,0.0372619731192,0.035176418377,0.0107907361928,15.55,1.46808145479,1.43789596727,True
B3,60,shared_random_binary_head,Random,20,0.217647058824,0.782352941176,0.764705882353,0.106431325398,0.764705882353,0.838235294118,0.732541547596,0.832164334757,0.162,0.838,0.84,0.078378299897,0.84,0.88,0.801317826498,0.874682173502,0.891478968792,0.892424242424,0.058343953576,0.803333333333,0.8,0.118943312701,0.979624604251,0.984848484848,0.0242089172344,0.0518518518519,0.0493827160494,0.0258344871003,0.044592218745,0.0408470201767,0.0111459586188,10.85,2.60111312205,1.00291350088,True
B3,70,binary_uncertainty_repulsion,Binary,20,0.161764705882,0.838235294118,0.823529411765,0.0806886224763,0.808823529412,0.882352941176,0.800471856365,0.875998731871,0.12,0.88,0.88,0.0580381000088,0.84,0.92,0.852837333075,0.907162666925,0.927404535763,0.925757575758,0.0468358816954,0.872142857143,0.866666666667,0.095216476243,0.982666214383,0.984848484848,0.0122739471394,0.037037037037,0.037037037037,0.0179129938299,0.0285263921171,0.0277402335285,0.0100991181219,27.1,2.12503869934,2.14798447023,True
B3,70,max_depth_straddle,Max-Depth,20,0.205882352941,0.794117647059,0.794117647059,0.0864104379997,0.764705882353,0.823529411765,0.75367631721,0.834558976908,0.146,0.854,0.84,0.0639407620586,0.84,0.88,0.824074802199,0.883925197801,0.95591959036,0.956818181818,0.0239047981356,0.958571428571,0.966666666667,0.047041611744,0.953267752148,0.954545454545,0.0233592974078,0.0456790123457,0.0493827160494,0.0192512603972,0.0354298114253,0.0341027346371,0.0118635057884,17.2,1.47255595908,1.36314269016,True
B3,70,shared_random_binary_head,Random,20,0.2,0.8,0.823529411765,0.0840601461872,0.764705882353,0.838235294118,0.760658640579,0.839341359421,0.152,0.848,0.84,0.0616953465788,0.83,0.88,0.819125688992,0.876874311008,0.896202752471,0.914393939394,0.0556859524111,0.809761904762,0.857142857143,0.117188236213,0.982643600181,0.984848484848,0.0149343647107,0.0481481481481,0.0493827160494,0.0183116012027,0.0415922670173,0.0392928002824,0.00949145061903,12.15,2.27746396355,0.962775319362,True
B3,80,binary_uncertainty_repulsion,Binary,20,0.167647058824,0.832352941176,0.823529411765,0.0859349260181,0.764705882353,0.882352941176,0.792134157785,0.872571724568,0.122,0.878,0.88,0.0615244923416,0.84,0.92,0.849205651236,0.906794348764,0.925624475027,0.929545454545,0.0481529251826,0.868571428571,0.866666666667,0.0971290962783,0.982677521483,0.984848484848,0.0131967198974,0.0376543209877,0.037037037037,0.0189890408462,0.0283258496716,0.0267785925059,0.00993470495649,29,1.74717817607,2.01103448276,True
B3,80,max_depth_straddle,Max-Depth,20,0.211764705882,0.788235294118,0.794117647059,0.0903261054059,0.705882352941,0.823529411765,0.745961375512,0.830509212723,0.15,0.85,0.84,0.0660143525064,0.8,0.88,0.819104331997,0.880895668003,0.953874135814,0.956818181818,0.0277579227555,0.955238095238,0.966666666667,0.0554984788555,0.952510176391,0.954545454545,0.0235605049413,0.0469135802469,0.0493827160494,0.0198664712009,0.0361292089986,0.0356392883198,0.0125516247104,18.3,1.78000591365,1.26932349503,True
B3,80,shared_random_binary_head,Random,20,0.214705882353,0.785294117647,0.823529411765,0.0859349260181,0.705882352941,0.838235294118,0.745075334256,0.825512901038,0.156,0.844,0.84,0.0564194815178,0.8,0.88,0.817594869847,0.870405130153,0.896874717322,0.908394714738,0.0492705415098,0.813333333333,0.857142857143,0.105461324388,0.980416101312,0.984848484848,0.0176818124963,0.0493827160494,0.0493827160494,0.0169937580645,0.0395500670882,0.036220648405,0.00954723409756,13.95,2.37254027751,0.967467124489,True
