prediction_model,budget,mean_accuracy
gpc4_assisted_product,16,0.7317647058823529
gpc4_assisted_product,17,0.7529411764705882
gpc4_assisted_product,18,0.7517647058823529
gpc4_assisted_product,19,0.7464705882352941
gpc4_assisted_product,20,0.7370588235294118
gpc4_assisted_product,21,0.743529411764706
gpc4_assisted_product,22,0.7458823529411766
gpc4_assisted_product,23,0.7535294117647058
gpc4_assisted_product,24,0.7523529411764706
gpc4_assisted_product,25,0.7617647058823529
gpc4_assisted_product,26,0.77
gpc4_assisted_product,27,0.7711764705882352
gpc4_assisted_product,28,0.7747058823529411
gpc4_assisted_product,29,0.7694117647058824
gpc4_assisted_product,30,0.7788235294117647
gpc4_assisted_product,31,0.7829411764705883
gpc4_assisted_product,32,0.78
gpc4_assisted_product,33,0.7847058823529411
gpc4_assisted_product,34,0.7911764705882353
gpc4_assisted_product,35,0.7917647058823529
gpc4_assisted_product,36,0.7870588235294117
gpc4_assisted_product,37,0.7923529411764706
gpc4_assisted_product,38,0.79
gpc4_assisted_product,39,0.7952941176470588
gpc4_assisted_product,40,0.7952941176470588
gpc4_assisted_product,41,0.7982352941176472
gpc4_assisted_product,42,0.8041176470588235
gpc4_assisted_product,43,0.8035294117647058
gpc4_assisted_product,44,0.8023529411764706
gpc4_assisted_product,45,0.8111764705882352
gpc4_assisted_product,46,0.8035294117647058
gpc4_assisted_product,47,0.8094117647058823
gpc4_assisted_product,48,0.8088235294117646
gpc4_assisted_product,49,0.8105882352941177
gpc4_assisted_product,50,0.8152941176470588
gpc4_assisted_product,51,0.8158823529411765
gpc4_assisted_product,52,0.8158823529411765
gpc4_assisted_product,53,0.8176470588235294
gpc4_assisted_product,54,0.8170588235294117
gpc4_assisted_product,55,0.8223529411764706
gpc4_assisted_product,56,0.8270588235294117
gpc4_assisted_product,57,0.8323529411764706
gpc4_assisted_product,58,0.8388235294117646
gpc4_assisted_product,59,0.8441176470588235
gpc4_assisted_product,60,0.8447058823529412
gpc4_assisted_product,61,0.8458823529411764
gpc4_assisted_product,62,0.8458823529411764
gpc4_assisted_product,63,0.8447058823529412
gpc4_assisted_product,64,0.8429411764705883
gpc4_assisted_product,65,0.8417647058823529
gpc4_assisted_product,66,0.8411764705882352
gpc4_assisted_product,67,0.8394117647058823
gpc4_assisted_product,68,0.8394117647058823
gpc4_assisted_product,69,0.8388235294117646
gpc4_assisted_product,70,0.8376470588235294
gpc4_assisted_product,71,0.8364705882352941
gpc4_assisted_product,72,0.8347058823529412
gpc4_assisted_product,73,0.8347058823529412
gpc4_assisted_product,74,0.8341176470588235
gpc4_assisted_product,75,0.8323529411764706
gpc4_assisted_product,76,0.8335294117647059
gpc4_assisted_product,77,0.8329411764705883
gpc4_assisted_product,78,0.8335294117647059
gpc4_assisted_product,79,0.8341176470588235
gpc4_assisted_product,80,0.8347058823529412
gpc4_h_acquisition,16,0.7317647058823529
gpc4_h_acquisition,17,0.7541176470588234
gpc4_h_acquisition,18,0.7458823529411766
gpc4_h_acquisition,19,0.7505882352941177
gpc4_h_acquisition,20,0.7488235294117647
gpc4_h_acquisition,21,0.7494117647058823
gpc4_h_acquisition,22,0.7458823529411766
gpc4_h_acquisition,23,0.7488235294117647
gpc4_h_acquisition,24,0.7535294117647059
gpc4_h_acquisition,25,0.7611764705882352
gpc4_h_acquisition,26,0.7717647058823529
gpc4_h_acquisition,27,0.7588235294117647
gpc4_h_acquisition,28,0.7688235294117647
gpc4_h_acquisition,29,0.7741176470588235
gpc4_h_acquisition,30,0.7770588235294117
gpc4_h_acquisition,31,0.7670588235294118
gpc4_h_acquisition,32,0.7694117647058824
gpc4_h_acquisition,33,0.7747058823529411
gpc4_h_acquisition,34,0.7776470588235295
gpc4_h_acquisition,35,0.7894117647058824
gpc4_h_acquisition,36,0.7929411764705883
gpc4_h_acquisition,37,0.7935294117647058
gpc4_h_acquisition,38,0.7952941176470588
gpc4_h_acquisition,39,0.8
gpc4_h_acquisition,40,0.8047058823529412
gpc4_h_acquisition,41,0.81
gpc4_h_acquisition,42,0.8129411764705883
gpc4_h_acquisition,43,0.81
gpc4_h_acquisition,44,0.8117647058823529
gpc4_h_acquisition,45,0.8105882352941177
gpc4_h_acquisition,46,0.8111764705882352
gpc4_h_acquisition,47,0.8135294117647058
gpc4_h_acquisition,48,0.8135294117647058
gpc4_h_acquisition,49,0.8105882352941177
gpc4_h_acquisition,50,0.8117647058823529
gpc4_h_acquisition,51,0.8135294117647058
gpc4_h_acquisition,52,0.8176470588235294
gpc4_h_acquisition,53,0.8194117647058823
gpc4_h_acquisition,54,0.8164705882352941
gpc4_h_acquisition,55,0.8158823529411765
gpc4_h_acquisition,56,0.8176470588235294
gpc4_h_acquisition,57,0.8170588235294117
gpc4_h_acquisition,58,0.8194117647058823
gpc4_h_acquisition,59,0.82
gpc4_h_acquisition,60,0.8170588235294117
gpc4_h_acquisition,61,0.8158823529411765
gpc4_h_acquisition,62,0.8141176470588235
gpc4_h_acquisition,63,0.8147058823529412
gpc4_h_acquisition,64,0.8158823529411764
gpc4_h_acquisition,65,0.8182352941176471
gpc4_h_acquisition,66,0.82
gpc4_h_acquisition,67,0.8205882352941177
gpc4_h_acquisition,68,0.8247058823529412
gpc4_h_acquisition,69,0.8258823529411764
gpc4_h_acquisition,70,0.8288235294117646
gpc4_h_acquisition,71,0.8294117647058823
gpc4_h_acquisition,72,0.8317647058823529
gpc4_h_acquisition,73,0.8347058823529412
gpc4_h_acquisition,74,0.8347058823529412
gpc4_h_acquisition,75,0.8335294117647059
gpc4_h_acquisition,76,0.8347058823529412
gpc4_h_acquisition,77,0.8364705882352941
gpc4_h_acquisition,78,0.8352941176470589
gpc4_h_acquisition,79,0.8358823529411764
gpc4_h_acquisition,80,0.8364705882352941
gpc5_margin,16,0.7470588235294118
gpc5_margin,17,0.756470588235294
gpc5_margin,18,0.7629411764705882
gpc5_margin,19,0.766470588235294
gpc5_margin,20,0.7647058823529411
gpc5_margin,21,0.7705882352941177
gpc5_margin,22,0.7888235294117646
gpc5_margin,23,0.7823529411764706
gpc5_margin,24,0.7847058823529411
gpc5_margin,25,0.7911764705882353
gpc5_margin,26,0.79
gpc5_margin,27,0.7976470588235294
gpc5_margin,28,0.8017647058823529
gpc5_margin,29,0.8035294117647058
gpc5_margin,30,0.8029411764705883
gpc5_margin,31,0.8011764705882353
gpc5_margin,32,0.8094117647058823
gpc5_margin,33,0.8152941176470588
gpc5_margin,34,0.8182352941176471
gpc5_margin,35,0.8058823529411765
gpc5_margin,36,0.8135294117647058
gpc5_margin,37,0.8129411764705883
gpc5_margin,38,0.8141176470588235
gpc5_margin,39,0.8170588235294117
gpc5_margin,40,0.8170588235294117
gpc5_margin,41,0.8152941176470588
gpc5_margin,42,0.8205882352941177
gpc5_margin,43,0.8205882352941177
gpc5_margin,44,0.82
gpc5_margin,45,0.8247058823529412
gpc5_margin,46,0.82
gpc5_margin,47,0.8264705882352941
gpc5_margin,48,0.8241176470588235
gpc5_margin,49,0.8241176470588235
gpc5_margin,50,0.8235294117647058
gpc5_margin,51,0.8282352941176471
gpc5_margin,52,0.8288235294117646
gpc5_margin,53,0.8282352941176471
gpc5_margin,54,0.83
gpc5_margin,55,0.8235294117647058
gpc5_margin,56,0.8294117647058823
gpc5_margin,57,0.8247058823529412
gpc5_margin,58,0.8276470588235294
gpc5_margin,59,0.8252941176470588
gpc5_margin,60,0.8252941176470588
gpc5_margin,61,0.8276470588235294
gpc5_margin,62,0.83
gpc5_margin,63,0.8305882352941176
gpc5_margin,64,0.8311764705882352
gpc5_margin,65,0.8311764705882352
gpc5_margin,66,0.8335294117647059
gpc5_margin,67,0.8347058823529412
gpc5_margin,68,0.8364705882352941
gpc5_margin,69,0.8364705882352941
gpc5_margin,70,0.8358823529411764
gpc5_margin,71,0.8358823529411764
gpc5_margin,72,0.8323529411764706
gpc5_margin,73,0.8317647058823529
gpc5_margin,74,0.8317647058823529
gpc5_margin,75,0.8329411764705883
gpc5_margin,76,0.8329411764705883
gpc5_margin,77,0.8311764705882352
gpc5_margin,78,0.83
gpc5_margin,79,0.8305882352941176
gpc5_margin,80,0.8294117647058823
h_model_h_acquisition,16,0.786470588235294
h_model_h_acquisition,17,0.8011764705882353
h_model_h_acquisition,18,0.8058823529411764
h_model_h_acquisition,19,0.8111764705882352
h_model_h_acquisition,20,0.8111764705882352
h_model_h_acquisition,21,0.8117647058823529
h_model_h_acquisition,22,0.8188235294117646
h_model_h_acquisition,23,0.8164705882352941
h_model_h_acquisition,24,0.8211764705882352
h_model_h_acquisition,25,0.8235294117647058
h_model_h_acquisition,26,0.8258823529411764
h_model_h_acquisition,27,0.8288235294117646
h_model_h_acquisition,28,0.8276470588235294
h_model_h_acquisition,29,0.8294117647058823
h_model_h_acquisition,30,0.8323529411764706
h_model_h_acquisition,31,0.8347058823529412
h_model_h_acquisition,32,0.8329411764705883
h_model_h_acquisition,33,0.8335294117647059
h_model_h_acquisition,34,0.8341176470588235
h_model_h_acquisition,35,0.8341176470588235
h_model_h_acquisition,36,0.8358823529411764
h_model_h_acquisition,37,0.838235294117647
h_model_h_acquisition,38,0.8364705882352941
h_model_h_acquisition,39,0.8358823529411764
h_model_h_acquisition,40,0.8341176470588235
h_model_h_acquisition,41,0.8341176470588235
h_model_h_acquisition,42,0.8352941176470589
h_model_h_acquisition,43,0.8364705882352941
h_model_h_acquisition,44,0.8358823529411764
