repeat,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,brier_score,log_loss,false_negative,false_positive,true_negative,true_positive,row_count
1,gpc_1d_h,full81,0.9889833305826043,0.9351232475448129,0.9580246913580247,0.9209646806403697,0.863013698630137,0.9789156626506024,0.029580130947982113,0.10683945592039672,10,7,325,63,405
1,gpc_1d_h,B1_q30,0.9397058823529412,0.8313417672020559,0.864,0.8338235294117646,0.75,0.9176470588235294,0.09061210228384962,0.29366271033266755,10,7,78,30,125
1,gpc_1d_h,B1_q20,0.9038915094339622,0.7965655413851125,0.8235294117647058,0.8027712264150944,0.71875,0.8867924528301887,0.12049618952917186,0.38820008525166494,9,6,47,23,85
1,gpc_4d,full81,0.9929856411949167,0.9682858815409099,0.9555555555555556,0.9034287836276613,0.821917808219178,0.9849397590361446,0.02672613853355755,0.09535417222680968,13,5,327,60,405
1,gpc_4d,B1_q30,0.953235294117647,0.8893079222569732,0.856,0.8080882352941177,0.675,0.9411764705882353,0.08324511955382337,0.27526524537970604,13,5,80,27,125
1,gpc_4d,B1_q20,0.9233490566037735,0.8568483936764204,0.8235294117647058,0.7965801886792453,0.6875,0.9056603773584906,0.10847389735982486,0.35267977691130736,10,5,48,22,85
1,gpc_5d_h_augmented,full81,0.9926555537217362,0.966399131436387,0.9580246913580247,0.9102780986961545,0.8356164383561644,0.9849397590361446,0.027079247205051168,0.09945463081807648,12,5,327,61,405
1,gpc_5d_h_augmented,B1_q30,0.9520588235294117,0.8801063626842843,0.864,0.8205882352941176,0.7,0.9411764705882353,0.08412192534641555,0.27848811268160206,12,5,80,28,125
1,gpc_5d_h_augmented,B1_q20,0.9209905660377358,0.8470371901164514,0.8352941176470589,0.8122051886792453,0.71875,0.9056603773584906,0.11002625139795677,0.3572510613135575,9,5,48,23,85
1,log_areal_energy,full81,0.9629476811355009,0.8474679688579136,0.8987654320987655,0.8260439016339329,0.7123287671232876,0.9397590361445783,0.06297133308254872,0.18705212168179972,21,20,312,52,405
1,log_areal_energy,B1_q30,0.8241176470588236,0.6034956638135435,0.72,0.6551470588235294,0.475,0.8352941176470589,0.17331302726032627,0.4878461910194762,21,14,71,19,125
