run_id,repeat,fold,training_rows,test_rows,initial_rows,q20_rows,q30_rows,group_disjoint
w85__r01_f01,1,1,324,81,16,17,25,True
w85__r01_f02,1,2,324,81,16,17,25,True
w85__r01_f03,1,3,324,81,16,17,25,True
w85__r01_f04,1,4,324,81,16,17,25,True
w85__r01_f05,1,5,324,81,16,17,25,True
w85__r02_f01,2,1,324,81,16,17,25,True
w85__r02_f02,2,2,324,81,16,17,25,True
w85__r02_f03,2,3,324,81,16,17,25,True
w85__r02_f04,2,4,324,81,16,17,25,True
w85__r02_f05,2,5,324,81,16,17,25,True
w85__r03_f01,3,1,324,81,16,17,25,True
w85__r03_f02,3,2,324,81,16,17,25,True
w85__r03_f03,3,3,324,81,16,17,25,True
w85__r03_f04,3,4,324,81,16,17,25,True
w85__r03_f05,3,5,324,81,16,17,25,True
w85__r04_f01,4,1,324,81,16,17,25,True
w85__r04_f02,4,2,324,81,16,17,25,True
w85__r04_f03,4,3,324,81,16,17,25,True
w85__r04_f04,4,4,324,81,16,17,25,True
w85__r04_f05,4,5,324,81,16,17,25,True
w85__r05_f01,5,1,324,81,16,17,25,True
w85__r05_f02,5,2,324,81,16,17,25,True
w85__r05_f03,5,3,324,81,16,17,25,True
w85__r05_f04,5,4,324,81,16,17,25,True
w85__r05_f05,5,5,324,81,16,17,25,True
w85__r06_f01,6,1,324,81,16,17,25,True
w85__r06_f02,6,2,324,81,16,17,25,True
w85__r06_f03,6,3,324,81,16,17,25,True
w85__r06_f04,6,4,324,81,16,17,25,True
w85__r06_f05,6,5,324,81,16,17,25,True
w85__r07_f01,7,1,324,81,16,17,25,True
w85__r07_f02,7,2,324,81,16,17,25,True
w85__r07_f03,7,3,324,81,16,17,25,True
w85__r07_f04,7,4,324,81,16,17,25,True
w85__r07_f05,7,5,324,81,16,17,25,True
w85__r08_f01,8,1,324,81,16,17,25,True
w85__r08_f02,8,2,324,81,16,17,25,True
w85__r08_f03,8,3,324,81,16,17,25,True
w85__r08_f04,8,4,324,81,16,17,25,True
w85__r08_f05,8,5,324,81,16,17,25,True
w85__r09_f01,9,1,324,81,16,17,25,True
w85__r09_f02,9,2,324,81,16,17,25,True
w85__r09_f03,9,3,324,81,16,17,25,True
w85__r09_f04,9,4,324,81,16,17,25,True
w85__r09_f05,9,5,324,81,16,17,25,True
w85__r10_f01,10,1,324,81,16,17,25,True
w85__r10_f02,10,2,324,81,16,17,25,True
w85__r10_f03,10,3,324,81,16,17,25,True
w85__r10_f04,10,4,324,81,16,17,25,True
w85__r10_f05,10,5,324,81,16,17,25,True
w85__r11_f01,11,1,324,81,16,17,25,True
w85__r11_f02,11,2,324,81,16,17,25,True
w85__r11_f03,11,3,324,81,16,17,25,True
w85__r11_f04,11,4,324,81,16,17,25,True
w85__r11_f05,11,5,324,81,16,17,25,True
w85__r12_f01,12,1,324,81,16,17,25,True
w85__r12_f02,12,2,324,81,16,17,25,True
w85__r12_f03,12,3,324,81,16,17,25,True
w85__r12_f04,12,4,324,81,16,17,25,True
w85__r12_f05,12,5,324,81,16,17,25,True
w85__r13_f01,13,1,324,81,16,17,25,True
w85__r13_f02,13,2,324,81,16,17,25,True
w85__r13_f03,13,3,324,81,16,17,25,True
w85__r13_f04,13,4,324,81,16,17,25,True
w85__r13_f05,13,5,324,81,16,17,25,True
w85__r14_f01,14,1,324,81,16,17,25,True
w85__r14_f02,14,2,324,81,16,17,25,True
w85__r14_f03,14,3,324,81,16,17,25,True
w85__r14_f04,14,4,324,81,16,17,25,True
w85__r14_f05,14,5,324,81,16,17,25,True
w85__r15_f01,15,1,324,81,16,17,25,True
w85__r15_f02,15,2,324,81,16,17,25,True
w85__r15_f03,15,3,324,81,16,17,25,True
w85__r15_f04,15,4,324,81,16,17,25,True
w85__r15_f05,15,5,324,81,16,17,25,True
w85__r16_f01,16,1,324,81,16,17,25,True
w85__r16_f02,16,2,324,81,16,17,25,True
w85__r16_f03,16,3,324,81,16,17,25,True
w85__r16_f04,16,4,324,81,16,17,25,True
w85__r16_f05,16,5,324,81,16,17,25,True
w85__r17_f01,17,1,324,81,16,17,25,True
w85__r17_f02,17,2,324,81,16,17,25,True
w85__r17_f03,17,3,324,81,16,17,25,True
w85__r17_f04,17,4,324,81,16,17,25,True
w85__r17_f05,17,5,324,81,16,17,25,True
w85__r18_f01,18,1,324,81,16,17,25,True
w85__r18_f02,18,2,324,81,16,17,25,True
w85__r18_f03,18,3,324,81,16,17,25,True
w85__r18_f04,18,4,324,81,16,17,25,True
w85__r18_f05,18,5,324,81,16,17,25,True
w85__r19_f01,19,1,324,81,16,17,25,True
w85__r19_f02,19,2,324,81,16,17,25,True
w85__r19_f03,19,3,324,81,16,17,25,True
w85__r19_f04,19,4,324,81,16,17,25,True
w85__r19_f05,19,5,324,81,16,17,25,True
w85__r20_f01,20,1,324,81,16,17,25,True
w85__r20_f02,20,2,324,81,16,17,25,True
w85__r20_f03,20,3,324,81,16,17,25,True
w85__r20_f04,20,4,324,81,16,17,25,True
w85__r20_f05,20,5,324,81,16,17,25,True
