model,comparator,metric,model_mean,comparator_mean,difference,ci_lower,ci_upper,repeat_blocks_positive,repeat_blocks,bootstrap_method
gpc4_assisted_product,frozen_4d_margin,B1_q20_AULC_16_80,0.8054733455882352,0.8135202205882354,-0.00804687500000012,-0.015326976102941193,-0.00031686580882352757,4,20,repeat blocks resampled; all five folds retained
gpc4_assisted_product,frozen_4d_margin,B1_q30_AULC_16_80,0.8545968750000001,0.8661156250000001,-0.011518749999999911,-0.017137968749999996,-0.0061152343750000004,4,20,repeat blocks resampled; all five folds retained
gpc4_assisted_product,matched_random_mean_of_30_paths,B1_q20_AULC_16_80,0.8054733455882352,0.7762204350490195,0.02925291053921575,0.02172897518382344,0.03669336320465694,19,20,repeat blocks resampled; five folds retained; 30 Random continuations resampled within fold
gpc4_assisted_product,matched_random_mean_of_30_paths,B1_q30_AULC_16_80,0.8545968750000001,0.8305659375000001,0.02403093750000007,0.01795598697916676,0.030658359374999725,20,20,repeat blocks resampled; five folds retained; 30 Random continuations resampled within fold
gpc4_h_acquisition,frozen_4d_margin,B1_q20_AULC_16_80,0.800827205882353,0.8135202205882354,-0.012693014705882355,-0.021755859375000002,-0.0029548483455882494,6,20,repeat blocks resampled; all five folds retained
gpc4_h_acquisition,frozen_4d_margin,B1_q30_AULC_16_80,0.8486312499999998,0.8661156250000001,-0.01748437500000022,-0.025469062500000007,-0.010121562500000006,4,20,repeat blocks resampled; all five folds retained
gpc4_h_acquisition,matched_random_mean_of_30_paths,B1_q20_AULC_16_80,0.800827205882353,0.7762204350490195,0.024606770833333513,0.01676843979779434,0.03199149433210796,18,20,repeat blocks resampled; five folds retained; 30 Random continuations resampled within fold
gpc4_h_acquisition,matched_random_mean_of_30_paths,B1_q30_AULC_16_80,0.8486312499999998,0.8305659375000001,0.018065312499999764,0.01115340104166695,0.02479507812500016,17,20,repeat blocks resampled; five folds retained; 30 Random continuations resampled within fold
gpc5_margin,frozen_4d_margin,B1_q20_AULC_16_80,0.8153860294117646,0.8135202205882354,0.0018658088235292691,-0.003221852022058842,0.006594669117647045,12,20,repeat blocks resampled; all five folds retained
gpc5_margin,frozen_4d_margin,B1_q30_AULC_16_80,0.8670281249999999,0.8661156250000001,0.0009124999999998717,-0.0028252343750000226,0.004481250000000003,11,20,repeat blocks resampled; all five folds retained
gpc5_margin,matched_random_mean_of_30_paths,B1_q20_AULC_16_80,0.8153860294117646,0.7762204350490195,0.03916559436274514,0.030355951286764788,0.04796278339460778,20,20,repeat blocks resampled; five folds retained; 30 Random continuations resampled within fold
gpc5_margin,matched_random_mean_of_30_paths,B1_q30_AULC_16_80,0.8670281249999999,0.8305659375000001,0.036462187499999854,0.029409638020833177,0.04484293750000003,20,20,repeat blocks resampled; five folds retained; 30 Random continuations resampled within fold
h_model_h_acquisition,frozen_4d_margin,B1_q20_AULC_16_80,0.8317371323529411,0.8135202205882354,0.018216911764705745,0.011566980698529376,0.024618566176470583,18,20,repeat blocks resampled; all five folds retained
h_model_h_acquisition,frozen_4d_margin,B1_q30_AULC_16_80,0.8721656249999998,0.8661156250000001,0.006049999999999778,0.001396562500000003,0.010687499999999996,14,20,repeat blocks resampled; all five folds retained
h_model_h_acquisition,matched_random_mean_of_30_paths,B1_q20_AULC_16_80,0.8317371323529411,0.7762204350490195,0.055516697303921614,0.045305453431372426,0.06554548483455883,20,20,repeat blocks resampled; five folds retained; 30 Random continuations resampled within fold
h_model_h_acquisition,matched_random_mean_of_30_paths,B1_q30_AULC_16_80,0.8721656249999998,0.8305659375000001,0.04159968749999976,0.03413319270833336,0.049521062500000004,20,20,repeat blocks resampled; five folds retained; 30 Random continuations resampled within fold
