population_row_index,experiment_name,truth,gpc_4d,log_h_logistic,h_prediction,gpc4_prediction,h_wrong_gpc4_correct,P,VX,LS,ST,LS_um,log_h
10,P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,0,0.006214044096839189,0.0003452122809765861,0,0,False,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,49.840839933400005,19.728199158127982
11,P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,0,0.017179328091026493,0.0009141468871918003,0,0,False,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,53.645285820699996,19.881064272586734
12,P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,0,0.20291229038416816,0.3891790325142727,0,0,False,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,45.5514058242,20.62458540354386
13,P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,0,0.0072224820588189685,0.0007868600223930077,0,0,False,129.716882801,0.574107735504,5.55330779174e-05,369.509713723,55.5330779174,19.84062092917375
14,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,0,0.0018867666887217639,0.00021895324060453855,0,0,False,131.192514944,0.432823544687,6.72236683266e-05,324.578264519,67.22366832659999,19.706606147998375
15,P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,0,0.002490911271462437,2.6640862307209845e-05,0,0,False,132.334528879,0.441351904611,8.05471929698e-05,380.80221881,80.5471929698,19.43429034824653
16,P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,0,0.025726525131062772,0.002134898425387224,0,0,False,132.644034819,0.797235702485,4.6520297442e-05,303.62522115,46.520297442,19.96440431836706
17,P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,0,0.000815501113100936,2.649255156745687e-05,0,0,False,140.236446589,0.550532928497,7.91865165046e-05,370.758962256,79.18651650460001,19.407320936404485
18,P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,0,0.0014156859379397702,8.943945197103497e-07,0,0,False,143.707582907,0.952433280409,8.80948922839e-05,329.530804101,88.09489228390001,18.997792175902806
19,P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,0,0.0828938510701505,0.02459521959926424,0,0,False,144.087720513,0.415546267467,5.02923295381e-05,327.07537462,50.2923295381,20.255989923062774
20,P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,0,0.004584825852236918,0.000865882305145545,0,0,False,148.299467422,0.674162518859,5.7557139752e-05,331.520012414,57.557139752000005,19.8404742466899
21,P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,0,0.002098526322481575,3.634821056186566e-05,0,0,False,150.071418192,0.423845414489,8.67749479825e-05,322.128190627,86.7749479825,19.468593434919327
22,P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,0,0.0018876821163757995,1.5119402954291423e-05,0,0,False,155.252053768,0.916931554055,7.35634948929e-05,366.816583574,73.5634948929,19.364453647708604
23,P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,0,0.02480516417252261,0.004066087946804601,0,0,False,155.610380822,0.863747905944,4.82199969556e-05,303.817651114,48.219996955599996,20.030197610973932
24,P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,0,0.0005692910440757259,4.010892149425151e-05,0,0,False,157.183722649,0.714259673467,7.38607203139e-05,347.368293375,73.8607203139,19.49566377060797
25,P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,0,0.12312722664713079,0.01790891043613557,0,0,False,160.605564338,0.585171267024,4.89218084001e-05,323.833105745,48.921808400100005,20.234807725350827
26,P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,0,0.0016355682274138417,0.00010382286305486829,0,0,False,162.142815649,0.926926325143,6.49234891537e-05,377.454931887,64.92348915369999,19.589869728553882
27,P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,0,0.026041992641444266,0.005020158335300597,0,0,False,163.562272254,0.729793018519,5.10150522361e-05,318.261957537,51.0150522361,20.07977568889144
28,P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,0,0.005548184064082307,0.000545313268481794,0,0,False,164.187091551,0.507792014735,6.92164167976e-05,301.020288893,69.21641679759999,19.807256977046084
29,P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,0,0.0066610554430099,0.0017234094296130317,0,0,False,164.607131174,0.867199563125,5.32762751968e-05,314.058214573,53.2762751968,19.934833853824976
30,P-166p111836501_VX-0p454755470987_LS-7p13150844087e-05_ST-303p391516497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06081639712e-05_H-0e4c2fc094,0,0.0077602267844270045,0.0006770079513712098,0,0,False,166.111836501,0.454755470987,7.13150844087e-05,303.391516497,71.3150844087,19.82926302640283
31,P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,0,0.0011194119364802192,0.0001645905351184064,0,0,False,167.350234557,0.509305540745,7.79284260895e-05,367.465417979,77.92842608950001,19.647022062424472
32,P-168p279672268_VX-0p662944494492_LS-8p51138696034e-05_ST-361p222757169_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p27680920966e-06_H-1d842653b1,0,0.0025985965953282176,1.54260176385401e-05,0,0,False,168.279672268,0.662944494492,8.51138696034e-05,361.222757169,85.1138696034,19.388440150090464
33,P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,0,0.1994984923107836,0.14356058702366212,0,0,False,172.471893954,0.300060565388,5.45268436948e-05,394.546009672,54.5268436948,20.47734590867905
34,P-173p043282634_VX-0p866796851528_LS-6p96390683614e-05_ST-349p021338305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56545699781e-06_H-27614c4053,0,0.0005536344606809962,8.245807456378652e-05,0,0,False,173.043282634,0.866796851528,6.96390683614e-05,349.021338305,69.63906836139999,19.58329430426774
35,P-173p906668607_VX-0p677544388934_LS-8p62016404031e-05_ST-334p396108383_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p12000672104e-06_H-89021150a8,0,0.0021479999355392466,2.0312590342669834e-05,0,0,False,173.906668607,0.677544388934,8.62016404031e-05,334.396108383,86.2016404031,19.391390898233666
36,P-177p821134596_VX-0p63969291749_LS-8p76195222961e-05_ST-320p228793407_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5413068851e-06_H-0e4c2fc094,0,0.0027229201225225097,2.252043465872034e-05,0,0,False,177.821134596,0.63969291749,8.76195222961e-05,320.228793407,87.6195222961,19.417921791743517
37,P-185p872045369_VX-0p416268682161_LS-7p15564692144e-05_ST-371p982346013_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p15889587897e-05_H-bc28d74e69,0,0.004883233009962851,0.0022283761518177353,0,0,False,185.872045369,0.416268682161,7.15564692144e-05,371.982346013,71.55646921440001,19.98080614830166
38,P-187p255870651_VX-0p828194463092_LS-4p64611349328e-05_ST-375p783913497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p82486459159e-06_H-bc28d74e69,0,0.060737003597722605,0.02928079757380832,0,0,False,187.255870651,0.828194463092,4.64611349328e-05,375.783913497,46.4611349328,20.292071224654542
39,P-198p376734591_VX-0p636800402216_LS-8p40585875992e-05_ST-361p411435367_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5755614887e-06_H-1605f46060,0,0.0026984643727928415,7.551347867918397e-05,0,0,False,198.376734591,0.636800402216,8.40585875992e-05,361.411435367,84.0585875992,19.59181222545722
40,P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,0,0.1259844112943597,0.05477494476315038,0,0,False,199.601335125,0.449852506485,5.7030843283e-05,364.706449651,57.030843283,20.353617298886796
41,P-203p030488295_VX-0p654564663741_LS-6p39602473907e-05_ST-333p568221635_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p36996796534e-06_H-0e4c2fc094,0,0.007328230298980998,0.0031312370828793295,0,0,False,203.030488295,0.654564663741,6.39602473907e-05,333.568221635,63.9602473907,20.01112180948569
42,P-203p317554156_VX-0p724937635215_LS-5p40301996917e-05_ST-325p306920736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p65453187788e-06_H-dfd65b549a,0,0.038620456427162254,0.016334347928012062,0,0,False,203.317554156,0.724937635215,5.40301996917e-05,325.306920736,54.0301996917,20.214555008347787
43,P-204p071587815_VX-0p957219619336_LS-8p8582220221e-05_ST-334p090301355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03972182096e-06_H-676863bc48,0,0.005937691612484741,1.2414421148542615e-05,0,0,False,204.071587815,0.957219619336,8.8582220221e-05,334.090301355,88.582220221,19.337701159028157
44,P-207p432942583_VX-0p674802143379_LS-5p74396795379e-05_ST-382p34582068_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p14894084192e-06_H-676863bc48,0,0.030645031930413326,0.013113783811413796,0,0,False,207.432942583,0.674802143379,5.74396795379e-05,382.34582068,57.4396795379,20.17863881363804
45,P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,1,0.8239020474392162,0.9445097435661992,1,1,False,208.096600196,0.256636148953,4.52492384214e-05,395.602757306,45.2492384214,21.02303745357591
46,P-209p47686991_VX-0p866693950214_LS-6p90699464413e-05_ST-369p570871734_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56611777644e-06_H-b021dd2b47,0,0.0015561337671897491,0.00046543633762432206,0,0,False,209.47686991,0.866693950214,6.90699464413e-05,369.570871734,69.0699464413,19.786734284104593
47,P-210p211145159_VX-0p921242046338_LS-8p23126060485e-05_ST-311p238003519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p23653975868e-06_H-0e4c2fc094,0,0.0038909793445384365,3.399821171162192e-05,0,0,False,210.211145159,0.921242046338,8.23126060485e-05,311.238003519,82.31260604849999,19.496608148406963
48,P-210p302841339_VX-0p779412575788_LS-5p86430912284e-05_ST-304p177226769_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p18943131388e-06_H-c15424829d,0,0.01499048688270932,0.005894851225662235,0,0,False,210.302841339,0.779412575788,5.86430912284e-05,304.177226769,58.643091228399996,20.089217148628133
49,P-210p331349445_VX-0p877062157481_LS-5p88084341536e-05_ST-346p930868597_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p50031780743e-06_H-0e4c2fc094,0,0.003320627192891834,0.0036053102314694517,0,0,False,210.331349445,0.877062157481,5.88084341536e-05,346.930868597,58.808434153600004,20.026110761752552
50,P-211p964201781_VX-0p31026524833_LS-8p22948660567e-05_ST-308p041416816_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p5548375556e-05_H-22f5435fc5,0,0.013745539506635396,0.004352165215037741,0,0,False,211.964201781,0.31026524833,8.22948660567e-05,308.041416816,82.2948660567,20.04938400428353
51,P-212p474685749_VX-0p445530901525_LS-8p01654967217e-05_ST-390p176194232_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p08278024858e-05_H-4e23685f04,0,0.009610601260163776,0.001527914565990583,0,0,False,212.474685749,0.445530901525,8.01654967217e-05,390.176194232,80.1654967217,19.910193217425284
52,P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,1,0.6672049304623414,0.7085070182383862,1,1,False,212.944274192,0.351323873231,4.80439392259e-05,351.894554175,48.043939225900004,20.799145738428294
53,P-213p315910834_VX-0p426447159191_LS-8p60684535809e-05_ST-346p722503996_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13123525366e-05_H-6aeda8a35c,0,0.004620758132534775,0.0007027598828239818,0,0,False,213.315910834,0.426447159191,8.60684535809e-05,346.722503996,86.0684535809,19.829459032955192
54,P-217p682945702_VX-0p631899079757_LS-7p17459883069e-05_ST-324p134516573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p63432129838e-06_H-7c2e16b959,0,0.004250160576799544,0.0015975860591451567,0,0,False,217.682945702,0.631899079757,7.17459883069e-05,324.134516573,71.74598830689999,19.926120342879205
55,P-222p079289377_VX-0p741891960581_LS-8p7279944479e-05_ST-335p366959171_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p50245704137e-06_H-0f2c16c7e5,0,0.0024906681508525706,8.777071023317614e-05,0,0,False,222.079289377,0.741891960581,8.7279944479e-05,335.366959171,87.27994447900001,19.571895082360218
56,P-225p007853492_VX-0p825221323097_LS-8p70957490335e-05_ST-338p940755161_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p84585064393e-06_H-c2c7cd9590,0,0.004971378622974499,5.495113845739977e-05,0,0,False,225.007853492,0.825221323097,8.70957490335e-05,338.940755161,87.0957490335,19.5349408564302
57,P-227p095146149_VX-0p485569900572_LS-4p61845747353e-05_ST-309p475761642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p93496630935e-06_H-c5f6eebf67,1,0.8521008193873826,0.6429766020906827,1,1,False,227.095146149,0.485569900572,4.61845747353e-05,309.475761642,46.1845747353,20.760882131994514
58,P-230p324353521_VX-0p227660683076_LS-8p68191306555e-05_ST-386p564919231_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p11899592755e-05_H-0602c4a780,0,0.038604748117268176,0.017267794262554485,0,0,False,230.324353521,0.227660683076,8.68191306555e-05,386.564919231,86.8191306555,20.206963385500995
59,P-231p081894821_VX-0p850370876493_LS-5p5190986405e-05_ST-302p777484886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67296074733e-06_H-179e4a5e71,0,0.02859256415119944,0.019058112020984487,0,0,False,231.081894821,0.850370876493,5.5190986405e-05,302.777484886,55.190986405,20.230879882083443
60,P-233p106311211_VX-0p310101846937_LS-6p6327379673e-05_ST-336p786172861_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p55565684328e-05_H-add9572a86,0,0.068670299439475,0.13219147366252143,0,0,False,233.106311211,0.310101846937,6.6327379673e-05,336.786172861,66.32737967300001,20.46828353868822
61,P-233p11801175_VX-0p947725383123_LS-6p63357513021e-05_ST-310p062780041_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p09020934642e-06_H-1d842653b1,0,0.0039005444863050797,0.0013272035017952253,0,0,False,233.11801175,0.947725383123,6.63357513021e-05,310.062780041,66.3357513021,19.909562419185228
62,P-233p918914285_VX-0p55009860706_LS-6p76633993968e-05_ST-363p156889773_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76955611431e-06_H-9f078c62f6,0,0.017333186608323104,0.009907885003261072,0,0,False,233.918914285,0.55009860706,6.76633993968e-05,363.156889773,67.66339939679999,20.155251131086057
63,P-236p369825033_VX-0p606859942193_LS-6p45901770765e-05_ST-328p218563755_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p94931460723e-06_H-0e4c2fc094,0,0.030069448846069234,0.014934086331836665,0,0,False,236.369825033,0.606859942193,6.45901770765e-05,328.218563755,64.5901770765,20.18629858440819
64,P-238p364831187_VX-0p683428278389_LS-5p30391716287e-05_ST-377p396343519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p05870792234e-06_H-1d842653b1,0,0.2244053897080988,0.09624045757711977,0,0,False,238.364831187,0.683428278389,5.30391716287e-05,377.396343519,53.0391716287,20.43083892981622
65,P-240p986949999_VX-0p621810109213_LS-6p5255993688e-05_ST-389p31118835_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p75818940789e-06_H-377b770359,0,0.042359390680343265,0.012675897163191743,0,0,False,240.986949999,0.621810109213,6.5255993688e-05,389.31118835,65.255993688,20.178092032435877
66,P-241p526098173_VX-0p390351171714_LS-7p60309896784e-05_ST-322p459160533_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p23584119956e-05_H-0e4c2fc094,0,0.01896034423137962,0.01373965182591969,0,0,False,241.526098173,0.390351171714,7.60309896784e-05,322.459160533,76.0309896784,20.18388609937647
67,P-242p307622127_VX-0p748861384084_LS-6p09484851001e-05_ST-306p16946129_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p44194066558e-06_H-1d842653b1,0,0.029408122018622862,0.013689520765042604,0,0,False,242.307622127,0.748861384084,6.09484851001e-05,306.16946129,60.9484851001,20.19303111072375
68,P-243p042265843_VX-0p642372627708_LS-5p19118052277e-05_ST-314p809567363_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p50984770355e-06_H-ac0fcec187,1,0.3501695416233602,0.17321268840426823,0,0,False,243.042265843,0.642372627708,5.19118052277e-05,314.809567363,51.9118052277,20.513475223999947
69,P-250p363893775_VX-0p962117015407_LS-8p16921850603e-05_ST-395p976068127_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p01406848207e-06_H-0f2c16c7e5,0,0.009590430963800144,0.00015177693978490344,0,0,False,250.363893775,0.962117015407,8.16921850603e-05,395.976068127,81.6921850603,19.661053355833136
70,P-250p760727959_VX-0p576945875618_LS-7p55521762294e-05_ST-375p926323236_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p36147861851e-06_H-a88ac79600,0,0.010454941181347977,0.003934428114424612,0,0,False,250.760727959,0.576945875618,7.55521762294e-05,375.926323236,75.55217622939999,20.035533216152782
71,P-251p6022239_VX-0p703685008905_LS-6p09329521029e-05_ST-391p344263507_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p85551140349e-06_H-0e4c2fc094,0,0.05771314790563906,0.0260962606082068,0,0,False,251.6022239,0.703685008905,6.09329521029e-05,391.344263507,60.932952102899996,20.26216625678256
72,P-252p710023356_VX-0p579349155213_LS-8p35702038612e-05_ST-362p250166341_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p32679319476e-06_H-1d842653b1,0,0.006647489512414495,0.0009721683575409611,0,0,False,252.710023356,0.579349155213,8.35702038612e-05,362.250166341,83.5702038612,19.889902926321984
73,P-255p411547814_VX-0p885409904065_LS-6p83114026847e-05_ST-348p701073765_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p44846017745e-06_H-89021150a8,0,0.003523266086762078,0.0026108052904599112,0,0,False,255.411547814,0.885409904065,6.83114026847e-05,348.701073765,68.3114026847,19.99087922657056
74,P-255p66284442_VX-0p61175678634_LS-8p38548151022e-05_ST-392p782565278_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p88568383831e-06_H-1d842653b1,0,0.013936664377882834,0.0009120284967069882,0,0,False,255.66284442,0.61175678634,8.38548151022e-05,392.782565278,83.85481510219999,19.869205273399675
75,P-256p84590034_VX-0p686841697171_LS-8p87652204691e-05_ST-323p817390946_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p0236280396e-06_H-27614c4053,0,0.006725227289325631,0.0003580149328115688,0,0,False,256.84590034,0.686841697171,8.87652204691e-05,323.817390946,88.7652204691,19.730575484367332
76,P-258p098094226_VX-0p965907163653_LS-4p72561688305e-05_ST-378p378118453_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p99439364832e-06_H-985b11a49e,0,0.05213004908723633,0.18299864257900142,0,0,False,258.098094226,0.965907163653,4.72561688305e-05,378.378118453,47.256168830499995,20.510574532402405
77,P-260p125654688_VX-0p378472963537_LS-6p21275317791e-05_ST-359p026868384_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p27462753427e-05_H-0602c4a780,0,0.42555253168101415,0.27738393822385893,0,0,False,260.125654688,0.378472963537,6.21275317791e-05,359.026868384,62.127531779099996,20.57645210322566
78,P-261p886347681_VX-0p412060740992_LS-8p23359668267e-05_ST-378p690023731_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p17073045867e-05_H-0e4c2fc094,0,0.03276497084305561,0.007182320775484875,0,0,False,261.886347681,0.412060740992,8.23359668267e-05,378.690023731,82.3359668267,20.11825666477434
