population_row_index,experiment_name,truth,gpc_4d,log_h_logistic,h_prediction,gpc4_prediction,h_wrong_gpc4_correct,P,VX,LS,ST,LS_um,log_h
0,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,0.00512328940237694,0.00014181492429023857,0,0,False,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,52.939436669900005,19.63158094088341
1,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,0,0.002349261383739076,2.5133149796229676e-07,0,0,False,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,79.97596624090001,18.893203115557135
2,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,0,0.032769357384120214,0.00267258952299334,0,0,False,111.098510779,0.492021331775,4.80108469254e-05,345.911753718,48.010846925399996,19.981159287767515
3,P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,0,0.002351936387134401,1.3251821599150296e-06,0,0,False,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,82.8088886776,19.04999989622992
4,P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,0,0.004444369056585629,9.646609811364065e-05,0,0,False,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,58.169479874400004,19.613380183286644
5,P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,0,0.009169896517823873,0.0005033733169578396,0,0,False,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,66.1946140465,19.801624025695173
6,P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,0,0.0082155931792272,9.709260184320235e-05,0,0,False,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,55.986278120099996,19.6163894445236
7,P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,0,0.00130257992673819,8.46833766336201e-06,0,0,False,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,67.0931710444,19.27319543192164
8,P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,0,0.0020147895465129294,2.351350982733854e-06,0,0,False,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,82.9242579558,19.1313440555154
9,P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,0,0.0018209442441843749,7.557160722108315e-05,0,0,False,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,60.3748750968,19.5847504215337
