model,subset,repeat_blocks,mean_roc_auc,ci_lower_roc_auc,ci_upper_roc_auc,mean_pr_auc,ci_lower_pr_auc,ci_upper_pr_auc,mean_accuracy,ci_lower_accuracy,ci_upper_accuracy,mean_balanced_accuracy,ci_lower_balanced_accuracy,ci_upper_balanced_accuracy,mean_keyhole_recall,ci_lower_keyhole_recall,ci_upper_keyhole_recall,mean_conduction_recall,ci_lower_conduction_recall,ci_upper_conduction_recall,mean_brier_score,ci_lower_brier_score,ci_upper_brier_score,mean_log_loss,ci_lower_log_loss,ci_upper_log_loss
gpc_1d_h,B1_q20,20,0.9019987190372356,0.8998887568083593,0.90410197814707,0.8002795930445297,0.7947099797029191,0.8057756228730825,0.8352941176470589,0.8294117647058824,0.8405882352941176,0.8161751903945804,0.8107280888279529,0.8221011536616645,0.7307919967840509,0.7212283015845635,0.7409569699305676,0.9015583840051098,0.8945612499249014,0.9083913252448214,0.12334856330969683,0.12152315558060776,0.12526853132871824,0.3961475686074497,0.3906063431301965,0.40161273142629494
gpc_1d_h,B1_q30,20,0.9367782540039526,0.9359249768641283,0.937623926007996,0.8277757775588561,0.8229406453651087,0.8322516666170359,0.8744,0.8708,0.8780000000000001,0.8465415420848389,0.8423100494825049,0.8507064681132261,0.767585991244528,0.760813667024033,0.7747285161484858,0.9254970929251499,0.9220995405797512,0.9285225971307549,0.09265725134643603,0.0918328598267392,0.09353348577092217,0.30095305797772587,0.29848562442823534,0.3034416080088982
gpc_1d_h,full81,20,0.9883932992242943,0.9880487188479947,0.9886945040435713,0.9250585867745456,0.9199234228111831,0.9295214646134169,0.9608641975308639,0.9596296296296296,0.9618518518518517,0.9256354183858724,0.9238477884139298,0.9274983495626342,0.8705479452054794,0.8671232876712329,0.8739726027397261,0.9807228915662648,0.979668674698795,0.9816265060240964,0.029976048164181007,0.02966692031200611,0.03033681719831076,0.10825815669777186,0.10725407391264402,0.1093540213944979
gpc_4d,B1_q20,20,0.9197102702959477,0.9164787540254694,0.9231375163302304,0.8672534019587548,0.8606703226498791,0.873427493963493,0.8347058823529412,0.823529411764706,0.8458823529411765,0.8159087539762373,0.8030652083331039,0.828762916806732,0.7323267063423609,0.7093423140150488,0.7534904326283299,0.8994908016101133,0.8880435264236319,0.9102482675944107,0.11283125831393495,0.11024434538867314,0.11539113616113328,0.35899568602728377,0.35239177034149666,0.36536595500827596
gpc_4d,B1_q30,20,0.9522768983490018,0.9504631773150788,0.9541577073924542,0.8974546417944227,0.8933053891127725,0.9018112789208447,0.8796000000000002,0.8720000000000001,0.8868,0.8487619262148918,0.8393659370452851,0.8581124380462034,0.7613329759671225,0.7433328642901814,0.7785039421960155,0.9361908764626614,0.9286805904485639,0.9431397695531,0.0828738819696036,0.08137446085276155,0.08429326472545737,0.27233647981853026,0.2681886554914675,0.2759811818415898
gpc_4d,full81,20,0.992587473180393,0.9923007096880674,0.9928989932332071,0.9682864446329031,0.9672691564028806,0.9693514177360378,0.9625925925925924,0.960246913580247,0.9648148148148147,0.92508664796171,0.9200177422016835,0.9298828705231886,0.8664383561643835,0.8561643835616438,0.8760273972602739,0.9837349397590363,0.9817771084337348,0.985542168674699,0.026593096469561144,0.026112653998296816,0.0270464530363927,0.09476031424299479,0.09322634175754832,0.0963107452558441
gpc_5d_h_augmented,B1_q20,20,0.9171750021889075,0.9137701792042884,0.9205658625174615,0.859852143299278,0.8535977820347708,0.8662444246773024,0.8341176470588236,0.8229411764705883,0.8452941176470589,0.8170155408860712,0.8054990048324864,0.8288177460618633,0.740424852859032,0.7217603605775154,0.759038528112858,0.8936062289131101,0.8822292418838201,0.9050505788519244,0.11443318893671342,0.11187027414243647,0.11683008339240418,0.36435121251599534,0.35806186404247153,0.3705716418562555
gpc_5d_h_augmented,B1_q30,20,0.9509196215008812,0.9490191667772742,0.9527923327743951,0.8916137827563799,0.8873601383028631,0.8962132464734918,0.8800000000000001,0.8724000000000001,0.8880000000000001,0.8516912457162553,0.84205752850825,0.8619209037232,0.7713100821942287,0.7531401768962744,0.7894486397748592,0.9320724092382819,0.9247838775465357,0.9392836668640556,0.08408993485873889,0.08244557045984008,0.08553042600562116,0.2770570734916537,0.27291287221699945,0.2808107521356976
gpc_5d_h_augmented,full81,20,0.9921707377455025,0.9917787588711011,0.9925462638224131,0.9663629077445627,0.9650367853884279,0.9676692221700154,0.962716049382716,0.9604938271604937,0.9650617283950618,0.9272992655553722,0.9224363034329095,0.9324290311932663,0.8719178082191782,0.8623287671232877,0.8815068493150685,0.9826807228915664,0.9805722891566265,0.9844917168674701,0.0271769431215709,0.026639940012241785,0.0277389237147832,0.10029643030926057,0.09821719106924251,0.10272191133873773
log_areal_energy,B1_q20,20,0.7591137995175918,0.7531865188360919,0.7649969165723799,0.617349607761054,0.6079834215994133,0.6260397496782185,0.6464705882352939,0.6399999999999999,0.652941176470588,0.6068699326471559,0.5996154604283246,0.6133213519384492,0.42758714482860594,0.4122989528014285,0.44236216071839296,0.786152720465706,0.7789312712054667,0.7938009372302381,0.2098363836538443,0.20634143790766252,0.21327211327424786,0.5864851626018894,0.5778045339164275,0.5951542413199529
