name,hash,P,VX,LS,ST,LS_micrometres,observed_conduction,first_observed_conduction_timestep,initial_emptiness_frame_count,screenshot_bug_frame_count,preconduction_screenshot_bug_frame_count,screenshot_bug_any,screenshot_bug_before_first_observed_conduction,first_label,first_non_initial_emptiness_label,first_non_empty_like_label,initial_empty_like_block_stored_frames,initial_empty_like_block_timestep_width,begins_initial_emptiness_then_bug,all_preconduction_bug_in_initial_empty_like_block,all_bug_frames_in_initial_empty_like_block,initial_empty_like_block_contains_bug,screenshot_bug_after_physical_regime,screenshot_bug_block_count,screenshot_bug_block_structure,stored_frame_count,label_sequence_rle,sequence_pattern_category
P-110p642328299_VX-0p274154737479_LS-7p4676600105e-05_ST-358p612942181_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p7596342297e-05_H-b40dbd8ddd,b40dbd8ddd,110.642328299,0.274154737479,7.4676600105e-05,358.612942181,74.67660010499999,True,83293.0,0,35,35,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,35,32909.0,False,True,True,True,False,1,one_contiguous_block,121,Screenshot Bug × 35 → Forming Phase × 51 → Conduction × 35,initial_empty_like_block_bug_only
P-112p428225508_VX-0p704865651228_LS-6p30987392704e-05_ST-309p241492678_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p84402849623e-06_H-30d8d23b36,30d8d23b36,112.428225508,0.704865651228,6.30987392704e-05,309.241492678,63.098739270399996,True,38782.0,0,43,35,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,35,13554.0,False,True,False,True,True,2,multiple_separated_blocks,304,Screenshot Bug × 35 → Forming Phase × 66 → Conduction × 195 → Screenshot Bug × 8,multiple_separated_bug_blocks
P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,bf889bf790,112.904894498,0.537693260466,4.63068354409e-05,322.169166627,46.3068354409,True,32956.0,0,25,25,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,25,17795.0,False,True,True,True,False,1,one_contiguous_block,103,Screenshot Bug × 25 → Forming Phase × 22 → Conduction × 56,initial_empty_like_block_bug_only
P-113p286681534_VX-0p56768277259_LS-5p80401726566e-05_ST-302p148970527_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p13495658689e-05_H-bf889bf790,bf889bf790,113.286681534,0.56768277259,5.80401726566e-05,302.148970527,58.0401726566,True,33713.0,1,25,25,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,26,16855.0,False,True,True,True,False,1,one_contiguous_block,110,Screenshot Bug × 25 → Initial Emptiness × 1 → Forming Phase × 26 → Conduction × 58,initial_empty_like_block_bug_only
P-114p820217584_VX-0p948189613582_LS-6p03705790634e-05_ST-353p560035146_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p08771719698e-06_H-d4c4d1b9c0,d4c4d1b9c0,114.820217584,0.948189613582,6.03705790634e-05,353.560035146,60.3705790634,True,26021.0,0,136,35,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,35,10075.0,False,True,False,True,True,2,multiple_separated_blocks,403,Screenshot Bug × 35 → Forming Phase × 56 → Conduction × 211 → Screenshot Bug × 101,multiple_separated_bug_blocks
P-115p281467344_VX-0p424433079834_LS-5p4086019252e-05_ST-352p652659088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13660334979e-05_H-d616b14147,d616b14147,115.281467344,0.424433079834,5.4086019252e-05,352.652659088,54.086019252,True,50034.0,0,32,32,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,32,21879.0,False,True,True,True,False,1,one_contiguous_block,182,Screenshot Bug × 32 → Forming Phase × 44 → Conduction × 106,initial_empty_like_block_bug_only
P-116p440418649_VX-0p621036488786_LS-7p33150072515e-05_ST-327p034160515_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p76785372538e-06_H-3f4a2df486,3f4a2df486,116.440418649,0.621036488786,7.33150072515e-05,327.034160515,73.3150072515,True,41027.0,0,35,35,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,35,14955.0,False,True,True,True,False,1,one_contiguous_block,270,Screenshot Bug × 35 → Forming Phase × 60 → Conduction × 175,initial_empty_like_block_bug_only
P-116p693370328_VX-0p231004403842_LS-8p2871053211e-05_ST-317p198938228_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p08832408507e-05_H-d147d48e9f,d147d48e9f,116.693370328,0.231004403842,8.2871053211e-05,317.198938228,82.871053211,True,83909.0,0,35,35,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,35,39062.0,False,True,True,True,False,1,one_contiguous_block,102,Screenshot Bug × 35 → Forming Phase × 38 → Conduction × 29,initial_empty_like_block_bug_only
P-118p139890353_VX-0p847347819728_LS-5p08934239386e-05_ST-372p913421628_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69319999497e-06_H-d7a336064e,d7a336064e,118.139890353,0.847347819728,5.08934239386e-05,372.913421628,50.8934239386,True,11588.0,100,0,0,False,False,Initial Emptiness,Conduction,Conduction,36,11274.0,False,,False,False,False,0,none,364,Initial Emptiness × 36 → Conduction × 264 → Initial Emptiness × 64,no_bug
P-118p4900546_VX-0p535113778256_LS-4p79907961621e-05_ST-385p412174328_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p01513061154e-06_H-dd169576f0,dd169576f0,118.4900546,0.535113778256,4.79907961621e-05,385.412174328,47.9907961621,True,39182.0,0,35,35,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,35,17851.0,False,True,True,True,False,1,one_contiguous_block,232,Screenshot Bug × 35 → Forming Phase × 42 → Conduction × 155,initial_empty_like_block_bug_only
