family,model,cv_repeats,folds_per_repeat,mean_roc_auc,sd_across_repeats_roc_auc,min_repeat_roc_auc,max_repeat_roc_auc,mean_pr_auc,sd_across_repeats_pr_auc,min_repeat_pr_auc,max_repeat_pr_auc,mean_balanced_accuracy,sd_across_repeats_balanced_accuracy,min_repeat_balanced_accuracy,max_repeat_balanced_accuracy,mean_brier_score,sd_across_repeats_brier_score,min_repeat_brier_score,max_repeat_brier_score,mean_log_loss,sd_across_repeats_log_loss,min_repeat_log_loss,max_repeat_log_loss
physical_score,areal_P_over_VX_LS__log,5,10,0.9637398910711339,0.00035301616828199467,0.9633190295428289,0.9642267700940749,0.850619546822877,0.002059947053965954,0.848514614503271,0.8538032414171234,0.8168922264400067,0.0035305113058376704,0.8138512955933321,0.8207006106618253,0.06217379953926418,0.0002111755922491265,0.061893660436955586,0.06242608892957735,0.18464343555268398,0.0008011606485616787,0.18369993287441647,0.18556953294004666
physical_score,areal_P_over_VX_LS__raw,5,10,0.963904934807724,0.0002583343099933584,0.9635665951477141,0.9642267700940749,0.8513865517934802,0.0014205479977643799,0.849963478431757,0.8536204203875943,0.8087803267865985,0.004512826844688005,0.803164713649117,0.8130260769103812,0.06467025280598196,0.00023059800645649963,0.06439670211930801,0.06500092830673485,0.19599054629647839,0.0009665567949317973,0.19484652568132374,0.19733145475938912
physical_score,irradiance_P_over_LS2__log,5,10,0.9732134015514111,0.0012276081380847798,0.9720250866479617,0.9749133520382902,0.8696202826125223,0.009006550193382113,0.854838178523805,0.8784027386429037,0.8739519722726523,0.013252505268935563,0.8578148209275458,0.8920613962700116,0.04519701229670533,0.0003935951162345498,0.04473198384280688,0.04573849218600221,0.1586466893087764,0.0027140887292778247,0.15518227039893592,0.16233457300664195
physical_score,irradiance_P_over_LS2__raw,5,10,0.9729163228255487,0.0014309872554278012,0.9713236507674534,0.9748720911041425,0.8658212428653286,0.007189570572349327,0.8535047711183337,0.8717608938856882,0.8468270341640535,0.004889803694374923,0.8402789239148374,0.8539775540518237,0.047350343221972666,0.00044162533979612306,0.04670327737586546,0.047897726139797654,0.18512751353389595,0.00601496545445391,0.17951143660973995,0.19534407081337563
physical_score,keyhole_process_score_h__log,5,10,0.9897590361445783,0.000819733378515079,0.9883644165703911,0.990303680475326,0.9510120621623738,0.007583688694803515,0.937460839201138,0.9547916779986615,0.9230731143753095,0.0008248833697367062,0.9224707047367553,0.9239767288331409,0.02926879149202674,0.00045701514940880007,0.02870567526010649,0.0297483045563412,0.10373010270093426,0.00477759223008604,0.10048224327453845,0.11209741949964629
physical_score,keyhole_process_score_h__raw,5,10,0.9897920448918963,0.000864807919066254,0.9882818947020962,0.990303680475326,0.9516856995044524,0.006828619781107762,0.9394728424283443,0.9548996786729277,0.9209069153325631,0.002639788986661527,0.9186334378610331,0.9254827529295263,0.029763644001533158,0.00043549457544693487,0.029236474292036026,0.030345334118535218,0.11450777221453026,0.0066863995417497345,0.1106349512527115,0.12640067913226752
physical_score,king_style_P_over_LS_sqrtVX__log,5,10,0.9876052153820762,0.00031233191727641043,0.9871265885459646,0.9879518072289156,0.9488214113052349,0.0015862787714623866,0.9462251395603055,0.950178958121937,0.9232381581118997,0.0028464961239295953,0.9209646806403697,0.9278139957088628,0.03205711968651615,0.0004252077559782748,0.03152398810054571,0.03251532574065704,0.10840861805198836,0.0021145569105853806,0.10650211595302657,0.1118613807560021
physical_score,king_style_P_over_LS_sqrtVX__raw,5,10,0.9876134675689059,0.00032671782298773734,0.9870853276118172,0.9879518072289156,0.9490421035562381,0.0016513305962439482,0.9461440094261148,0.950178958121937,0.9181671893051659,0.002828428759539113,0.9132901468889256,0.9201394619574187,0.0316951832210962,0.0004065836845773318,0.031172763481737014,0.032149673287756385,0.11282626196384093,0.00274342147439712,0.11061939047841438,0.11750969624253084
physical_score,linear_energy_P_over_VX__log,5,10,0.9011305495956428,0.000302361296592877,0.9007674533751444,0.9015514111239479,0.649296575199895,0.0012458688110011016,0.6476558469594557,0.6510755924191245,0.6923708532761181,0.0016497667394733669,0.6905636243604555,0.6950816966496121,0.09851074764804474,0.00023773570329530504,0.09813257488874148,0.09877816805067963,0.29579268632252104,0.0007584752599068155,0.2946434025150588,0.29667825445645235
physical_score,linear_energy_P_over_VX__raw,5,10,0.9011553061561314,0.0005661926355145884,0.9003548440336689,0.9016751939263905,0.6494261848909574,0.0017853280500209209,0.6472687573651857,0.6514933357209854,0.6717940254167354,0.0037515243664736947,0.6676844363756396,0.6745337514441326,0.10172949945749013,0.0002626776828804678,0.10135559337920953,0.10205039064727862,0.316685997521055,0.0009529722999605764,0.3154775135113402,0.3176438836439132
physical_score,volumetric_P_over_VX_LS2__log,5,10,0.9799636903779503,0.00021160061734538604,0.979699620399406,0.9801947516091765,0.91024474758905,0.001455570951139825,0.9087613034579852,0.9121020135776511,0.9053804258128402,0.0006735144510541619,0.9050792209935632,0.9065852450899488,0.04378761689403206,0.00041352752053281435,0.043341703241523304,0.04421657395087368,0.13873566703321338,0.0011430531202734984,0.13735203664898282,0.14002590040940727
physical_score,volumetric_P_over_VX_LS2__raw,5,10,0.9799801947516092,0.00016348912985768787,0.979699620399406,0.9801122297408814,0.9102721621356371,0.0009263689254078288,0.9089453991516875,0.911381746848516,0.8998432084502392,0.0033812699872915897,0.8974046872421191,0.9042540023106123,0.04488046799425986,0.0004929701836669386,0.04431771494508087,0.045425164602959214,0.14836174325498863,0.0015205118171078048,0.14686492798585546,0.15048043692769666
