family,model,repeat,roc_auc,pr_auc,balanced_accuracy,brier_score,log_loss
glm,L1_interactions,1,0.9894372008582275,0.9635169192374932,0.9278139957088628,0.02696594912897659,0.09370436025484873
glm,L1_interactions,2,0.9922429443802608,0.9677886843257487,0.9406874071628981,0.025598641993083402,0.08821001775758287
glm,L1_interactions,3,0.9930681630632118,0.9676949055898616,0.9254827529295263,0.0262224805994801,0.0867986066255284
glm,L1_interactions,4,0.9883231556362435,0.9566581167310941,0.9209646806403697,0.028577988272972803,0.10135052572539313
glm,L1_interactions,5,0.9890245915167519,0.9661241543949858,0.9239767288331409,0.025951304165398707,0.09225286794339517
glm,M0,1,0.4832686912031689,0.17531137139798486,0.5,0.1477814598483813,0.4718473488585958
glm,M0,2,0.4832686912031689,0.17531137139798486,0.5,0.14778145984838129,0.4718473488585958
glm,M0,3,0.4832686912031689,0.17531137139798486,0.5,0.1477814598483813,0.4718473488585958
glm,M0,4,0.4832686912031689,0.17531137139798486,0.5,0.1477814598483813,0.47184734885859586
glm,M0,5,0.4832686912031689,0.17531137139798486,0.5,0.1477814598483813,0.47184734885859586
glm,M1,1,0.9902624195411784,0.9579316602983143,0.9376753589701271,0.028554286936723985,0.10122422442231835
glm,M1,2,0.9890658524508995,0.9446481720755201,0.9239767288331409,0.028677671223075178,0.11206985210657866
glm,M1,3,0.9905925070143587,0.958685477475478,0.9254827529295263,0.027798590868561728,0.09853213955157553
glm,M1,4,0.9896022445948176,0.9541579727279934,0.9323320679980194,0.029445144592403584,0.10346804807314458
glm,M1,5,0.9912939428948672,0.9615698505121659,0.9323320679980194,0.02717378056833871,0.09616283969479253
glm,M2,1,0.9908813335533916,0.9667018131474598,0.9263079716124774,0.02785217232900248,0.09728149447098328
glm,M2,2,0.9910051163558343,0.9653436767577912,0.9376753589701271,0.025580013347792085,0.09601979619895754
glm,M2,3,0.9913352038290146,0.9669248163099174,0.9209646806403697,0.02701829471359353,0.09634593338924179
glm,M2,4,0.990757550750949,0.9646023763055867,0.9232959234197062,0.02747246157452968,0.09765303252600527
glm,M2,5,0.98956098366067,0.9579208617293676,0.9400066017494636,0.029451024409883304,0.11614690285290931
glm,M3,1,0.9939346426803103,0.9741543800253829,0.9361693348737415,0.023535869272336734,0.07855048652990881
glm,M3,2,0.9932744677339496,0.9701347465426283,0.9224707047367553,0.02410213127066605,0.08741480383372714
glm,M3,3,0.9936458161412774,0.972226040377973,0.9224707047367553,0.024631246927952533,0.08214763959818507
glm,M3,4,0.9933982505363922,0.970620920115207,0.9224707047367553,0.025822984528357584,0.08669693899170784
glm,M3,5,0.9936458161412774,0.9717064791125201,0.9293200198052484,0.02400727761686413,0.08277902415006792
pair_plane,pair_LS_ST,1,0.8905347417065523,0.7568954223966216,0.7741170160092424,0.08909847620812152,0.3115991862339663
pair_plane,pair_LS_ST,2,0.8920407658029378,0.7535687521290625,0.7642556527479782,0.08864955564526038,0.3081554309003411
pair_plane,pair_LS_ST,3,0.8926803102822247,0.7567183124754668,0.7741170160092424,0.08896359762376585,0.30718269475696547
pair_plane,pair_LS_ST,4,0.8889874566760191,0.7451504684852192,0.7809663310777356,0.08978935493155173,0.3097050920007164
pair_plane,pair_LS_ST,5,0.8923502228090444,0.7553096286904531,0.7726109919128569,0.08890899002107988,0.30735385533870274
pair_plane,pair_P_LS,1,0.9729740881333553,0.8676340700773536,0.8661701600924245,0.047368867120935756,0.16554791915571607
