model,definition,parameters,log_likelihood,residual_deviance,aic,bic,converged,gradient_norm
M0,intercept only,1,-191.0659132940416,382.1318265880832,384.1318265880832,388.1357136551897,True,4.755917881738014e-12
M1,P + VX + LS + ST,5,-35.48576689417126,70.97153378834253,80.97153378834253,100.99096912387522,True,7.513514729454517e-14
M2,main effects + all six pairwise interactions,11,-25.336161267594434,50.67232253518887,72.67232253518887,116.7150802733608,True,7.328420075270337e-10
M3,main effects + P×VX,6,-27.36375660243948,54.72751320487896,66.72751320487896,90.75083560751818,True,1.7748309994359393e-08
