model,term,coefficient,standard_error,ci_lower,ci_upper,p_value,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,vif,bootstrap_same_sign_fraction
M0,Intercept,-1.514675527768018,0.12926978892903218,-1.768044314068921,-1.2613067414671149,1.0409677130469664e-31,0.21987951807230663,0.17066643260463077,0.2832836060955902,1.0,
M1,Intercept,-5.821281646369385,0.977620924630809,-7.73741865864577,-3.9051446340929994,2.6080638357135335e-09,0.0029638041607003896,0.0004361960940868232,0.020138041633257935,1.0,
M1,P,4.000791396137751,0.6725085092780293,2.682674717952813,5.318908074322688,2.696918606062375e-09,54.64137590034491,14.624156525034323,204.16083178347864,1.1005802475110014,1.0
M1,VX,-2.7058939696866235,0.5774088422360901,-3.83761530046936,-1.5741726389038868,2.782286134094271e-06,0.06681057051695242,0.021544918289556948,0.20717889354745214,1.004192414179797,1.0
M1,LS,-3.3554389506014664,0.6187682900969127,-4.568224799191415,-2.1426531020115176,5.868203879433947e-08,0.034894050028364855,0.010376363506457069,0.11734310643842967,1.1035963575401049,1.0
M1,ST,-0.25749927345497753,0.3160135451054493,-0.8768858218616582,0.3618872749517031,0.415166081764753,0.7729821879196404,0.41607663295099145,1.436037055489757,1.0286211564602996,0.798
M2,Intercept,-7.984729523626803,1.9023650810330839,-11.713365082451647,-4.256093964801959,2.701582829861716e-05,0.00034062461472608014,8.183709038301594e-06,0.014177572493629345,1.0,
M2,P,6.692670527888621,1.6560067766018538,3.446897245748988,9.938443810028254,5.3121443020187973e-05,806.4730878048163,31.402805804363528,20711.48818374246,1.6350636403714296,
M2,VX,-2.078992601465014,0.9051033814533066,-3.8529952291134952,-0.30498997381653337,0.02162065215748489,0.12505613012544525,0.0212160941115246,0.7371307649628664,1.0137339746591019,
M2,LS,-7.00277257131214,1.9002698620761729,-10.727301500981438,-3.2782436416428413,0.00022857125000008165,0.0009093572094273145,2.1937753505878454e-05,0.03769440358220126,1.197359906300293,
M2,ST,0.1712445064358302,1.1970761937799062,-2.1750248333727855,2.517513846244446,0.8862488740713534,1.1867808891150151,0.11360533243216274,12.39773563982707,1.1019611712860364,
M2,P×VX,-2.184682037165769,0.7240590034212615,-3.6038376838714417,-0.7655263904600966,0.0025506190328370786,0.11251350307964274,0.02721906359060168,0.46508904808995083,1.0914512086721426,
M2,P×LS,0.9856459059364779,1.0413662251117823,-1.0554318952826154,3.026723707155571,0.3438971598734424,2.679542057718419,0.3480420771095091,20.629533356171574,1.5471314844759168,
M2,P×ST,0.38544195621820604,0.7083524593624454,-1.002928864132187,1.7738127765685991,0.5863460603835078,1.4702639701764446,0.3668035486118959,5.89328034087862,1.1232013176596143,
M2,VX×LS,0.9292540925712034,0.954836237933018,-0.9422249337775117,2.8007331189199185,0.3304500255535109,2.53261937329108,0.3897596804449291,16.456707073053927,1.108614278808421,
M2,VX×ST,-0.032337681135496975,0.6378143352540476,-1.2824537782334302,1.2177784159624363,0.9595639590445623,0.9681795908893102,0.27735589492817986,3.3796711638572545,1.0429067833024168,
M2,LS×ST,0.5451607355200424,0.965300124994985,-1.346827509470128,2.437148980510213,0.5722385418254837,1.724885610481251,0.2600640038856721,11.440377463977036,1.1387298829777404,
M3,Intercept,-7.097742710368358,1.3532487571483407,-9.750110274379105,-4.445375146357611,1.5631178273171725e-07,0.0008269695277386454,5.8288235677452036e-05,0.01173270372417237,1.0,
M3,P,4.954063468966441,0.9478195429876222,3.096337164710702,6.811789773222181,1.7246860460842485e-07,141.7497911114826,22.11679256837485,908.4953533850227,1.1008646050499558,1.0
M3,VX,-2.760893984251848,0.6538975768233536,-4.042533234825621,-1.4792547336780748,2.4191675318236068e-05,0.06323521179955933,0.0175529503019509,0.22780740231975127,1.0057394137617028,1.0
M3,LS,-6.135810175324572,1.3605742898495348,-8.80253578342966,-3.469084567219484,6.491300096473045e-06,0.0021639713113352542,0.00015035133287370452,0.031145529253242876,1.1108841482157246,1.0
M3,ST,-0.4262592211818352,0.38879792521752027,-1.1883031546081748,0.3357847122445045,0.2729249431470584,0.6529470624719784,0.3047379187343105,1.3990377966796292,1.0286532010888174,0.88
M3,P×VX,-1.906512653446169,0.5708016070731572,-3.025283803309557,-0.7877415035827808,0.0008375974316723571,0.14859769571515918,0.048544042354971985,0.45487096048550285,1.0081043609062035,1.0
