quantile,target_accuracy_percent,method_label,successful_runs,total_runs,median_queries_successful_runs,mean_queries_successful_runs,iqr_queries_successful_runs,not_reached_by_80
20,70,Binary,20,20,12,13.25,3,0
20,70,Max-Depth,20,20,13,14.65,4,0
20,70,Random,20,20,12,15.65,4.75,0
20,75,Binary,19,20,13,14.8947368421,4,1
20,75,Max-Depth,20,20,15,20.2,5.25,0
20,75,Random,19,20,17,24,17.5,1
20,80,Binary,18,20,16,17.1111111111,5,2
20,80,Max-Depth,15,20,15,16.6,4.5,5
20,80,Random,14,20,30,34.0714285714,21.75,6
20,85,Binary,15,20,21,21.6,12.5,5
20,85,Max-Depth,12,20,18.5,21.5833333333,8.5,8
20,85,Random,8,20,29,35.875,28,12
20,90,Binary,8,20,27.5,29.125,20.5,12
20,90,Max-Depth,5,20,22,21.8,2,15
20,90,Random,3,20,28,28,8,17
30,70,Binary,20,20,12,12.5,0,0
30,70,Max-Depth,20,20,12,13,1,0
30,70,Random,20,20,12,13.25,0,0
30,75,Binary,20,20,12,12.8,1.25,0
30,75,Max-Depth,20,20,13,16.15,2.5,0
30,75,Random,20,20,12,15.1,2.5,0
30,80,Binary,20,20,14.5,14.45,4,0
30,80,Max-Depth,20,20,14.5,18.45,3.5,0
30,80,Random,20,20,16,20.5,13.25,0
30,85,Binary,18,20,16,17.6666666667,5.75,2
30,85,Max-Depth,15,20,17,19.0666666667,5,5
30,85,Random,14,20,31,36.3571428571,10.75,6
30,90,Binary,14,20,23,24.5714285714,12.75,6
30,90,Max-Depth,11,20,19,23,7,9
30,90,Random,8,20,44.5,43.5,26,12
