simulation_id,relative_path,revision_sha,exists,immediate_child_count,immediate_file_count,immediate_folder_count,error,revision_label
sim_00001,final_data_processed/sim_00001,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,chosen_revision
sim_00001,final_data_processed/sim_00001,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,current_main
sim_00001,final_data_processed/sim_00001,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,old_pinned_revision
sim_00117,final_data_processed/sim_00117,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,chosen_revision
sim_00117,final_data_processed/sim_00117,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,current_main
sim_00117,final_data_processed/sim_00117,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,old_pinned_revision
sim_00118,final_data_processed/sim_00118,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,chosen_revision
sim_00118,final_data_processed/sim_00118,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,current_main
sim_00118,final_data_processed/sim_00118,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,old_pinned_revision
sim_00224,final_data_processed/sim_00224,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,chosen_revision
sim_00224,final_data_processed/sim_00224,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,current_main
sim_00224,final_data_processed/sim_00224,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,old_pinned_revision
sim_00241,final_data_processed/sim_00241,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,chosen_revision
sim_00241,final_data_processed/sim_00241,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,current_main
sim_00241,final_data_processed/sim_00241,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,old_pinned_revision
sim_00242,final_data_processed/sim_00242,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,chosen_revision
sim_00242,final_data_processed/sim_00242,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,current_main
sim_00242,final_data_processed/sim_00242,0e859b748fdbc8454f66e58e101e333ac0479d42,True,7,5,2,,old_pinned_revision
