dataset,fold_index,name,input,standardized_space_lengthscale
clean,0,P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,P,0.6990113900343073
clean,1,P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,P,0.5462820566915763
clean,2,P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,P,0.6971422069359741
clean,3,P-126p228008246_VX-0p201684842681_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p27081552964e-06_H-306f9d252b,P,0.740051597332517
clean,4,P-133p003569327_VX-0p736244453131_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p53962249042e-06_H-306f9d252b,P,0.7617161453219919
clean,5,P-133p757797566_VX-0p645163458122_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p89815386795e-06_H-306f9d252b,P,0.7639165180172477
clean,6,P-134p442185153_VX-0p806363522352_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p3187841709e-06_H-b0e5aed98c,P,0.773583534758331
clean,7,P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,P,0.7658435247766053
clean,8,P-138p247900083_VX-0p876957934743_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p13212389961e-06_H-306f9d252b,P,0.7665773321857802
clean,9,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,P,0.7934269532500514
clean,10,P-140p539865228_VX-0p255658736827_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p31358918074e-06_H-fb250c7cf9,P,0.7443713380914118
clean,11,P-140p974625597_VX-0p98622838083_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-1p89589248085e-06_H-b0e5aed98c,P,0.756424520904866
clean,12,P-149p254341218_VX-0p887957223036_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p10571289147e-06_H-306f9d252b,P,0.7004781217613738
clean,13,P-243p936893462_VX-0p545516283598_LS-5p6904291389e-05_ST-360p082453969_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p84322017154e-06_H-e0ed0fec98,P,0.7724196329903147
clean,14,P-52p5445860993_VX-0p633129978235_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p95323714861e-06_H-306f9d252b,P,0.8742995727402553
clean,15,P-53p4525830151_VX-0p394191978834_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-4p7433308439e-06_H-306f9d252b,P,0.7247209760425216
clean,16,P-55p2363598851_VX-0p252312006514_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p41059847866e-06_H-fb250c7cf9,P,0.7162564374052262
clean,17,P-59p3859586774_VX-0p222677981218_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p39680224058e-06_H-306f9d252b,P,0.7645310848547449
clean,18,P-63p4364244112_VX-0p87794698955_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p12972194663e-06_H-306f9d252b,P,0.7227545960226693
clean,19,P-67p3007401579_VX-0p639039009111_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p92592931724e-06_H-306f9d252b,P,0.8404310139497317
clean,20,P-71p6599397131_VX-0p537693260466_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p47741567376e-06_H-306f9d252b,P,0.7469104037502747
clean,21,P-71p8781037338_VX-0p56768277259_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p29371096306e-06_H-306f9d252b,P,0.8557083266041258
clean,22,P-72p876222127_VX-0p956216556443_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-1p95539698515e-06_H-306f9d252b,P,0.7868327397449943
clean,23,P-74p5163352518_VX-0p201002332148_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p30229491189e-06_H-fb250c7cf9,P,0.7710024774373815
