arm,label,budget,subset,metric,mean,ci_low,ci_high
G10,generic trend + residual GP,16,B1_q20,accuracy,0.722941176470588,0.7082352941176469,0.7370588235294118
G10,generic trend + residual GP,16,B1_q20,balanced_accuracy,0.7130472027972028,0.692845451076701,0.7330233828671328
G10,generic trend + residual GP,16,B1_q20,conduction_recall,0.756665834165834,0.7211723013098013,0.792678148934399
G10,generic trend + residual GP,16,B1_q20,false_negative,2.17,1.8000000000000003,2.53
G10,generic trend + residual GP,16,B1_q20,false_positive,2.5399999999999996,2.1599999999999997,2.9099999999999993
G10,generic trend + residual GP,16,B1_q20,keyhole_recall,0.6694285714285714,0.6145063492063492,0.725972619047619
G10,generic trend + residual GP,16,B1_q30,balanced_accuracy,0.7550010314547854,0.7339033396562373,0.7758728254883877
G10,generic trend + residual GP,16,full81,balanced_accuracy,0.8785614137106675,0.8636457800284292,0.8937151006331976
G10,generic trend + residual GP,20,B1_q20,accuracy,0.7617647058823529,0.7458823529411764,0.7776470588235295
G10,generic trend + residual GP,20,B1_q20,balanced_accuracy,0.7460760489510488,0.728048419982795,0.7643988712676213
G10,generic trend + residual GP,20,B1_q20,conduction_recall,0.8110013042513045,0.7901705808080809,0.8319925456487957
G10,generic trend + residual GP,20,B1_q20,false_negative,2.0700000000000003,1.8299999999999996,2.3000000000000003
G10,generic trend + residual GP,20,B1_q20,false_positive,1.9799999999999998,1.7599999999999998,2.2199999999999998
G10,generic trend + residual GP,20,B1_q20,keyhole_recall,0.6811507936507936,0.6435113095238094,0.7194101190476191
G10,generic trend + residual GP,20,B1_q30,balanced_accuracy,0.7906850612193106,0.7730364707703717,0.808458193575323
G10,generic trend + residual GP,20,full81,balanced_accuracy,0.8967751502229115,0.8865592467855528,0.9064520183175034
G10,generic trend + residual GP,30,B1_q20,accuracy,0.7888235294117649,0.7776470588235296,0.7994117647058825
G10,generic trend + residual GP,30,B1_q20,balanced_accuracy,0.7715835414585415,0.7581277070152069,0.7839376189782441
G10,generic trend + residual GP,30,B1_q20,conduction_recall,0.8483416860916861,0.8315097416472418,0.8640585470085469
G10,generic trend + residual GP,30,B1_q20,false_negative,2.02,1.9100000000000001,2.13
G10,generic trend + residual GP,30,B1_q20,false_positive,1.5699999999999998,1.42,1.73
G10,generic trend + residual GP,30,B1_q20,keyhole_recall,0.6948253968253968,0.6743312500000002,0.7144962301587302
G10,generic trend + residual GP,30,B1_q30,balanced_accuracy,0.8133884073657681,0.8038038476106151,0.8228191024887135
G10,generic trend + residual GP,30,full81,balanced_accuracy,0.9079626542611617,0.9033232425534665,0.9127336014731536
G10,generic trend + residual GP,40,B1_q20,accuracy,0.8135294117647061,0.8005735294117649,0.825294117647059
G10,generic trend + residual GP,40,B1_q20,balanced_accuracy,0.7963016844266844,0.7826884684759686,0.8096931780025531
G10,generic trend + residual GP,40,B1_q20,conduction_recall,0.8716549561549563,0.8563556422743922,0.8867906850094351
G10,generic trend + residual GP,40,B1_q20,false_negative,1.8399999999999999,1.6900000000000002,1.9900000000000002
G10,generic trend + residual GP,40,B1_q20,false_positive,1.33,1.1800000000000002,1.4800000000000002
G10,generic trend + residual GP,40,B1_q20,keyhole_recall,0.7209484126984126,0.6984634920634921,0.7445874007936509
G10,generic trend + residual GP,40,B1_q30,balanced_accuracy,0.8332840627724529,0.8243059731913254,0.8420787961850026
G10,generic trend + residual GP,40,full81,balanced_accuracy,0.9185418685791822,0.9138521370420624,0.9231899487949861
G10,generic trend + residual GP,60,B1_q20,accuracy,0.8323529411764706,0.8270588235294118,0.8376470588235294
G10,generic trend + residual GP,60,B1_q20,balanced_accuracy,0.812004884004884,0.8041818695193697,0.8193817793317794
G10,generic trend + residual GP,60,B1_q20,conduction_recall,0.8981923076923076,0.8890154283216783,0.9071026855089356
G10,generic trend + residual GP,60,B1_q20,false_negative,1.8,1.72,1.8800000000000001
G10,generic trend + residual GP,60,B1_q20,false_positive,1.05,0.97,1.14
G10,generic trend + residual GP,60,B1_q20,keyhole_recall,0.7258174603174604,0.7080871031746031,0.7423253968253969
G10,generic trend + residual GP,60,B1_q30,balanced_accuracy,0.8488266130154676,0.8428971325839406,0.8547988821093553
G10,generic trend + residual GP,60,full81,balanced_accuracy,0.9253680299799703,0.922670576500614,0.9280720876138785
G10,generic trend + residual GP,80,B1_q20,accuracy,0.8311764705882354,0.8241176470588236,0.8382352941176471
G10,generic trend + residual GP,80,B1_q20,balanced_accuracy,0.8064196220446223,0.7973066738816739,0.815663771991897
G10,generic trend + residual GP,80,B1_q20,conduction_recall,0.9084186091686091,0.8986618006993006,0.9175488247863248
G10,generic trend + residual GP,80,B1_q20,false_negative,1.9300000000000002,1.81,2.04
G10,generic trend + residual GP,80,B1_q20,false_positive,0.9400000000000001,0.8500000000000002,1.0399999999999998
G10,generic trend + residual GP,80,B1_q20,keyhole_recall,0.704420634920635,0.6827139880952381,0.7260517857142856
G10,generic trend + residual GP,80,B1_q30,balanced_accuracy,0.8448746028008799,0.8379495127147749,0.8518411165782104
G10,generic trend + residual GP,80,full81,balanced_accuracy,0.9217606448278091,0.9186593824707631,0.9252235179621373
Y00,canonical 4D GPC,16,B1_q20,accuracy,0.7317647058823529,0.7141176470588234,0.7505882352941177
