model,subset,repeat_blocks,mean_roc_auc,ci_low_roc_auc,ci_high_roc_auc,mean_pr_auc,ci_low_pr_auc,ci_high_pr_auc,mean_balanced_accuracy,ci_low_balanced_accuracy,ci_high_balanced_accuracy,mean_keyhole_recall,ci_low_keyhole_recall,ci_high_keyhole_recall
generic_trend_residual_gp,B1_q20,20,0.9042322594552005,0.9006623666925369,0.9076017355249124,0.8047798232560164,0.7987717481684664,0.8105991820100336,0.8151276974732186,0.8077430147306304,0.8224611122302872,0.7142066093299491,0.6983146231733163,0.7300504616894411
generic_trend_residual_gp,full81,20,0.9900953127578805,0.9898126753589702,0.9903676349232547,0.9535685094345594,0.9517422319618906,0.9551234676349303,0.9243119739230895,0.9214216454860539,0.9273116438356162,0.8623287671232877,0.856164383561644,0.8684931506849315
gpc_4d,B1_q20,20,0.9197102702959477,0.9164401708003962,0.9231385253781225,0.8672534019587548,0.8607623167429029,0.8735067165061162,0.8159087539762373,0.8033660869945172,0.8282862448518137,0.7323267063423609,0.7100920222744523,0.7543177698132039
gpc_4d,full81,20,0.992587473180393,0.9923007096880674,0.9928969301864997,0.9682864446329029,0.9672828817246255,0.9693264688005238,0.92508664796171,0.9199084007261925,0.9299153892969139,0.8664383561643835,0.8568321917808217,0.8760273972602739
physics_ridge_residual_gp,B1_q20,20,0.9105944252088942,0.9089820093405245,0.9121832667233797,0.8115261812934783,0.8073486332373084,0.815702118008864,0.8194934445035665,0.8154201680559877,0.8237700730782893,0.7171834543934876,0.707415893162617,0.7277369722999171
physics_ridge_residual_gp,full81,20,0.99099273807559,0.9907534246575344,0.99120523188645,0.9567241565556138,0.9546488507685272,0.9583520686461272,0.9257158772074601,0.9244213153985805,0.9270104390163393,0.8643835616438358,0.8616438356164384,0.8671232876712329
